"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"BLS193210091","ASB","BLS","BAL14","19321009","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","branu901","taylb108","","rilee901","","","franf101","mcdow101","","exhibition","8","2","ASB","BLS","y","both","y","y","1932"
"BLS193210161","ASB","BLS","BAL14","19321016","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","branu901","rilee901","","","","","trent101","franf101","","exhibition","2","3","BLS","ASB","y","both","y","y","1932"
"BLS193210230","ASB","BLS","BAL14","19321023","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","willr105","franf101","","exhibition","2","5","BLS","ASB","y","both","y","y","1932"
"BLS193309171","ASB","BLS","BAL14","19330917","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","campj102","jones107","","exhibition","11","1","ASB","BLS","y","both","y","y","1933"
"BLS193309172","ASB","BLS","BAL14","19330917","2","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","arleb101","hubbj101","","exhibition","11","8","ASB","BLS","y","both","y","y","1933"
"BLS193310151","ASB","BLS","BAL14","19331015","1","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","wardh901","rilee901","","","","","mcdow101","russj103","","exhibition","6","10","BLS","ASB","y","both","y","y","1933"
"BLG194008050","MEM","BLG","BAL14","19400805","0","","","","","","","126","","","","","","","","","","broce901","cromu901","","","","","hubew101","mathv101","","exhibition","6","8","BLG","MEM","y","both","y","y","1940"
"BLG194009090","MEM","BLG","BAL14","19400909","0","","night","","","","","","","","","","","","","","","","","","","","","barbb102","","","exhibition","4","5","BLG","MEM","y","","","","1940"
"BLG194009110","HOM","BLG","BAL14","19400911","0","","night","","","","","","","","","","","","","","","","","","","","","browj112","","","exhibition","5","8","BLG","HOM","y","both","","","1940"
"BLG194105220","PH5","BLG","BAL14","19410522","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","7","11","BLG","PH5","","","","","1941"
"BLG194106020","NY6","BLG","BAL14","19410602","0","","night","","","","","","","","","","","","","","","","","","","","","","","","regular","4","9","BLG","NY6","","","","","1941"
"BLG194106270","NW2","BLG","BAL14","19410627","0","","night","","","","","130","","","","","","","","","","","","","","","","willr106","mannm101","","regular","2","12","BLG","NW2","y","both","y","y","1941"
"BLG194107070","NY5","BLG","BAL14","19410707","0","","night","","","","","125","","","","","","","","","","turnc101","taylu901","","","","","byrdb101","rectc101","","regular","1","12","BLG","NY5","y","both","y","y","1941"
"BLG194107140","MEM","BLG","BAL14","19410714","0","","night","","","","","","","","","","","","","","","","","","","","","byrdb101","evanf101","","exhibition","2","3","BLG","MEM","y","p","","","1941"
"BLG194107180","NW2","BLG","BAL14","19410718","0","","","","","","","","","","","","","","","","","","","","","","","willr106","","","regular","7","11","BLG","NW2","y","p","","","1941"
"BLG194107210","KCM","BLG","BAL14","19410721","0","","night","","","","","","","","","","","","","","","","","","","","","byrdb101","johnc103","","exhibition","2","4","BLG","KCM","y","p","","","1941"
"BLG194107250","NW2","BLG","BAL14","19410725","0","","night","","","","","","","","","","","","","","","","","","","","","willr106","mannm101","","regular","7","11","BLG","NW2","y","p","","","1941"
"BLG194107280","NY6","BLG","BAL14","19410728","0","","night","","","","","","","","","","","","","","","","","","","","","greev101","browj112","","exhibition","6","3","NY6","BLG","y","p","","","1941"
"BLG194108110","BIR","BLG","BAL14","19410811","0","","night","","","","","","","","","","","","","","","","","","","","","adame101","","","exhibition","2","7","BLG","BIR","","","","","1941"
"PH5194108171","NY5","PH5","BAL14","19410817","1","","day","","","","","","","","","","","","","","","","","","","","","mcheh101","stann101","","regular","0","1","PH5","NY5","y","both","y","y","1941"
"PH5194108172","NY5","PH5","BAL14","19410817","2","","day","7","","","","","","","","","","","","","","","","","","","","evanb105","buchc101","","regular","3","2","NY5","PH5","y","p","","","1941"
"BLG194108250","CAG","BLG","BAL14","19410825","0","","night","","","","","","","","","","","","","","","","","","","","","cornw101","willr106","","exhibition","8","3","CAG","BLG","y","p","","","1941"
"BLG194109190","HOM","BLG","BAL14","19410919","0","","night","","","","","","","","","","","","","","","","","","","","","","","","exhibition","1","2","BLG","HOM","","","","","1941"
"BLG194205180","HOM","BLG","BAL14","19420518","0","","night","","","","","","2000","","","","","","","","","","","","","","","wrigj105","","","regular","15","9","HOM","BLG","y","both","","","1942"
"BLG194205301","NW2","BLG","BAL14","19420530","1","","","","","","","130","2500","","","","","","","","","turnu901","","hilsr901","","","","byrdb101","mannm101","","regular","4","5","BLG","NW2","y","both","y","y","1942"
"BLG194205302","NW2","BLG","BAL14","19420530","2","","","7","","","","91","","","","","","","","","","turnu901","","hilsr901","","","","hookl101","harvb101","hillj104","regular","9","8","NW2","BLG","y","both","y","y","1942"
"BLG194206050","NY6","BLG","BAL14","19420605","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","1","5","BLG","NY6","","","","","1942"
"BLG194206170","KCM","BLG","BAL14","19420617","0","","night","","","","","","","","","","","","","","","mccrf901","","hollc103","","","","matcj101","glovt101","","exhibition","6","1","KCM","BLG","y","both","y","y","1942"
"BLG194207030","HOM","BLG","BAL14","19420703","0","","night","","","","","138","","","","","","","","","","mccrf901","hollc103","","","","","gainj102","partr102","","regular","0","1","BLG","HOM","y","both","y","y","1942"
"BLG194207050","NY5","BLG","BAL14","19420705","0","","day","","","","","","","","","","","","","","","","","","","","","porta103","smite111","","regular","3","9","BLG","NY5","y","both","y","y","1942"
"BLG194207121","NY6","BLG","BAL14","19420712","1","","","","","","","116","2800","","","","","","","","","mccrf901","hollc103","","","","","byrdb101","morrb104","","regular","1","6","BLG","NY6","y","both","y","y","1942"
"BLG194207122","NY6","BLG","BAL14","19420712","2","","","7","","","","101","2800","","","","","","","","","mccrf901","hollc103","","","","","gainj102","barnd101","","regular","2","4","BLG","NY6","y","both","y","y","1942"
"BLG194207191","NY5","BLG","BAL14","19420719","1","","","","","","","123","2000","","","","","","","","","mccrf901","hollc103","","","","","harvb101","parkt101","","regular","3","6","BLG","NY5","y","both","y","y","1942"
"BLG194207192","NY5","BLG","BAL14","19420719","2","","","","","","","","2000","","","","","","","","","mccrf901","hollc103","","","","","smite111","gainj102","","regular","4","2","NY5","BLG","y","both","y","y","1942"
"BLG194207240","NW2","BLG","BAL14","19420724","0","","","","","","","","","","","","","","","","","turnu901","hollc103","","","","","day-l101","byrdb101","","regular","8","1","NW2","BLG","y","both","y","y","1942"
"BLG194207270","BIR","BLG","BAL14","19420727","0","","night","","","","","","","","","","","","","","","","","","","","","harvb101","markj101","","exhibition","0","1","BLG","BIR","y","p","","","1942"
"BLG194208010","HOM","BLG","BAL14","19420801","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","3","2","HOM","BLG","","","","","1942"
"BLG194208040","KCM","BLG","BAL14","19420804","0","","","","","","","","","","","","","","","","","","","","","","","","","","exhibition","3","0","KCM","BLG","","","","","1942"
"BLG194208070","HOM","BLG","BAL14","19420807","0","","night","","","","","131","","","","","","","","","","craij901","hollc103","","","","","welmr101","gainj102","","regular","7","3","HOM","BLG","y","both","y","y","1942"
"BLG194208210","NW2","BLG","BAL14","19420821","0","","","","","","","136","","","","","","","","","","mccrf901","","hollc103","","","","byrdb101","mannm101","","regular","4","6","BLG","NW2","y","both","y","y","1942"
"BLG194208231","NY6","BLG","BAL14","19420823","1","","day","","","","","","","","","","","","","","","","","","","","","gainj102","andeb106","","exhibition","3","8","BLG","NY6","y","both","y","y","1942"
"BLG194208232","NY6","BLG","BAL14","19420823","2","","day","","","","","105","","","","","","","","","","turnu901","hollc103","","","","","barnb105","barnd101","","exhibition","2","3","BLG","NY6","y","both","y","y","1942"
"BLG194208280","NY5","BLG","BAL14","19420828","0","","night","","","","","123","","","","","","","","","","craij901","hollc103","","","","","byrdb101","grifb102","","regular","3","16","BLG","NY5","y","both","y","y","1942"
"BLG194208301","NY5","BLG","BAL14","19420830","1","","day","","","","","130","","","","","","","","","","craij901","hollc103","","","","","gainj102","smite111","","regular","2","6","BLG","NY5","y","both","y","y","1942"
"BLG194208302","NY5","BLG","BAL14","19420830","2","","night","7","","","","107","","","","","","","","","","craij901","hollc103","","","","","barnb105","walke103","harvb101","regular","1","3","BLG","NY5","y","both","y","y","1942"
"BLG194209061","PH5","BLG","BAL14","19420906","1","","","","","","","215","","","","","","","","","","craij901","hollc103","","","","","harvb101","fillj101","","regular","3","4","BLG","PH5","y","both","y","y","1942"
"BLG194209062","PH5","BLG","BAL14","19420906","2","","","","","","","100","","","","","","","","","","craij901","hollc103","","","","","calhl101","adame101","browb107","regular","9","6","PH5","BLG","y","both","y","y","1942"
"BLG194209170","HOM","BLG","BAL14","19420917","0","","night","","","","","","","","","","","","","","","mccrf901","hollc103","","","","","barnb105","wrigj105","","exhibition","1","2","BLG","HOM","y","both","y","y","1942"
"BLG194210010","HOM","BLG","BAL14","19421001","0","","day","","","","","","","","","","","","","","","","","","","","","welmr101","","","exhibition","9","3","HOM","BLG","y","both","","","1942"
"BLG194305091","CI2","BLG","BAL14","19430509","1","","day","","","","","149","4327","","","","","","","","","pricu901","hollc103","","","","","davir103","harvb101","","exhibition","4","3","CI2","BLG","y","both","y","y","1943"
"BLG194305092","CI2","BLG","BAL14","19430509","2","","day","","","","","141","4327","","","","","","","","","pricu901","hollc103","","","","","wilsf104","glovt101","","exhibition","10","2","CI2","BLG","y","both","y","y","1943"
"BLG194305301","HOM","BLG","BAL14","19430530","1","","","","","","","136","3000","","","","","","","","","mccrf901","cromu901","hollc103","","","","byrdb101","westo102","","regular","8","11","BLG","HOM","y","both","y","y","1943"
