"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"NYL193009250","HOM","NYL","PHI17","19300925","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","willj109","rectc101","","championship","11","3","HOM","NYL","y","both","y","y","1930"
"HOM193009260","NYL","HOM","PHI17","19300926","0","","","","","","","","","","","","","","","","","","","","","","","ryanr102","","","championship","6","4","NYL","HOM","","","","","1930"
"NY6193509140","PTC","NY6","PHI17","19350914","0","0:00PM","","","","false","","110","10000","unknown","unknown","unknown","0","unknown","-1","","","gansj101","harrm103","gholb901","craij901","","","stann101","davir103","","lcs","0","4","NY6","PTC","y","both","y","y","1935"
"PTC193509200","NY6","PTC","PHI17","19350920","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","matll101","dihim101","","lcs","6","7","PTC","NY6","y","both","y","y","1935"
"NY6193509210","PTC","NY6","PHI17","19350921","0","0:00PM","day","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","harrm103","gholb901","craij901","gansj101","","","harvb101","taylj108","","lcs","8","7","PTC","NY6","y","both","y","y","1935"
"PH5193609170","WEG","PH5","PHI17","19360917","0","0:00PM","night","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","byrdb101","thoms105","","championship","7","5","WEG","PH5","y","both","y","y","1936"
"PTC193609210","WEG","PTC","PHI17","19360921","0","","","","","","","","","","","","","","","","","","","","","","","porta103","stres101","","championship","2","0","WEG","PTC","y","p","","","1936"
"NAL193709252","NNL","NAL","PHI17","19370925","2","","night","","","","","","1000","","","","","","","","","","","","","","","","","","allstar","10","7","NNL","NAL","","","","","1937"
"NNL193809240","NAL","NNL","PHI17","19380924","0","0:00PM","day","","","false","","0","0","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","mcdut101","barnv103","","allstar","3","14","NNL","NAL","y","both","y","y","1938"
"NW2193909090","BLG","NW2","PHI17","19390909","0","0:00PM","","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","turnc101","cockp101","","","","","gainj102","day-l101","","divisionseries","11","3","BLG","NW2","y","both","y","y","1939"
"PH5193909130","HOM","PH5","PHI17","19390913","0","0:00PM","night","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","turnc101","","","","","welmr101","walke103","","divisionseries","3","5","PH5","HOM","y","both","y","y","1939"
"PH5193909140","HOM","PH5","PHI17","19390914","0","0:00PM","night","","","false","","-1","0","unknown","unknown","unknown","0","unknown","-1","","","turnc101","mccrf901","","","","","browr103","mcheh101","","divisionseries","3","0","HOM","PH5","y","both","y","y","1939"
