"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","season"
"PH5194505303","NW2","PH5","WIL04","19450530","3","","night","","","","","132","2666","","","","","","","","","mccrf901","trusu901","","rhoac101","","","davib110","hopke101","","regular","4","9","PH5","NW2","y","both","y","y","1945"
"PH5194506120","BLG","PH5","WIL04","19450612","0","","night","","","","","165","2658","","","","","","","","","harrm103","trusu901","","mccrf901","","","morgs101","harrw101","","regular","15","14","BLG","PH5","y","both","y","y","1945"
"HOM194506230","KCM","HOM","WIL04","19450623","0","","night","","","","","115","4358","","","","","","","","","mccrf901","trusu901","","rhoac101","","","carts102","smith111","","exhibition","2","8","HOM","KCM","y","both","y","y","1945"
"NY5194507090","CIA","NY5","WIL04","19450709","0","","night","","","","","146","2570","","","","","","","","","mccrf901","trusu901","","rhoac101","","","watsa102","adame101","","exhibition","7","5","CIA","NY5","y","both","y","y","1945"
"HOM194507240","BLG","HOM","WIL04","19450724","0","","night","","","","","134","2457","","","","","","","","","mccrf901","trusu901","","rhoac101","","","hoskd101","troyd102","","regular","3","4","HOM","BLG","y","both","y","y","1945"
"KCM194508110","BIR","KCM","WIL04","19450811","0","","night","","","","","129","2619","","","","","","","","","cockp101","trusu901","","alleu901","","","thomf110","lamaj102","","regular","6","2","BIR","KCM","y","both","y","y","1945"
"PH5194508130","BIR","PH5","WIL04","19450813","0","10:00pm","night","","","","","132","1598","","","","","","","","","mccrf901","trusu901","","alleu901","","","","","","exhibition","5","5","","","y","both","y","y","1945"
"MEM194508180","CAG","MEM","WIL04","19450818","0","","night","","","","","126","2500","","","","","","","","","cockp101","alleu901","","trusu901","","","evanf101","mckig101","","regular","4","5","MEM","CAG","y","both","y","y","1945"
"HOM194508280","NY6","HOM","WIL04","19450828","0","","night","","","","","118","1873","","","","","","","","","mccrf901","trusu901","alleu901","","","","morrb104","carts102","","regular","5","2","NY6","HOM","y","both","y","y","1945"
"CIA194509010","BIR","CIA","WIL04","19450901","0","","night","","","","","120","3022","","","","","","","","","rhoac101","trusu901","","alleu901","","","markj101","bennj102","","regular","5","3","BIR","CIA","y","both","y","y","1945"
"BLG194509080","NY6","BLG","WIL04","19450908","0","","night","","","","","110","2388","","","","","","","","","mccrf901","alleu901","","trusu901","","","byrdb101","burnw102","","regular","0","6","BLG","NY6","y","both","y","y","1945"
"HOM194509220","CVB","HOM","WIL04","19450922","0","0:00PM","night","","","false","","110","2237","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","trusu901","","alleu901","","","breme101","walkr103","","exhibition","4","1","CVB","HOM","y","both","y","y","1945"
"PH5194509270","BLG","PH5","WIL04","19450927","0","","night","","","","","140","500","","","","","","","","","mccrf901","trusu901","","alleu901","","","troyd102","harrw101","","exhibition","11","8","BLG","PH5","y","both","y","y","1945"
"PH5194605060","NW2","PH5","WIL04","19460506","0","","","","","","","","","","","","","","","","","","","","","","","mannm101","harrw101","","regular","14","6","NW2","PH5","y","both","y","y","1946"
"HOM194605250","BLG","HOM","WIL04","19460525","0","","","","","","","115","2863","","","","","","","","","mccrf901","alleu901","","trusu901","","","perra101","porta103","","regular","0","8","HOM","BLG","y","both","y","y","1946"
"HOM194606080","NW2","HOM","WIL04","19460608","0","","","","","","","180","2702","","","","","","","","","mccrf901","trusu901","","alleu901","","","davij106","smite111","","regular","7","5","NW2","HOM","y","both","y","y","1946"
"PH5194606181","NY5","PH5","WIL04","19460618","1","","","","","","","95","1500","","","","","","","","","craij901","alleu901","","","","","mcheh101","grifb102","","regular","1","13","PH5","NY5","y","both","y","y","1946"
"PH5194606182","NY5","PH5","WIL04","19460618","2","","","","","","","130","1500","","","","","","","","","alleu901","craij901","","","","","currg102","johnj110","","regular","9","17","PH5","NY5","y","both","y","y","1946"
"HOM194606290","NY5","HOM","WIL04","19460629","0","","night","","","","","135","1316","","","","","","","","","craij901","alleu901","","trusu901","","","newka101","perra101","","regular","11","4","NY5","HOM","y","both","y","y","1946"
"BLG194607060","NY6","BLG","WIL04","19460706","0","","night","","","","","125","1990","","","","","","","","","mccrf901","trusu901","","alleu901","","","hinta101","howac102","","regular","1","2","BLG","NY6","y","both","y","y","1946"
"NY6194607200","BIR","NY6","WIL04","19460720","0","","","","","","","132","","","","","","","","","","craij901","trusu901","","","","","poweb103","jenkp101","","exhibition","6","5","BIR","NY6","y","both","y","y","1946"
"HOM194607260","NW2","HOM","WIL04","19460726","0","","night","","","","","145","2729","","","","","","","","","mccrf901","trusu901","","","","","day-l101","thurb101","","regular","17","3","NW2","HOM","y","both","y","y","1946"
"CVB194608030","MEM","CVB","WIL04","19460803","0","","night","","","","","135","3378","","","","","","","","","Cockril","trusu901","perru901","","","","clarw103","hubej101","","regular","5","8","CVB","MEM","y","both","y","y","1946"
"BLG194608120","NY6","BLG","WIL04","19460812","0","","night","","","","","135","1803","","","","","","","","","Cotrll","trusu901","","perru901","","","scanp104","rombb101","","regular","10","4","NY6","BLG","y","both","y","y","1946"
"NY5194608170","IN9","NY5","WIL04","19460817","0","","night","","","","","152","3000","","","","","","","","","Rhods","perru901","trusu901","","","","merch101","forrp101","","exhibition","10","6","IN9","NY5","y","both","y","y","1946"
"NW2194608260","NY6","NW2","WIL04","19460826","0","","","","","","","135","1200","","","","","","","","","mccrf901","perru901","","Trust","","","colec106","howac102","","regular","6","8","NW2","NY6","y","both","y","y","1946"
"PH5194608310","HOM","PH5","WIL04","19460831","0","","night","","","","","110","1272","","","","","","","","","mccrf901","trusu901","","perru901","","","browb107","blaig101","","regular","3","11","PH5","HOM","y","both","y","y","1946"
"IN9194609140","KCM","IN9","WIL04","19460914","0","","night","","","","","152","2033","","","","","","","","","mccrf901","trusu901","","perru901","","","wylis101","godim101","smitf107","regular","7","6","KCM","IN9","y","both","y","y","1946"
