"gid","visteam","hometeam","site","date","number","starttime","daynight","innings","tiebreaker","usedh","htbf","timeofgame","attendance","fieldcond","precip","sky","temp","winddir","windspeed","oscorer","forfeit","umphome","ump1b","ump2b","ump3b","umplf","umprf","wp","lp","save","gametype","vruns","hruns","wteam","lteam","line","batteries","lineups","box","pbp","season"
"BLG193905141","HOM","BLG","BAL10","19390514","1","","day","","","","","115","","","","","","","","","","mccrf901","cromu901","","","","","partr102","byrdb101","","regular","7","1","HOM","BLG","y","both","y","y","","1939"
"BLG193905142","HOM","BLG","BAL10","19390514","2","","","","","","","90","","","","","","","","","","mccrf901","cromu901","","","","","walke103","johnj110","","regular","11","0","HOM","BLG","y","both","y","y","","1939"
"BLG193905281","NY5","BLG","BAL10","19390528","1","0:00PM","day","","","FALSE","","151","0","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","cromu901","","","","","willr106","byrdb101","mcdut101","regular","10","8","NY5","BLG","y","both","y","y","d","1939"
"BLG193905282","NY5","BLG","BAL10","19390528","2","0:00PM","day","","","FALSE","","75","0","unknown","unknown","unknown","0","unknown","-1","","","mccrf901","cromu901","","","","","hollb106","adame101","","regular","3","1","NY5","BLG","y","both","y","y","d","1939"
"BLG193906181","NW2","BLG","BAL10","19390618","1","","day","","","","","","","","","","","","","","","","","","","","","hillj104","","","regular","8","1","NW2","BLG","","","","","","1939"
"BLG193906182","NW2","BLG","BAL10","19390618","2","","night","","","","","","","","","","","","","","","","","","","","","mannm101","","","regular","2","0","NW2","BLG","","","","","","1939"
"BLG193907091","PH5","BLG","BAL10","19390709","1","","day","","","","","","","","","","","","","","","mccrf901","","","","","","gainj102","","","regular","6","24","BLG","PH5","","","","","","1939"
"BLG193907092","PH5","BLG","BAL10","19390709","2","","","","","","","","","","","","","","","","Y","mccrf901","","","","","","adame101","","","regular","4","7","BLG","PH5","","","","","","1939"
"BLG193907161","NY6","BLG","BAL10","19390716","1","0:00PM","day","","","FALSE","","105","0","unknown","unknown","unknown","0","unknown","-1","","","turnc101","cromu901","","","","","ruizs101","gainj102","","regular","5","1","NY6","BLG","y","both","y","y","d","1939"
"BLG193907162","NY6","BLG","BAL10","19390716","2","0:00PM","day","7","","FALSE","","101","0","unknown","unknown","unknown","0","unknown","-1","","","turnc101","cromu901","","","","","byrdb101","tianl102","","regular","3","8","BLG","NY6","y","both","y","y","d","1939"
"BLG193908201","NY5","BLG","BAL10","19390820","1","","day","","","","","","","","","","","","","","","","","","","","","","","","regular","4","3","NY5","BLG","","","","","","1939"
"BLG193908202","NY5","BLG","BAL10","19390820","2","","day","7","","","","","","","","","","","","","","","","","","","","","","","regular","2","1","NY5","BLG","","","","","","1939"
"BLG193908271","NY6","BLG","BAL10","19390827","1","0:00PM","day","","","FALSE","","0","1500","unknown","unknown","unknown","0","unknown","-1","","","johnu902","glovu901","","","","","ruizs101","hubew101","","exhibition","5","1","NY6","BLG","y","both","y","y","d","1939"
"BLG193908272","NY6","BLG","BAL10","19390827","2","0:00PM","day","7","","FALSE","","0","1500","unknown","unknown","unknown","0","unknown","-1","","","johnu902","glovu901","","","","","adame101","torra102","","exhibition","4","8","BLG","NY6","y","both","y","y","d","1939"
"BLG193909101","NW2","BLG","BAL10","19390910","1","0:00PM","day","","","FALSE","","0","0","unknown","unknown","unknown","0","unknown","-1","","","turnc101","cromu901","","","","","byrdb101","cozah101","","divisionseries","3","7","BLG","NW2","y","both","y","y","d","1939"
"BLG193909102","NW2","BLG","BAL10","19390910","2","0:00PM","day","","","FALSE","","0","0","unknown","unknown","unknown","0","unknown","-1","","","turnc101","cromu901","","","","","hubew101","mannm101","","divisionseries","2","5","BLG","NW2","y","both","y","y","d","1939"
"BLG193909171","HOM","BLG","BAL10","19390917","1","0:00PM","day","","","FALSE","","0","3000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","gainj102","parkt101","","lcs","5","7","BLG","HOM","y","both","y","y","d","1939"
"BLG193909172","HOM","BLG","BAL10","19390917","2","0:00PM","day","","","FALSE","","0","3000","unknown","unknown","unknown","0","unknown","-1","","","","","","","","","","","","lcs","1","1","","","y","both","y","y","d","1939"
"BLG194105111","HOM","BLG","BAL10","19410511","1","","day","","","","","98","6000","","","","","","","","","mccrf901","cromu901","","","","","byrdb101","partr102","","regular","3","5","BLG","HOM","y","both","y","y","","1941"
"BLG194105112","HOM","BLG","BAL10","19410511","2","","night","","","","","94","6000","","","","","","","","","mccrf901","cromu901","","","","","hamij104","browj112","","regular","4","1","HOM","BLG","y","both","y","y","","1941"
"BLG194105240","NW2","BLG","BAL10","19410524","0","","","","","","","","","","","","","","","","","","","","","","","","","","regular","7","15","BLG","NW2","","","","","","1941"
"BLG194106011","NY6","BLG","BAL10","19410601","1","","","","","","","121","2500","","","","","","","","","turnc101","cromu901","","","","","willr106","howac102","","regular","4","5","BLG","NY6","y","both","y","y","","1941"
"BLG194106012","NY6","BLG","BAL10","19410601","2","","","","","","","97","2500","","","","","","","","","turnc101","cromu901","","","","","barnb105","bernp101","","regular","4","9","BLG","NY6","y","both","y","y","","1941"
"BLG194106221","NY5","BLG","BAL10","19410622","1","","","","","","","138","2900","","","","","","","","","mccrf901","","cromu901","","","","gainj102","stann101","","regular","5","14","BLG","NY5","y","both","y","y","","1941"
"BLG194106222","NY5","BLG","BAL10","19410622","2","","","","","","","100","2900","","","","","","","","","mccrf901","","cromu901","","","","byrdb101","stann101","","regular","6","7","BLG","NY5","y","both","y","y","","1941"
"BLG194107271","NY6","BLG","BAL10","19410727","1","","","","","","","","8.1250000000000003E-2","","","","","","","","","cockp101","","hollu902","","","","gainj102","bernp101","","exhibition","0","3","BLG","NY6","y","both","y","y","","1941"
"BLG194107272","NY6","BLG","BAL10","19410727","2","","","","","","","","6.9444444444444434E-2","","","","","","","","","cockp101","","hollu902","","","","andeb106","adame101","","exhibition","3","2","NY6","BLG","y","both","y","y","","1941"
"BLG194108100","NW2","BLG","BAL10","19410810","0","","night","","","","","","","","","","","","","","","hollu902","hilsr901","","","","","hobgf101","willr106","","regular","17","8","NW2","BLG","y","both","y","y","","1941"
