"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLS192909292","albej102","ASB","1","2","value","20","8","3","0","0","0","0","19290929","2","BAL13","BLS","L","exhibition","y"
"BLS192909292","albej102","ASB","1","2","lower","20","8","3","0","0","0","0","19290929","2","BAL13","BLS","L","exhibition","y"
"BLS192909292","albej102","ASB","1","2","upper","20","8","3","0","0","0","0","19290929","2","BAL13","BLS","L","exhibition","y"
"BLS192910062","albej102","ASB","1","2","value","21","6","0","0","0","0","0","19291006","2","BAL13","BLS","W","exhibition","y"
"BLS192910062","albej102","ASB","1","2","lower","21","6","0","0","0","0","0","19291006","2","BAL13","BLS","W","exhibition","y"
"BLS192910062","albej102","ASB","1","2","upper","21","6","0","0","0","0","0","19291006","2","BAL13","BLS","W","exhibition","y"
"BLS193010052","albej102","ASB","1","2","value","12","7","0","0","0","0","0","19301005","2","BAL13","BLS","L","exhibition","y"
"BLS193010052","albej102","ASB","1","2","lower","12","7","0","0","0","0","0","19301005","2","BAL13","BLS","L","exhibition","y"
"BLS193010052","albej102","ASB","1","2","upper","12","7","0","0","0","0","0","19301005","2","BAL13","BLS","L","exhibition","y"
"BLS193110040","albej102","ASB","1","2","value","24","5","2","1","0","0","1","19311004","0","BAL13","BLS","L","exhibition","y"
"BLS193110040","albej102","ASB","1","2","lower","24","5","2","0","0","0","1","19311004","0","BAL13","BLS","L","exhibition","y"
"BLS193110040","albej102","ASB","1","2","upper","24","5","2","0","0","0","1","19311004","0","BAL13","BLS","L","exhibition","y"
"BLS193110111","albej102","ASB","1","2","value","27","6","0","0","0","0","0","19311011","1","BAL13","BLS","W","exhibition","y"
"BLS193110111","albej102","ASB","1","2","lower","27","6","0","0","0","0","0","19311011","1","BAL13","BLS","W","exhibition","y"
"BLS193110111","albej102","ASB","1","2","upper","27","6","0","0","0","0","0","19311011","1","BAL13","BLS","W","exhibition","y"
