"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194604120","alexg103","CCR","","","value","","","","","","","","","","","","","","","","","","","","","19460412","0","HOU04","KCM","L","exhibition",""
"KCM194604120","alexg103","CCR","","","lower","","","","","","","","","","","","","","","","","","","","","19460412","0","HOU04","KCM","L","exhibition",""
"KCM194604120","alexg103","CCR","","","upper","","","","","","","","","","","","","","","","","","","","","19460412","0","HOU04","KCM","L","exhibition",""
"KCM194604140","alexg103","CCR","","","value","","","","","","","","","","","","","","","","","","","","","19460414","0","COR01","KCM","L","exhibition",""
"KCM194604140","alexg103","CCR","","","lower","","","","","","","","","","","","","","","","","","","","","19460414","0","COR01","KCM","L","exhibition",""
"KCM194604140","alexg103","CCR","","","upper","","","","","","","","","","","","","","","","","","","","","19460414","0","COR01","KCM","L","exhibition",""
"CCR194604170","alexg103","CCR","","","value","","","","","","","","","","","","","","","","","","","","","19460417","0","DAL01","KCM","L","exhibition",""
"CCR194604170","alexg103","CCR","","","lower","","","","","","","","","","","","","","","","","","","","","19460417","0","DAL01","KCM","L","exhibition",""
"CCR194604170","alexg103","CCR","","","upper","","","","","","","","","","","","","","","","","","","","","19460417","0","DAL01","KCM","L","exhibition",""
"IN9194607060","alexg103","CCR","","","value","","","","","","","","","","","","","","","","","","","","","19460706","0","IND10","IN9","L","exhibition",""
"IN9194607060","alexg103","CCR","","","lower","","","","","","","","","","","","","","","","","","","","","19460706","0","IND10","IN9","L","exhibition",""
"IN9194607060","alexg103","CCR","","","upper","","","","","","","","","","","","","","","","","","","","","19460706","0","IND10","IN9","L","exhibition",""
"MEM194607212","alexg103","CCR","","","value","","","","","","","","","","","","","","","","","","","","","19460721","2","MEM03","MEM","L","exhibition",""
"MEM194607212","alexg103","CCR","","","lower","","","","","","","","","","","","","","","","","","","","","19460721","2","MEM03","MEM","L","exhibition",""
"MEM194607212","alexg103","CCR","","","upper","","","","","","","","","","","","","","","","","","","","","19460721","2","MEM03","MEM","L","exhibition",""
"IN9194608041","alexg103","CCR","","","value","","","","","","","","","","","","","","","","","","","","","19460804","1","CIN07","IN9","W","exhibition",""
"IN9194608041","alexg103","CCR","","","lower","","","","","","","","","","","","","","","","","","","","","19460804","1","CIN07","IN9","W","exhibition",""
"IN9194608041","alexg103","CCR","","","upper","","","","","","","","","","","","","","","","","","","","","19460804","1","CIN07","IN9","W","exhibition",""
"KCM194608160","alexg103","CCR","9","1","value","3","0","1","0","0","0","0","0","","0","1","","","0","","","0","","","","19460816","0","KAN05","KCM","L","exhibition","y"
"KCM194608160","alexg103","CCR","9","1","lower","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460816","0","KAN05","KCM","L","exhibition","y"
"KCM194608160","alexg103","CCR","9","1","upper","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460816","0","KAN05","KCM","L","exhibition","y"
"NY6194609020","alexg103","CCR","","","value","","","","","","","","","","","","","","","","","","","","","19460902","0","NYC14","NY6","L","exhibition",""
"NY6194609020","alexg103","CCR","","","lower","","","","","","","","","","","","","","","","","","","","","19460902","0","NYC14","NY6","L","exhibition",""
"NY6194609020","alexg103","CCR","","","upper","","","","","","","","","","","","","","","","","","","","","19460902","0","NYC14","NY6","L","exhibition",""
