"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"KCM192404272","allen102","KCM","1","4","value","24","3","2","1","1","1","0","19240427","2","KAN05","SSN","W","regular","y"
"KCM192404272","allen102","KCM","1","4","lower","24","3","2","1","1","1","0","19240427","2","KAN05","SSN","W","regular","y"
"KCM192404272","allen102","KCM","1","4","upper","24","3","2","1","1","1","0","19240427","2","KAN05","SSN","W","regular","y"
"HIL192410030","allen102","KCM","1","4","value","27","2","6","0","1","0","0","19241003","0","PHI09","HIL","W","championship","y"
"HIL192410030","allen102","KCM","1","4","lower","27","2","5","0","1","0","0","19241003","0","PHI09","HIL","W","championship","y"
"HIL192410030","allen102","KCM","1","4","upper","27","2","6","0","1","0","0","19241003","0","PHI09","HIL","W","championship","y"
"HIL192410040","allen102","KCM","1","4","value","24","2","1","0","0","0","0","19241004","0","PHI09","HIL","L","championship","y"
"HIL192410040","allen102","KCM","1","4","lower","24","2","1","0","0","0","0","19241004","0","PHI09","HIL","L","championship","y"
"HIL192410040","allen102","KCM","1","4","upper","24","2","1","0","0","0","0","19241004","0","PHI09","HIL","L","championship","y"
"HIL192410050","allen102","KCM","1","4","value","39","5","8","0","2","0","0","19241005","0","BAL13","HIL","T","championship","y"
"HIL192410050","allen102","KCM","1","4","lower","39","5","8","0","2","0","0","19241005","0","BAL13","HIL","T","championship","y"
"HIL192410050","allen102","KCM","1","4","upper","39","5","8","0","2","0","0","19241005","0","BAL13","HIL","T","championship","y"
"HIL192410060","allen102","KCM","1","4","value","24","1","5","2","0","0","0","19241006","0","BAL13","HIL","L","championship","y"
"HIL192410060","allen102","KCM","1","4","lower","24","1","5","2","0","0","0","19241006","0","BAL13","HIL","L","championship","y"
"HIL192410060","allen102","KCM","1","4","upper","24","1","5","2","0","0","0","19241006","0","BAL13","HIL","L","championship","y"
"KCM192410110","allen102","KCM","1","4","value","27","3","4","0","0","0","0","19241011","0","KAN05","HIL","L","championship","y"
"KCM192410110","allen102","KCM","1","4","lower","27","3","3","0","0","0","0","19241011","0","KAN05","HIL","L","championship","y"
"KCM192410110","allen102","KCM","1","4","upper","27","3","4","0","0","0","0","19241011","0","KAN05","HIL","L","championship","y"
"KCM192410120","allen102","KCM","1","4","value","27","3","2","0","1","0","0","19241012","0","KAN05","HIL","W","championship","y"
"KCM192410120","allen102","KCM","1","4","lower","27","3","2","0","1","0","0","19241012","0","KAN05","HIL","W","championship","y"
"KCM192410120","allen102","KCM","1","4","upper","27","3","2","0","1","0","0","19241012","0","KAN05","HIL","W","championship","y"
"KCM192410140","allen102","KCM","1","4","value","36","0","3","1","0","0","0","19241014","0","KAN05","HIL","W","championship","y"
"KCM192410140","allen102","KCM","1","4","lower","36","0","3","1","0","0","0","19241014","0","KAN05","HIL","W","championship","y"
"KCM192410140","allen102","KCM","1","4","upper","36","0","3","1","0","0","0","19241014","0","KAN05","HIL","W","championship","y"
"KCM192410180","allen102","KCM","1","4","value","27","1","4","0","0","0","0","19241018","0","CHI09","HIL","W","championship","y"
"KCM192410180","allen102","KCM","1","4","lower","27","1","3","0","0","0","0","19241018","0","CHI09","HIL","W","championship","y"
"KCM192410180","allen102","KCM","1","4","upper","27","1","4","0","0","0","0","19241018","0","CHI09","HIL","W","championship","y"
"KCM192410190","allen102","KCM","1","4","value","27","3","5","0","0","0","0","19241019","0","CHI09","HIL","L","championship","y"
"KCM192410190","allen102","KCM","1","4","lower","27","3","3","0","0","0","0","19241019","0","CHI09","HIL","L","championship","y"
"KCM192410190","allen102","KCM","1","4","upper","27","3","5","0","0","0","0","19241019","0","CHI09","HIL","L","championship","y"
"KCM192410200","allen102","KCM","1","4","value","27","2","4","0","0","0","0","19241020","0","CHI09","HIL","W","championship","y"
"KCM192410200","allen102","KCM","1","4","lower","27","2","3","0","0","0","0","19241020","0","CHI09","HIL","W","championship","y"
"KCM192410200","allen102","KCM","1","4","upper","27","2","4","0","0","0","0","19241020","0","CHI09","HIL","W","championship","y"
"KCM192508110","allen102","KCM","1","4","value","27","2","5","0","0","1","0","19250811","0","KAN05","SSN","L","regular","y"
"KCM192508110","allen102","KCM","1","4","lower","27","2","5","0","0","1","0","19250811","0","KAN05","SSN","L","regular","y"
"KCM192508110","allen102","KCM","1","4","upper","28","2","5","0","0","1","0","19250811","0","KAN05","SSN","L","regular","y"
"SSN192509190","allen102","KCM","1","4","value","27","2","5","0","2","0","0","19250919","0","STL12","SSN","W","lcs","y"
"SSN192509190","allen102","KCM","1","4","lower","27","2","3","0","2","0","0","19250919","0","STL12","SSN","W","lcs","y"
"SSN192509190","allen102","KCM","1","4","upper","27","2","5","0","2","0","0","19250919","0","STL12","SSN","W","lcs","y"
"SSN192509200","allen102","KCM","1","4","value","24","0","2","0","1","0","0","19250920","0","STL12","SSN","L","lcs","y"
"SSN192509200","allen102","KCM","1","4","lower","24","0","2","0","1","0","0","19250920","0","STL12","SSN","L","lcs","y"
"SSN192509200","allen102","KCM","1","4","upper","24","0","2","0","1","0","0","19250920","0","STL12","SSN","L","lcs","y"
"SSN192509230","allen102","KCM","1","4","value","24","0","0","0","0","0","0","19250923","0","STL12","SSN","L","lcs","y"
"SSN192509230","allen102","KCM","1","4","lower","24","0","0","0","0","0","0","19250923","0","STL12","SSN","L","lcs","y"
"SSN192509230","allen102","KCM","1","4","upper","24","0","0","0","0","0","0","19250923","0","STL12","SSN","L","lcs","y"
"KCM192509260","allen102","KCM","1","4","value","27","0","2","0","0","0","0","19250926","0","CHI09","SSN","W","lcs","y"
"KCM192509260","allen102","KCM","1","4","lower","27","0","2","0","0","0","0","19250926","0","CHI09","SSN","W","lcs","y"
"KCM192509260","allen102","KCM","1","4","upper","27","0","2","0","0","0","0","19250926","0","CHI09","SSN","W","lcs","y"
"KCM192509270","allen102","KCM","1","4","value","27","2","6","1","0","0","0","19250927","0","CHI09","SSN","L","lcs","y"
"KCM192509270","allen102","KCM","1","4","lower","27","2","6","1","0","0","0","19250927","0","CHI09","SSN","L","lcs","y"
"KCM192509270","allen102","KCM","1","4","upper","27","2","6","1","0","0","0","19250927","0","CHI09","SSN","L","lcs","y"
"KCM192509281","allen102","KCM","1","4","value","27","0","0","0","1","0","0","19250928","1","CHI09","SSN","W","lcs","y"
"KCM192509281","allen102","KCM","1","4","lower","27","0","0","0","1","0","0","19250928","1","CHI09","SSN","W","lcs","y"
"KCM192509281","allen102","KCM","1","4","upper","27","0","0","0","1","0","0","19250928","1","CHI09","SSN","W","lcs","y"
"KCM192509282","allen102","KCM","1","4","value","24","1","3","0","1","0","0","19250928","2","CHI09","SSN","W","lcs","y"
"KCM192509282","allen102","KCM","1","4","lower","24","1","3","0","1","0","0","19250928","2","CHI09","SSN","W","lcs","y"
"KCM192509282","allen102","KCM","1","4","upper","24","1","3","0","1","0","0","19250928","2","CHI09","SSN","W","lcs","y"
"KCM192510010","allen102","KCM","1","4","value","36","1","5","0","0","0","0","19251001","0","KAN05","HIL","L","championship","y"
"KCM192510010","allen102","KCM","1","4","lower","36","1","4","0","0","0","0","19251001","0","KAN05","HIL","L","championship","y"
"KCM192510010","allen102","KCM","1","4","upper","36","1","5","0","0","0","0","19251001","0","KAN05","HIL","L","championship","y"
"KCM192510020","allen102","KCM","1","4","value","27","1","1","0","0","0","0","19251002","0","KAN05","HIL","W","championship","y"
"KCM192510020","allen102","KCM","1","4","lower","27","1","0","0","0","0","0","19251002","0","KAN05","HIL","W","championship","y"
"KCM192510020","allen102","KCM","1","4","upper","27","1","1","0","0","0","0","19251002","0","KAN05","HIL","W","championship","y"
"KCM192510030","allen102","KCM","1","4","value","30","4","6","0","0","0","0","19251003","0","KAN05","HIL","L","championship","y"
"KCM192510030","allen102","KCM","1","4","lower","30","4","4","0","0","0","0","19251003","0","KAN05","HIL","L","championship","y"
"KCM192510030","allen102","KCM","1","4","upper","30","4","6","0","0","0","0","19251003","0","KAN05","HIL","L","championship","y"
"KCM192510040","allen102","KCM","1","4","value","27","1","7","0","0","0","0","19251004","0","KAN05","HIL","L","championship","y"
"KCM192510040","allen102","KCM","1","4","lower","27","1","6","0","0","0","0","19251004","0","KAN05","HIL","L","championship","y"
"KCM192510040","allen102","KCM","1","4","upper","27","1","7","0","0","0","0","19251004","0","KAN05","HIL","L","championship","y"
"HIL192510080","allen102","KCM","1","4","value","24","3","2","0","1","0","0","19251008","0","PHI09","HIL","L","championship","y"
"HIL192510080","allen102","KCM","1","4","lower","24","3","1","0","1","0","0","19251008","0","PHI09","HIL","L","championship","y"
"HIL192510080","allen102","KCM","1","4","upper","24","3","2","0","1","0","0","19251008","0","PHI09","HIL","L","championship","y"
"HIL192510100","allen102","KCM","1","4","value","24","1","2","0","0","0","0","19251010","0","PHI09","HIL","L","championship","y"
"HIL192510100","allen102","KCM","1","4","lower","24","1","2","0","0","0","0","19251010","0","PHI09","HIL","L","championship","y"
"HIL192510100","allen102","KCM","1","4","upper","24","1","2","0","0","0","0","19251010","0","PHI09","HIL","L","championship","y"
"PRG192511150","allen102","PRG","1","6","value","27","1","5","1","3","0","0","19251115","0","LOS05","PIR","W","exhibition","y"
"PRG192511150","allen102","PRG","1","6","lower","27","1","5","1","3","0","0","19251115","0","LOS05","PIR","W","exhibition","y"
