"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"NY5194605070","ascac101","NY5","1","3","value","27","","","0","","0","0","","","","","19460507","0","NOR02","NY6","l","regular",""
"NY5194605191","ascac101","NY5","1","3","value","27","11","1","0","1","0","","","","","1","19460519","1","NYC16","NY6","l","regular","y"
"HOM194605200","ascac101","NY5","1","3","value","24","10","0","0","0","0","","","","","1","19460520","0","HRB01","HOM","l","regular","y"
"HOM194605220","ascac101","NY5","1","3","value","24","11","0","0","0","0","","","","","1","19460522","0","PIT06","HOM","l","regular","y"
"HOM194605230","ascac101","NY5","1","3","value","24","11","1","1","1","0","","","","","1","19460523","0","WAS09","HOM","l","regular","y"
"NY5194605261","ascac101","NY5","1","3","value","27","10","0","0","1","0","","","","","1","19460526","1","NYC16","HOM","l","regular","y"
"NY5194605262","ascac101","NY5","1","3","value","27","","","0","0","0","","","","","1","19460526","2","NYC16","NW2","w","regular","y"
"PH5194605311","ascac101","NY5","1","3","value","21","8","0","0","0","0","","","","","1","19460531","1","PHI11","PH5","l","regular","y"
"PH5194606080","ascac101","NY5","1","3","value","26","6","1","0","0","0","","","","","1","19460608","0","PHI17","PH5","l","regular","y"
"NY5194606170","ascac101","NY5","1","3","value","27","9","0","0","0","0","","","","","1","19460617","0","NYC23","BLG","l","regular","y"
"PH5194606181","ascac101","NY5","1","3","value","18","8","1","0","1","0","","","","","1","19460618","1","WIL04","PH5","l","regular","y"
"PH5194606182","ascac101","NY5","1","3","value","24","8","0","0","1","0","","","","","1","19460618","2","WIL04","PH5","l","regular","y"
"NW2194606211","ascac101","NY5","1","3","value","18","","","0","0","0","","","","","1","19460621","1","NWK04","NW2","l","regular","y"
"PH5194606220","ascac101","NY5","1","3","value","24","8","1","1","0","0","","","","","1","19460622","0","PHI17","PH5","l","regular","y"
"NY5194606230","ascac101","NY5","1","3","value","27","10","3","0","1","0","","","","","1","19460623","0","NYC16","BLG","l","regular","y"
"BLG194606281","ascac101","NY5","1","3","value","18","7","1","0","0","0","","","","","1","19460628","1","BAL14","BLG","l","regular","y"
"HOM194606290","ascac101","NY5","1","3","value","27","12","0","0","1","0","","","","","1","19460629","0","WIL04","HOM","w","regular","y"
"HOM194606302","ascac101","NY5","1","3","value","18","9","0","0","0","0","","","","","1","19460630","2","WAS09","HOM","l","regular","y"
