"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"NY5194305161","baker101","NY5","1","6","value","27","","","0","0","0","","","","","1","19430516","1","NYC16","NY6","l","regular","y"
"NY5194305162","baker101","NY5","1","6","value","30","","","0","0","0","","","","","1","19430516","2","NYC16","NY6","t","regular","y"
"NW2194305250","baker101","NY5","1","6","value","24","1","0","1","0","0","","","","","1","19430525","0","TRE01","NW2","l","regular","y"
"NW2194305290","baker101","NY5","1","6","value","24","3","2","0","0","0","","","","","1","19430529","0","PAT01","NW2","l","regular","y"
"NY5194305301","baker101","NY5","1","6","value","27","0","4","0","0","0","","","","","1","19430530","1","NYC14","PH5","l","regular","y"
"PH5194306030","baker101","NY5","1","6","value","24","0","1","2","0","0","","","","","1","19430603","0","PHI17","PH5","l","regular","y"
"NW2194306061","baker101","NY5","1","6","value","24","1","2","0","0","0","","","","","1","19430606","1","NWK04","NW2","l","regular","y"
"PH5194306120","baker101","NY5","1","6","value","27","2","4","0","0","0","","","","","1","19430612","0","PHI17","PH5","w","regular","y"
"NY5194306131","baker101","NY5","1","6","value","27","2","2","0","0","0","","","","","1","19430613","1","NYC16","HSL","l","regular","y"
"BLG194306201","baker101","NY5","1","6","value","24","4","3","0","2","0","","","","","1","19430620","1","BAL14","BLG","l","regular","y"
"BLG194306202","baker101","NY5","1","6","value","21","0","1","0","0","0","","","","","1","19430620","2","BAL14","BLG","w","regular","y"
"PH5194306240","baker101","NY5","1","4","value","24","2","3","3","0","0","","","","","1","19430624","0","PHI17","PH5","l","regular","y"
"NY6194306271","baker101","NY5","1","6","value","24","0","3","1","0","0","","","","","1","19430627","1","NYC16","NY6","l","regular","y"
"NY5194307041","baker101","NY5","1","6","value","27","2","7","0","2","0","","","","","1","19430704","1","NYC16","BLG","l","regular","y"
"NY5194307112","baker101","NY5","1","6","value","27","2","3","0","1","0","","","","","1","19430711","2","NYC16","NW2","l","regular","y"
"NW2194307160","baker101","NY5","1","6","value","24","","","0","0","0","","","","","1","19430716","0","NWK04","NW2","l","regular","y"
"PH5194307170","baker101","NY5","1","6","value","24","3","1","1","0","0","","","","","1","19430717","0","PHI17","PH5","l","regular","y"
"NW2194307181","baker101","NY5","1","6","value","24","0","0","0","0","0","","","","","1","19430718","1","NWK04","NW2","l","regular","y"
"NW2194307182","baker101","NY5","1","6","value","18","2","3","0","0","0","","","","","1","19430718","2","NWK04","NW2","l","regular","y"
"NY5194307251","baker101","NY5","1","6","value","27","2","3","1","0","0","","","","","1","19430725","1","NYC14","NW2","l","regular","y"
"PH5194307290","baker101","NY5","1","5","value","","1","5","2","0","0","","","","","1","19430729","0","PHI17","PH5","l","regular","y"
"BLG194307300","baker101","NY5","1","6","value","30","3","4","1","0","0","","","","","1","19430730","0","BAL14","BLG","t","exhibition","y"
"BLG194307310","baker101","NY5","1","6","value","24","2","1","0","0","0","","","","","1","19430731","0","BAL14","BLG","l","exhibition","y"
"BLG194308011","baker101","NY5","1","6","value","27","5","3","0","0","0","","","","","1","19430801","1","BAL14","BLG","w","exhibition","y"
"BLG194308012","baker101","NY5","1","6","value","21","0","4","0","0","0","","","","","1","19430801","2","BAL14","BLG","l","exhibition","y"
"NY5194308150","baker101","NY5","1","6","value","27","2","3","0","0","0","","","","","1","19430815","0","NYC16","HSL","w","regular","y"
"NY5194308221","baker101","NY5","1","6","value","27","4","3","0","0","0","","","","","1","19430822","1","NYC16","BIR","l","exhibition","y"
"HOM194308230","baker101","NY5","1","6","value","24","1","6","1","0","0","","","","","1","19430823","0","WAS09","HOM","l","regular","y"
"PH5194308280","baker101","NY5","1","6","value","24","1","2","1","0","0","","","","","1","19430828","0","PHI17","PH5","l","regular","y"
"MEM194309210","baker101","NY5","1","7","value","","0","0","0","0","0","","","","","1","19430921","0","MUS01","MEM","l","exhibition","y"
"MEM194309230","baker101","NY5","1","6","value","27","","","1","","0","0","","","","1","19430923","0","WAC01","MEM","w","exhibition",""
"CI2194310030","baker101","NY5","1","2","value","27","","","0","","0","","","","","1","19431003","0","LRK02","CI2","w","exhibition",""
"NY5194404301","baker101","NY5","1","6","value","27","","","0","0","0","","","","","1","19440430","1","NYC16","HOM","l","exhibition","y"
"HOM194405071","baker101","NY5","1","6","value","24","2","1","2","0","0","","","","","1","19440507","1","WAS09","HOM","l","regular","y"
"BLG194405190","baker101","NY5","1","6","value","6","","","0","0","0","","","","","1","19440519","0","BAL14","BLG","l","regular","y"
"NY5194405211","baker101","NY5","1","6","value","27","3","11","0","0","0","","","","","1","19440521","1","NYC14","NY6","l","regular","y"
"NW2194405281","baker101","NY5","1","6","value","24","","","1","1","0","","","","","1","19440528","1","NWK04","NW2","l","regular","y"
"PH5194406030","baker101","NY5","1","6","value","15","0","0","0","0","0","","","","","","19440603","0","PHI17","PH5","l","regular","y"
"NY5194406042","baker101","NY5","1","6","value","21","2","1","0","0","0","","","","","1","19440604","2","NYC16","BIR","l","exhibition","y"
"NY5194406111","baker101","NY5","1","6","value","27","3","1","0","1","0","","","","","1","19440611","1","NYC16","PH5","w","regular","y"
"NY5194407091","baker101","NY5","1","6","value","27","3","1","0","0","0","","","","","1","19440709","1","NYC14","PH5","l","regular","y"
"BLG194407232","baker101","NY5","1","2","value","18","","","1","0","0","0","","","","1","19440723","2","BAL14","BLG","l","regular","y"
"NY6194407280","baker101","NY5","1","2","value","","3","2","0","1","0","2","","","","1","19440728","0","HRB01","NY6","l","regular","y"
"NY6194407280","baker101","NY5","2","6","value","","","","0","1","0","","","","","1","19440728","0","HRB01","NY6","l","regular","y"
"HOM194407301","baker101","NY5","1","6","value","","","","0","1","0","","","","","","19440730","1","WAS09","HOM","l","regular","y"
"HOM194407302","baker101","NY5","1","6","value","18","","","0","0","0","","","","","1","19440730","2","WAS09","HOM","l","regular","y"
"HOM194407310","baker101","NY5","1","2","value","24","3","0","0","0","0","0","","","","1","19440731","0","ALT02","HOM","l","regular","y"
"HOM194408010","baker101","NY5","1","6","value","24","3","4","1","1","0","","","","","1","19440801","0","PIT06","HOM","l","regular","y"
"BLG194409031","baker101","NY5","1","6","value","24","","","0","0","0","","","","","1","19440903","1","BAL14","BLG","l","regular","y"
"BLG194409032","baker101","NY5","1","6","value","","","","1","0","0","","","","","1","19440903","2","BAL14","BLG","l","regular","y"
"BLG194409171","baker101","BLG","1","5","value","30","","","0","0","0","","","","","1","19440917","1","BAL14","CVB","l","exhibition","y"
"BLG194409172","baker101","BLG","1","5","value","","","","0","0","0","","","","","","19440917","2","BAL14","CVB","w","exhibition","y"
"MEM194409242","baker101","BLG","1","2","value","21","","","0","","0","","","","","1","19440924","2","NOL01","MEM","w","exhibition",""
"HOM194505131","baker101","NY5","1","9","value","24","2","0","0","0","0","","","","","1","19450513","1","WAS09","HOM","l","regular","y"
"PH5194505240","baker101","NY5","1","6","value","24","1","2","1","0","0","","","","","1","19450524","0","PHI17","PH5","l","regular","y"
"BLG194505290","baker101","NY5","1","5","value","26","","","0","0","0","","","","","1","19450529","0","BAL14","BLG","l","regular","y"
"BLG194505301","baker101","NY5","1","6","value","24","","","0","0","0","","","","","1","19450530","1","BAL14","BLG","l","regular","y"
"BLG194505302","baker101","NY5","1","6","value","21","","","0","0","0","","","","","1","19450530","2","BAL14","BLG","w","regular","y"
"PH5194506090","baker101","NY5","1","2","value","27","3","0","0","0","0","0","","","","1","19450609","0","PHI17","PH5","t","regular","y"
"BLG194506101","baker101","NY5","1","2","value","24","","","0","0","0","0","","","","1","19450610","1","BAL14","BLG","l","regular","y"
"BLG194506102","baker101","NY5","1","2","value","12","","","0","0","0","0","","","","1","19450610","2","BAL14","BLG","l","regular","y"
"NY5194506171","baker101","NY5","1","6","value","27","1","5","0","0","0","","","","","1","19450617","1","NYC16","PH5","l","regular","y"
"NW2194506241","baker101","NY5","1","6","value","24","","","0","0","0","","","","","1","19450624","1","NWK04","NW2","l","regular","y"
"NY5194507090","baker101","NY5","1","7","value","24","1","0","0","0","0","","","","","1","19450709","0","WIL04","CIA","l","exhibition","y"
"HOM194507100","baker101","NY5","1","7","value","24","1","0","0","0","0","","","","","1","19450710","0","PIT06","HOM","l","regular","y"
"HOM194507120","baker101","NY5","1","5","value","24","0","3","0","0","0","","","","","1","19450712","0","HRB01","HOM","l","regular","y"
"PH5194508040","baker101","NY5","1","8","value","27","2","0","0","0","0","","","","","1","19450804","0","PHI17","PH5","w","regular","y"
"NY5194508050","baker101","NY5","1","5","value","","3","0","0","0","0","","","","","","19450805","0","NYC16","PH5","w","regular","y"
"BLG194508070","baker101","NY5","1","5","value","24","","","1","0","0","","","","","1","19450807","0","BAL14","BLG","l","regular","y"
"NY5194508122","baker101","NY5","1","5","value","18","0","1","0","0","0","","","","","1","19450812","2","NYC16","KCM","l","exhibition","y"
"NY5194508130","baker101","NY5","1","6","value","27","2","4","0","0","0","","","","","1","19450813","0","NYC23","MEM","l","exhibition","y"
"NY5194508200","baker101","NY5","1","5","value","27","3","1","0","0","0","","","","","1","19450820","0","NYC23","BLG","l","regular","y"
"NY6194508260","baker101","NY5","1","7","value","3","0","0","0","0","0","","","","","","19450826","0","NYC14","NY6","w","regular","y"
"NY5194508270","baker101","NY5","1","7","value","27","1","0","0","0","0","","","","","1","19450827","0","NYC23","NY6","w","regular","y"
"BLG194508301","baker101","NY5","1","7","value","24","2","1","0","0","0","","","","","1","19450830","1","PHI11","BLG","l","regular","y"
"BLG194508310","baker101","NY5","1","5","value","27","","","0","0","0","","","","","1","19450831","0","BAL14","BLG","w","regular","y"
"PH5194509010","baker101","NY5","1","8","value","","3","1","0","0","0","","","","","1","19450901","0","PHI17","PH5","l","regular","y"
"PH5194509010","baker101","NY5","2","5","value","","","","0","0","0","","","","","1","19450901","0","PHI17","PH5","l","regular","y"
