"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"MEM194104201","barnd101","NY6","1","value","","","","","","","","","","","","","","","","","","","1","","1","","","19410420","1","MEM02","MEM","L","exhibition",""
"MEM194104201","barnd101","NY6","1","lower","","","","","","","","","","","","","","","","","","","","","","","","19410420","1","MEM02","MEM","L","exhibition",""
"MEM194104201","barnd101","NY6","1","upper","","","","","","","","","","","","","","","","","","","","","","","","19410420","1","MEM02","MEM","L","exhibition",""
"SNO194105070","barnd101","SNO","2","value","","","","","","","","","","","","","","","","","","","","","","1","","19410507","0","TUL01","CAG","L","exhibition",""
"SNO194105070","barnd101","SNO","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19410507","0","TUL01","CAG","L","exhibition",""
"SNO194105070","barnd101","SNO","2","upper","","","","","","","","","","","","","","","","","","","","","","","","19410507","0","TUL01","CAG","L","exhibition",""
"NW2194105110","barnd101","NY6","1","value","27","","39","11","0","0","3","7","","1","","9","0","0","0","1","","1","","","1","","1","19410511","0","NWK04","NW2","W","regular","y"
"NW2194105110","barnd101","NY6","1","lower","27","","37","11","0","0","3","7","","1","","9","0","0","0","0","","","","","","","","19410511","0","NWK04","NW2","W","regular","y"
"NW2194105110","barnd101","NY6","1","upper","27","","39","11","0","0","3","7","","1","","9","0","0","0","1","","","","","","","","19410511","0","NWK04","NW2","W","regular","y"
"SNO194105130","barnd101","SNO","2","value","2","","6","3","0","","0","2","","1","","1","0","0","0","","","","1","","","","","19410513","0","NOL01","JAX","L","regular","y"
"SNO194105130","barnd101","SNO","2","lower","2","","","3","0","","0","2","","1","","1","0","0","0","","","","","","","","","19410513","0","NOL01","JAX","L","regular","y"
"SNO194105130","barnd101","SNO","2","upper","2","","","3","0","","0","2","","1","","1","0","0","0","","","","","","","","","19410513","0","NOL01","JAX","L","regular","y"
"NW2194105150","barnd101","NY6","2","value","14","","17","1","","","0","1","","1","","","0","0","0","","","","","","","1","","19410515","0","NWK04","NW2","L","regular","y"
"NW2194105150","barnd101","NY6","2","lower","","","","","","","0","","","","","","0","0","0","","","","","","","","","19410515","0","NWK04","NW2","L","regular","y"
"NW2194105150","barnd101","NY6","2","upper","","","","","","","0","","","","","","0","0","0","","","","","","","","","19410515","0","NWK04","NW2","L","regular","y"
"HOM194105251","barnd101","NY6","1","value","27","","36","6","2","1","0","1","","0","","7","0","0","0","1","","1","","","1","","1","19410525","1","WAS09","HOM","W","regular","y"
"HOM194105251","barnd101","NY6","1","lower","27","","36","6","2","1","0","1","","0","","7","0","0","0","1","","","","","","","","19410525","1","WAS09","HOM","W","regular","y"
"HOM194105251","barnd101","NY6","1","upper","27","","36","6","2","1","0","1","","0","","7","0","0","0","1","","","","","","","","19410525","1","WAS09","HOM","W","regular","y"
"NY6194105301","barnd101","NY6","1","value","27","","33","5","1","0","1","3","","1","","7","0","0","0","1","","1","","","1","","1","19410530","1","NYC16","BLG","W","regular","y"
"NY6194105301","barnd101","NY6","1","lower","27","","31","5","1","0","1","3","","1","","7","0","0","0","1","","","","","","","","19410530","1","NYC16","BLG","W","regular","y"
