"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"NNL193809240","barnh103","NAL","1","2","value","9","-1","0","0","0","0","0","19380924","0","PHI17","NNL","L","allstar","y"
"NNL193809240","barnh103","NAL","1","2","lower","","","","0","","0","","19380924","0","PHI17","NNL","L","allstar","y"
"NNL193809240","barnh103","NAL","1","2","upper","","","","0","","0","","19380924","0","PHI17","NNL","L","allstar","y"
"BIR194208161","barnh103","BIR","1","2","value","","2","0","0","0","0","0","19420816","1","BIR01","CCB","W","exhibition","y"
"BIR194208161","barnh103","BIR","1","2","lower","","2","0","0","0","0","0","19420816","1","BIR01","CCB","W","exhibition","y"
"BIR194208161","barnh103","BIR","1","2","upper","","2","0","0","0","0","0","19420816","1","BIR01","CCB","W","exhibition","y"
"BIR194208162","barnh103","BIR","1","2","value","15","4","0","0","0","0","0","19420816","2","BIR01","CCB","W","exhibition","y"
"BIR194208162","barnh103","BIR","1","2","lower","15","4","0","0","0","0","0","19420816","2","BIR01","CCB","W","exhibition","y"
"BIR194208162","barnh103","BIR","1","2","upper","15","4","0","0","0","0","0","19420816","2","BIR01","CCB","W","exhibition","y"
"BIR194308010","barnh103","CAG","1","2","value","18","","","0","","0","","19430801","0","BIR01","BIR","L","exhibition",""
"BIR194308010","barnh103","CAG","1","2","lower","18","","","0","","0","","19430801","0","BIR01","BIR","L","exhibition",""
"BIR194308010","barnh103","CAG","1","2","upper","18","","","0","","0","","19430801","0","BIR01","BIR","L","exhibition",""
"MEM194807230","barnh103","MEM","1","2","value","33","","","0","","0","","19480723","0","IND10","KCM","W","regular",""
"MEM194807230","barnh103","MEM","1","2","lower","33","","","0","","0","","19480723","0","IND10","KCM","W","regular",""
"MEM194807230","barnh103","MEM","1","2","upper","33","","","0","","0","","19480723","0","IND10","KCM","W","regular",""
"CAG194807252","barnh103","MEM","1","2","value","18","","","0","","0","","19480725","2","CHI10","CAG","L","regular",""
"CAG194807252","barnh103","MEM","1","2","lower","18","","","0","","0","","19480725","2","CHI10","CAG","L","regular",""
"CAG194807252","barnh103","MEM","1","2","upper","18","","","0","","0","","19480725","2","CHI10","CAG","L","regular",""
"MEM194808011","barnh103","MEM","1","2","value","","","","0","","0","","19480801","1","MEM02","CVB","W","regular",""
"MEM194808011","barnh103","MEM","1","2","lower","","","","0","","0","","19480801","1","MEM02","CVB","W","regular",""
"MEM194808011","barnh103","MEM","1","2","upper","","","","0","","0","","19480801","1","MEM02","CVB","W","regular",""
"MEM194808030","barnh103","MEM","1","2","value","30","","","0","","0","","19480803","0","MEM02","CVB","W","regular",""
"MEM194808030","barnh103","MEM","1","2","lower","30","","","0","","0","","19480803","0","MEM02","CVB","W","regular",""
"MEM194808030","barnh103","MEM","1","2","upper","30","","","0","","0","","19480803","0","MEM02","CVB","W","regular",""
"MEM194808060","barnh103","MEM","1","2","value","","","","0","","0","","19480806","0","MEM02","CVB","L","regular",""
"MEM194808060","barnh103","MEM","1","2","lower","","","","0","","0","","19480806","0","MEM02","CVB","L","regular",""
"MEM194808060","barnh103","MEM","1","2","upper","","","","0","","0","","19480806","0","MEM02","CVB","L","regular",""
"KCM194808180","barnh103","MEM","1","2","value","","3","0","1","0","0","0","19480818","0","DAV01","KCM","L","regular","y"
"KCM194808180","barnh103","MEM","1","2","lower","","3","0","1","0","0","0","19480818","0","DAV01","KCM","L","regular","y"
"KCM194808180","barnh103","MEM","1","2","upper","","3","0","1","0","0","0","19480818","0","DAV01","KCM","L","regular","y"
"KCM194808260","barnh103","MEM","1","2","value","","3","1","0","","0","","19480826","0","KAN05","KCM","L","regular","y"
"KCM194808260","barnh103","MEM","1","2","lower","","3","1","0","","0","","19480826","0","KAN05","KCM","L","regular","y"
"KCM194808260","barnh103","MEM","1","2","upper","","3","1","0","","0","","19480826","0","KAN05","KCM","L","regular","y"
"MEM194808310","barnh103","MEM","1","2","value","27","","","0","","0","","19480831","0","GRE02","IN9","L","regular",""
"MEM194808310","barnh103","MEM","1","2","lower","27","","","0","","0","","19480831","0","GRE02","IN9","L","regular",""
"MEM194808310","barnh103","MEM","1","2","upper","27","","","0","","0","","19480831","0","GRE02","IN9","L","regular",""
"MEM194809121","barnh103","MEM","1","2","value","27","","","0","","0","","19480912","1","MEM02","NY5","W","exhibition",""
"MEM194809121","barnh103","MEM","1","2","lower","27","","","0","","0","","19480912","1","MEM02","NY5","W","exhibition",""
"MEM194809121","barnh103","MEM","1","2","upper","27","","","0","","0","","19480912","1","MEM02","NY5","W","exhibition",""
"MEM194809122","barnh103","MEM","1","2","value","15","","","0","","0","","19480912","2","MEM02","NY5","L","exhibition",""
"MEM194809122","barnh103","MEM","1","2","lower","15","","","0","","0","","19480912","2","MEM02","NY5","L","exhibition",""
"MEM194809122","barnh103","MEM","1","2","upper","15","","","0","","0","","19480912","2","MEM02","NY5","L","exhibition",""
"MEM194809150","barnh103","MEM","1","2","value","27","","","0","","0","","19480915","0","GRE01","NY5","W","exhibition",""
"MEM194809150","barnh103","MEM","1","2","lower","27","","","0","","0","","19480915","0","GRE01","NY5","W","exhibition",""
"MEM194809150","barnh103","MEM","1","2","upper","27","","","0","","0","","19480915","0","GRE01","NY5","W","exhibition",""
"MEM194809191","barnh103","MEM","1","2","value","27","","","0","","0","","19480919","1","MEM02","NW2","W","exhibition",""
"MEM194809191","barnh103","MEM","1","2","lower","27","","","0","","0","","19480919","1","MEM02","NW2","W","exhibition",""
"MEM194809191","barnh103","MEM","1","2","upper","27","","","0","","0","","19480919","1","MEM02","NW2","W","exhibition",""
"MEM194809200","barnh103","MEM","1","2","value","27","","","0","","0","","19480920","0","LRK02","NW2","L","exhibition",""
"MEM194809200","barnh103","MEM","1","2","lower","27","","","0","","0","","19480920","0","LRK02","NW2","L","exhibition",""
"MEM194809200","barnh103","MEM","1","2","upper","27","","","0","","0","","19480920","0","LRK02","NW2","L","exhibition",""
"MEM194809290","barnh103","MEM","1","2","value","27","","","0","","0","","19480929","0","OKC02","NY5","W","exhibition",""
"MEM194809290","barnh103","MEM","1","2","lower","27","","","0","","0","","19480929","0","OKC02","NY5","W","exhibition",""
"MEM194809290","barnh103","MEM","1","2","upper","27","","","0","","0","","19480929","0","OKC02","NY5","W","exhibition",""
