"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"SAS193708220","barnv103","SAS","1","1","value","15","0","1","0","0","0","","","","","1","19370822","0","BIR01","NAS","l","allstar","y"
"MLS193710070","barnv103","KCM","1","1","value","6","0","1","0","0","0","","","","","","19371007","0","CED01","MLS","l","exhibition","y"
"KCM193710101","barnv103","KCM","1","1","value","27","0","0","0","0","0","","","","","1","19371010","1","KAN05","MLS","l","exhibition","y"
"CAG193805300","barnv103","KCM","","1","value","","","","","","","","","","","","19380530","0","CHI09","CAG","l","regular",""
"CAG193806192","barnv103","KCM","1","1","value","24","","","","","","","","","","1","19380619","2","CHI09","CAG","l","regular",""
"KCM193807150","barnv103","KCM","","1","value","0","","","","","","","","","","","19380715","0","WIN01","CAG","l","regular",""
"MEM193808050","barnv103","KCM","1","1","value","27","","","","","","","","","","1","19380805","0","LRK01","MEM","w","regular",""
"CAG193808281","barnv103","KCM","2","1","value","14","","","","","","","","","","","19380828","1","CHI09","CAG","l","exhibition",""
"BIR193809041","barnv103","KCM","1","1","value","27","","","","","","","","","","1","19380904","1","BIR01","BIR","w","regular",""
"NNL193809240","barnv103","NAL","1","1","value","13","0","0","0","0","0","","","","","1","19380924","0","PHI17","NNL","l","allstar","y"
"KCM193905120","barnv103","MEM","1","1","value","27","","","0","","0","0","","","","1","19390512","0","TOP01","KCM","w","exhibition",""
"KCM194004160","barnv103","KCM","1","1","value","","","","0","","0","0","","","","1","19400416","0","FTW01","IN8","l","exhibition",""
"CAG194009081","barnv103","KCM","1","1","value","","","","0","","0","0","","","","1","19400908","1","CHI09","CAG","w","regular",""
