"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"HOM194706011","bealg101","NW2","9","3","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470601","1","WAS09","HOM","L","regular","y"
"HOM194706011","bealg101","NW2","9","3","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470601","1","WAS09","HOM","L","regular","y"
"HOM194706011","bealg101","NW2","9","3","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470601","1","WAS09","HOM","L","regular","y"
"NW2194706170","bealg101","NW2","5","2","value","0","0","0","","","","","","","","0","0","","","","","","","","","19470617","0","NWK04","PH5","W","regular","y"
"NW2194706170","bealg101","NW2","5","2","lower","0","0","0","","","","","","","","","","","","","","","","","","19470617","0","NWK04","PH5","W","regular","y"
"NW2194706170","bealg101","NW2","5","2","upper","0","0","0","","","","","","","","","","","","","","","","","","19470617","0","NWK04","PH5","W","regular","y"
"NW2194706260","bealg101","NW2","","","value","","","","","","","","","","","","","","","","","","","","","19470626","0","TRE01","BLG","L","regular",""
"NW2194706260","bealg101","NW2","","","lower","","","","","","","","","","","","","","","","","","","","","19470626","0","TRE01","BLG","L","regular",""
"NW2194706260","bealg101","NW2","","","upper","","","","","","","","","","","","","","","","","","","","","19470626","0","TRE01","BLG","L","regular",""
"PH5194707020","bealg101","NW2","9","3","value","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470702","0","WIL04","PH5","L","regular","y"
"PH5194707020","bealg101","NW2","9","3","lower","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470702","0","WIL04","PH5","L","regular","y"
"PH5194707020","bealg101","NW2","9","3","upper","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470702","0","WIL04","PH5","L","regular","y"
"NW2194707180","bealg101","NW2","9","2","value","2","0","0","","","","","","","","0","0","","","","","","","","","19470718","0","NWK04","BIR","L","exhibition","y"
"NW2194707180","bealg101","NW2","9","2","lower","2","0","0","","","","","","","","","","","","","","","","","","19470718","0","NWK04","BIR","L","exhibition","y"
"NW2194707180","bealg101","NW2","9","2","upper","2","0","0","","","","","","","","","","","","","","","","","","19470718","0","NWK04","BIR","L","exhibition","y"
"NW2194707271","bealg101","NW2","4","2","value","1","1","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19470727","1","NYC15","BLG","W","exhibition","y"
"NW2194707271","bealg101","NW2","4","2","lower","1","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19470727","1","NYC15","BLG","W","exhibition","y"
"NW2194707271","bealg101","NW2","4","2","upper","1","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19470727","1","NYC15","BLG","W","exhibition","y"
"NW2194708032","bealg101","NW2","5","1","value","3","2","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19470803","2","NYC15","PH5","W","regular","y"
"NW2194708032","bealg101","NW2","5","1","lower","3","2","2","0","0","0","","0","","0","","","","0","","","0","","","","19470803","2","NYC15","PH5","W","regular","y"
"NW2194708032","bealg101","NW2","5","1","upper","3","2","2","0","0","0","","0","","0","","","","0","","","0","","","","19470803","2","NYC15","PH5","W","regular","y"
