"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"BLG194307300","blacj103","BLG","1","value","9","","16","5","0","0","0","4","","2","","5","0","0","0","","","","","","1","","","19430730","0","BAL14","NY5","T","exhibition","y"
"BLG194307300","blacj103","BLG","1","lower","9","","","5","0","0","0","4","","2","","5","0","0","0","","","","","","","","","19430730","0","BAL14","NY5","T","exhibition","y"
"BLG194307300","blacj103","BLG","1","upper","9","","","5","0","0","0","4","","2","","5","0","0","0","","","","","","","","","19430730","0","BAL14","NY5","T","exhibition","y"
"BLG194308011","blacj103","BLG","2","value","0","","3","3","","","0","3","","0","","0","0","0","0","","","","1","","","","","19430801","1","BAL14","NY5","L","exhibition","y"
"BLG194308011","blacj103","BLG","2","lower","0","","","3","","","0","","","0","","0","0","0","0","","","","","","","","","19430801","1","BAL14","NY5","L","exhibition","y"
"BLG194308011","blacj103","BLG","2","upper","0","","","3","","","0","","","0","","0","0","0","0","","","","","","","","","19430801","1","BAL14","NY5","L","exhibition","y"
"HOM194405282","blacj103","BLG","1","value","","","","","","","","","","","","","","","","","","","","","1","","","19440528","2","WAS09","HOM","L","regular",""
"HOM194405282","blacj103","BLG","1","lower","","","","","","","","","","","","","","","","","","","","","","","","19440528","2","WAS09","HOM","L","regular",""
"HOM194405282","blacj103","BLG","1","upper","","","","","","","","","","","","","","","","","","","","","","","","19440528","2","WAS09","HOM","L","regular",""
"BLG194406041","blacj103","BLG","1","value","27","","4","4","","","","2","","","","","","","","","","1","","","1","","1","19440604","1","BAL14","NW2","W","regular",""
"BLG194406041","blacj103","BLG","1","lower","27","","4","4","","","","2","","","","","","","","","","","","","","","","19440604","1","BAL14","NW2","W","regular",""
"BLG194406041","blacj103","BLG","1","upper","27","","4","4","","","","2","","","","","","","","","","","","","","","","19440604","1","BAL14","NW2","W","regular",""
"BLG194406181","blacj103","BLG","1","value","25","","36","6","","","","5","","3","","","","","","","","","1","","1","","","19440618","1","BAL14","NY6","L","regular","y"
"BLG194406181","blacj103","BLG","1","lower","24","","","","","","","5","","","","","","","","","","","","","","","","19440618","1","BAL14","NY6","L","regular","y"
"BLG194406181","blacj103","BLG","1","upper","24","","","","","","","5","","","","","","","","","","","","","","","","19440618","1","BAL14","NY6","L","regular","y"
"NY6194406252","blacj103","BLG","1","value","16","","25","8","","0","0","4","","0","","1","1","0","0","2","","","1","","1","","","19440625","2","NYC16","NY6","L","regular","y"
"NY6194406252","blacj103","BLG","1","lower","","","","","","0","0","","","0","","1","0","0","0","","","","","","","","","19440625","2","NYC16","NY6","L","regular","y"
"NY6194406252","blacj103","BLG","1","upper","","","","","","0","0","","","0","","1","1","0","0","","","","","","","","","19440625","2","NYC16","NY6","L","regular","y"
"BLG194407022","blacj103","BLG","1","value","21","","","","","","","4","","","","","","","","","","","1","","1","","1","19440702","2","BAL14","NY5","L","regular",""
"BLG194407022","blacj103","BLG","1","lower","21","","","","","","","4","","","","","","","","","","","","","","","","19440702","2","BAL14","NY5","L","regular",""
"BLG194407022","blacj103","BLG","1","upper","21","","","","","","","4","","","","","","","","","","","","","","","","19440702","2","BAL14","NY5","L","regular",""
"BLG194407092","blacj103","BLG","2","value","16","","","2","","","","0","","","","","","","","","","1","","","","1","","19440709","2","BAL14","NW2","W","regular",""
"BLG194407092","blacj103","BLG","2","lower","16","","","2","","","","0","","","","","","","","","","","","","","","","19440709","2","BAL14","NW2","W","regular",""
"BLG194407092","blacj103","BLG","2","upper","16","","","2","","","","0","","","","","","","","","","","","","","","","19440709","2","BAL14","NW2","W","regular",""
"BLG194407161","blacj103","BLG","2","value","7","","13","5","","","0","3","3","2","","0","0","0","0","0","","","1","","","1","","19440716","1","BAL14","PH5","L","regular","y"
"BLG194407161","blacj103","BLG","2","lower","7","","","5","","","0","3","3","2","","0","0","0","0","","","","","","","","","19440716","1","BAL14","PH5","L","regular","y"
"BLG194407161","blacj103","BLG","2","upper","7","","","5","","","0","3","3","2","","0","0","0","0","","","","","","","","","19440716","1","BAL14","PH5","L","regular","y"
"BLG194408201","blacj103","BLG","1","value","27","","42","15","2","2","0","5","","2","","2","0","0","0","0","","1","","","1","","1","19440820","1","BAL14","NY6","W","regular","y"
"BLG194408201","blacj103","BLG","1","lower","27","","42","15","2","2","0","5","","2","","2","0","0","0","0","","","","","","","","19440820","1","BAL14","NY6","W","regular","y"
"BLG194408201","blacj103","BLG","1","upper","27","","42","15","2","2","0","5","","2","","2","0","0","0","0","","","","","","","","19440820","1","BAL14","NY6","W","regular","y"
"BLG194408271","blacj103","BLG","2","value","17","","26","8","","","1","6","","1","","2","0","0","0","","","","","","","1","","19440827","1","BAL14","PH5","L","regular","y"
"BLG194408271","blacj103","BLG","2","lower","17","","","8","","","1","6","","1","","2","0","0","0","","","","","","","","","19440827","1","BAL14","PH5","L","regular","y"
"BLG194408271","blacj103","BLG","2","upper","17","","","8","","","1","6","","1","","2","0","0","0","","","","","","","","","19440827","1","BAL14","PH5","L","regular","y"
"BLG194508191","blacj103","BLG","1","value","27","","","4","1","","","0","","1","","4","","","","","","1","","","1","","1","19450819","1","NYC16","MEM","W","exhibition",""
"BLG194508191","blacj103","BLG","1","lower","27","","","4","1","","","0","","1","","4","","","","","","","","","","","","19450819","1","NYC16","MEM","W","exhibition",""
"BLG194508191","blacj103","BLG","1","upper","27","","","4","1","","","0","","1","","4","","","","","","","","","","","","19450819","1","NYC16","MEM","W","exhibition",""
"BLG194508262","blacj103","BLG","1","value","21","","29","6","1","0","0","4","","4","","","0","0","0","0","","","1","","1","","1","19450826","2","BAL14","PH5","L","regular","y"
"BLG194508262","blacj103","BLG","1","lower","21","","25","6","1","0","0","4","","","","","0","0","0","0","","","","","","","","19450826","2","BAL14","PH5","L","regular","y"
"BLG194508262","blacj103","BLG","1","upper","21","","29","6","1","0","0","4","","","","","0","0","0","0","","","","","","","","19450826","2","BAL14","PH5","L","regular","y"
"BLG194605051","blacj103","BLG","2","value","12","","18","3","","0","0","4","","3","","3","0","0","0","","","","1","","","","","19460505","1","BAL14","HOM","L","regular",""
