"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"ATN193904190","boono101","ATN","1","3","value","21","7","0","0","0","0","","","","","1","19390419","0","GRI01","CAG","w","exhibition","y"
"ATN193904210","boono101","ATN","1","2","value","27","2","2","0","0","0","0","1","0","0","1","19390421","0","ATL04","HOM","l","exhibition","y"
"ATN193904230","boono101","ATN","1","2","value","27","7","0","0","0","0","0","0","3","0","1","19390423","0","ATL04","NW2","l","exhibition","y"
"ATN193904240","boono101","ATN","1","2","value","27","8","0","0","0","0","0","0","0","0","1","19390424","0","BIR01","NW2","l","exhibition","y"
"NW2193904270","boono101","ATN","1","2","value","21","5","0","0","0","0","0","0","1","0","1","19390427","0","MAC01","NW2","l","exhibition","y"
"ATN193904280","boono101","ATN","1","2","value","24","","","","","0","","","","","1","19390428","0","SEL01","HOM","w","exhibition",""
"SSA193905120","boono101","ATN","1","2","value","27","4","0","0","0","0","0","0","0","0","1","19390512","0","MOU01","SSA","w","exhibition","y"
"SSA193905140","boono101","ATN","1","2","value","21","5","1","0","0","0","1","0","1","0","1","19390514","0","STL13","SSA","w","regular","y"
"SSA193905150","boono101","ATN","1","2","value","24","6","2","0","2","0","0","1","0","0","1","19390515","0","STL13","SSA","l","regular","y"
"CV9193905211","boono101","ATN","1","2","value","24","8","3","0","0","0","1","0","0","0","1","19390521","1","CLE06","CV9","l","regular","y"
"KCM193905260","boono101","ATN","1","2","value","24","6","0","1","0","0","2","1","2","0","1","19390526","0","DES01","KCM","l","regular","y"
"KCM193905281","boono101","ATN","1","2","value","15","2","0","0","0","0","2","0","2","0","1","19390528","1","KAN05","KCM","l","regular","y"
"MEM193906040","boono101","ATN","1","2","value","24","1","1","0","0","0","0","0","0","0","1","19390604","0","MEM02","MEM","l","regular","y"
"CV9193906120","boono101","ATN","1","2","value","27","","","0","","0","","","","","1","19390612","0","JKV01","CV9","w","regular",""
"ATN193906140","boono101","ATN","1","2","value","27","8","1","0","0","0","0","0","1","1","1","19390614","0","ATL04","CV9","w","regular","y"
"ATN193906150","boono101","ATN","1","2","value","33","0","0","1","0","0","0","0","0","0","1","19390615","0","ATL04","CV9","l","regular","y"
"ATN193906180","boono101","ATN","1","2","value","24","6","1","0","0","0","0","0","1","1","1","19390618","0","ATL04","MEM","w","regular","y"
"BLG193907091","boono101","BLG","1","2","value","","","","0","","0","","","","","","19390709","1","BAL10","PH5","w","regular",""
"BLG193907161","boono101","BLG","1","2","value","27","5","0","0","0","0","0","0","1","2","1","19390716","1","BAL10","NY6","l","regular","y"
"BLG193907220","boono101","BLG","1","2","value","27","10","0","0","0","0","0","","","","1","19390722","0","WIL08","NW2","l","regular","y"
"NW2193907240","boono101","BLG","1","2","value","18","","","0","","0","","","","","1","19390724","0","WIL08","NW2","l","exhibition",""
"BLG193908010","boono101","BLG","1","2","value","27","","","0","","0","","","","","1","19390801","0","BIR01","NY5","w","regular",""
"NY5193908030","boono101","BLG","1","2","value","24","","","0","","0","","","","","1","19390803","0","MTG01","NY5","l","exhibition",""
"BLG193908062","boono101","BLG","1","2","value","15","2","0","0","1","0","0","0","0","0","0","19390806","2","BIR01","MEM","w","exhibition","y"
"CAG194104210","boono101","CAG","1","2","value","27","","","0","","0","","","","","","19410421","0","PTX01","KCM","l","exhibition",""
"SNO194105041","boono101","CAG","1","2","value","27","","","0","","0","","","","","1","19410504","1","DAL01","SNO","w","exhibition",""
"CAG194105080","boono101","CAG","1","2","value","27","","","0","","0","","","","","1","19410508","0","OKC02","SNO","l","exhibition",""
"CAG194105251","boono101","CAG","1","2","value","27","6","0","0","0","0","0","","","","1","19410525","1","CHI10","SNO","w","regular","y"
"CAG194105252","boono101","CAG","1","2","value","27","4","0","0","0","0","0","","","","1","19410525","2","CHI10","SNO","l","regular","y"
"KCM194106110","boono101","CAG","1","2","value","34","2","0","1","0","0","0","","","","1","19410611","0","KAN05","KCM","l","regular","y"
"BIR194106292","boono101","CAG","1","2","value","21","","","0","","0","","","","","1","19410629","2","BIR01","BIR","w","regular",""
"CAG194107040","boono101","CAG","1","2","value","","4","0","0","0","0","3","","","","","19410704","0","STL07","KCM","l","regular","y"
"KCM194107061","boono101","CAG","1","2","value","27","4","0","0","0","0","0","","","","1","19410706","1","KAN05","KCM","w","regular","y"
"KCM194107070","boono101","CAG","1","2","value","9","4","0","0","0","0","2","","","","1","19410707","0","KAN05","KCM","l","regular","y"
"KCM194107070","boono101","CAG","2","3","value","6","","","0","0","0","","","","","1","19410707","0","KAN05","KCM","l","regular","y"
"CAG194107131","boono101","CAG","1","2","value","27","","","0","","0","","","","","1","19410713","1","MIL03","SNO","l","regular",""
"SNO194107201","boono101","CAG","1","2","value","","0","0","0","0","0","0","","","","","19410720","1","CIN07","SNO","l","regular","y"
"CAG194107203","boono101","CAG","1","2","value","27","","","0","","0","","","","","1","19410720","3","DAY03","MEM","w","exhibition",""
"CAG194108130","boono101","CAG","1","2","value","27","","","0","0","0","0","","","","1","19410813","0","POR02","NY6","w","exhibition","y"
"CAG194108190","boono101","CAG","1","2","value","27","","","0","","0","","","","","1","19410819","0","IND10","KCM","l","regular",""
"BLG194108210","boono101","CAG","1","2","value","24","9","","0","0","0","1","","","","1","19410821","0","PHI17","BLG","l","exhibition","y"
"PH5194108280","boono101","CAG","1","2","value","27","","","0","","0","","","","","1","19410828","0","PHI17","PH5","w","exhibition",""
