"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG193209030","brooa101","CAG","1","2","value","27","","","0","","0","","","","","","19320903","0","CHI09","NSH","l","lcs",""
"CAG193209042","brooa101","CAG","1","2","value","27","","","0","","0","","","","","1","19320904","2","CHI09","NSH","w","lcs",""
"PH5193409270","brooa101","PH5","1","2","value","27","9","4","0","0","0","0","","","","1","19340927","0","PHI16","CAG","w","lcs","y"
"PH5193409290","brooa101","PH5","1","2","value","27","4","1","0","0","0","0","","","","1","19340929","0","PHI16","CAG","w","lcs","y"
"PH5193410010","brooa101","PH5","1","2","value","27","10","1","0","0","0","0","","","","1","19341001","0","PHI16","CAG","t","lcs","y"
"WBS193805220","brooa101","NY5","1","9","value","27","0","0","0","0","0","0","0","0","","","19380522","0","WAS09","WBS","w","regular","y"
"HOM193905120","brooa101","NY5","1","7","value","27","0","0","0","0","0","","","","","1","19390512","0","PIT06","HOM","w","regular","y"
"TLC193905130","brooa101","NY5","1","7","value","27","1","0","0","0","0","","","","","1","19390513","0","TOL05","TLC","w","regular","y"
"TLC193905141","brooa101","NY5","1","7","value","27","5","0","0","0","0","","","","","1","19390514","1","TOL05","TLC","w","regular","y"
"TLC193905142","brooa101","NY5","1","7","value","21","3","1","0","0","0","","","","","1","19390514","2","TOL05","TLC","t","regular","y"
"TLC193905160","brooa101","NY5","1","7","value","25","2","0","0","0","0","","","","","1","19390516","0","CHA01","TLC","l","exhibition","y"
"PH5193905211","brooa101","NY5","1","7","value","29","2","0","0","0","0","","","","","1","19390521","1","PHI17","PH5","l","regular","y"
"BLG193905281","brooa101","NY5","1","7","value","27","1","0","0","0","0","","","","","1","19390528","1","BAL10","BLG","w","regular","y"
"BLG193905282","brooa101","NY5","1","7","value","15","0","0","0","0","0","","","","","1","19390528","2","BAL10","BLG","w","regular","y"
"NY5193905301","brooa101","NY5","1","9","value","3","0","0","0","0","0","","","","","","19390530","1","NYC23","BLG","l","regular","y"
"NY5193905302","brooa101","NY5","1","7","value","","1","0","0","0","0","","","","","1","19390530","2","NYC23","BLG","w","regular","y"
"PH5193906010","brooa101","NY5","1","7","value","15","2","0","0","0","0","","","","","1","19390601","0","PHI17","PH5","t","regular","y"
"NY5193906042","brooa101","NY5","1","7","value","27","1","0","0","0","0","","","","","1","19390604","2","NYC16","PH5","w","regular","y"
"PH5193906101","brooa101","NY5","1","7","value","","1","","0","0","0","","","","","","19390610","1","PHI17","PH5","l","regular","y"
"PH5193906102","brooa101","NY5","1","7","value","18","1","0","0","0","0","","","","","1","19390610","2","PHI17","PH5","l","regular","y"
"NY5193906252","brooa101","NY5","1","7","value","21","0","1","1","0","0","","","","","1","19390625","2","NOR05","NW2","t","regular","y"
"PH5193907012","brooa101","NY5","1","7","value","18","2","0","0","0","0","","","","","1","19390701","2","PHI17","PH5","l","regular","y"
"NY5193907042","brooa101","NY5","1","8","value","21","0","0","0","0","0","","","","","1","19390704","2","NYC23","NW2","w","regular","y"
"NW2193907130","brooa101","NY5","1","9","value","25","0","0","0","0","0","","","","","1","19390713","0","NWK04","NW2","l","regular","y"
