"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"CAG194005200","brooa102","CV9","1","1","value","","","","0","","0","0","19400520","0","CHI09","CAG","L","regular",""
"CAG194005200","brooa102","CV9","1","1","lower","","","","0","","0","0","19400520","0","CHI09","CAG","L","regular",""
"CAG194005200","brooa102","CV9","1","1","upper","","","","0","","0","0","19400520","0","CHI09","CAG","L","regular",""
"CV9194006022","brooa102","CV9","1","1","value","10","0","2","0","0","0","0","19400602","2","CLE06","KCM","L","regular","y"
"CV9194006022","brooa102","CV9","1","1","lower","","0","2","0","0","0","0","19400602","2","CLE06","KCM","L","regular","y"
"CV9194006022","brooa102","CV9","1","1","upper","","0","2","0","0","0","0","19400602","2","CLE06","KCM","L","regular","y"
"BIR194006250","brooa102","CV9","1","1","value","","","","0","","0","0","19400625","0","ANN01","BIR","L","regular",""
"BIR194006250","brooa102","CV9","1","1","lower","","","","0","","0","0","19400625","0","ANN01","BIR","L","regular",""
"BIR194006250","brooa102","CV9","1","1","upper","","","","0","","0","0","19400625","0","ANN01","BIR","L","regular",""
"KCM194007141","brooa102","CV9","1","1","value","3","0","0","0","0","0","0","19400714","1","KAN05","KCM","L","regular","y"
"KCM194007141","brooa102","CV9","1","1","lower","3","0","0","0","0","0","0","19400714","1","KAN05","KCM","L","regular","y"
"KCM194007141","brooa102","CV9","1","1","upper","3","0","0","0","0","0","0","19400714","1","KAN05","KCM","L","regular","y"
"SNO194008251","brooa102","SNO","1","1","value","27","","","0","","0","0","19400825","1","LRK02","CV9","L","regular",""
"SNO194008251","brooa102","SNO","1","1","lower","27","","","0","","0","0","19400825","1","LRK02","CV9","L","regular",""
"SNO194008251","brooa102","SNO","1","1","upper","27","","","0","","0","0","19400825","1","LRK02","CV9","L","regular",""
"SNO194105130","brooa102","JAX","1","1","value","18","0","1","0","0","0","0","19410513","0","NOL01","SNO","W","regular","y"
"SNO194105130","brooa102","JAX","1","1","lower","18","0","1","0","0","0","0","19410513","0","NOL01","SNO","W","regular","y"
"SNO194105130","brooa102","JAX","1","1","upper","18","0","1","0","0","0","0","19410513","0","NOL01","SNO","W","regular","y"
"BIR194105252","brooa102","JAX","1","1","value","0","0","0","0","","0","0","19410525","2","BIR01","BIR","L","regular","y"
"BIR194105252","brooa102","JAX","1","1","lower","0","0","0","0","","0","0","19410525","2","BIR01","BIR","L","regular","y"
"BIR194105252","brooa102","JAX","1","1","upper","1","0","0","0","","0","0","19410525","2","BIR01","BIR","L","regular","y"
"KCM194106020","brooa102","JAX","1","1","value","24","","","0","","0","0","19410602","0","JNC01","KCM","L","regular",""
"KCM194106020","brooa102","JAX","1","1","lower","24","","","0","","0","0","19410602","0","JNC01","KCM","L","regular",""
"KCM194106020","brooa102","JAX","1","1","upper","24","","","0","","0","0","19410602","0","JNC01","KCM","L","regular",""
"SNO194106082","brooa102","JAX","1","1","value","","","","0","","0","0","19410608","2","LRK02","SNO","L","regular",""
"SNO194106082","brooa102","JAX","1","1","lower","","","","0","","0","0","19410608","2","LRK02","SNO","L","regular",""
"SNO194106082","brooa102","JAX","1","1","upper","","","","0","","0","0","19410608","2","LRK02","SNO","L","regular",""
"JAX194106140","brooa102","JAX","1","1","value","","","","0","","0","0","19410614","0","TAM01","MEM","L","exhibition",""
"JAX194106140","brooa102","JAX","1","1","lower","","","","0","","0","0","19410614","0","TAM01","MEM","L","exhibition",""
"JAX194106140","brooa102","JAX","1","1","upper","","","","0","","0","0","19410614","0","TAM01","MEM","L","exhibition",""
"BIR194107041","brooa102","JAX","1","1","value","","","","0","","0","0","19410704","1","BIR01","BIR","L","regular",""
"BIR194107041","brooa102","JAX","1","1","lower","","","","0","","0","0","19410704","1","BIR01","BIR","L","regular",""
"BIR194107041","brooa102","JAX","1","1","upper","","","","0","","0","0","19410704","1","BIR01","BIR","L","regular",""
"BIR194107150","brooa102","JAX","1","1","value","27","","","0","","0","0","19410715","0","STP02","BIR","W","regular",""
"BIR194107150","brooa102","JAX","1","1","lower","27","","","0","","0","0","19410715","0","STP02","BIR","W","regular",""
"BIR194107150","brooa102","JAX","1","1","upper","27","","","0","","0","0","19410715","0","STP02","BIR","W","regular",""
"KCM194107300","brooa102","JAX","1","1","value","24","","","0","","0","0","19410730","0","CHA01","KCM","L","regular",""
"KCM194107300","brooa102","JAX","1","1","lower","24","","","0","","0","0","19410730","0","CHA01","KCM","L","regular",""
"KCM194107300","brooa102","JAX","1","1","upper","24","","","0","","0","0","19410730","0","CHA01","KCM","L","regular",""
"BIR194205102","brooa102","JAX","1","1","value","9","1","0","0","0","0","0","19420510","2","BIR01","BIR","W","regular","y"
"BIR194205102","brooa102","JAX","1","1","lower","","1","0","0","0","0","0","19420510","2","BIR01","BIR","W","regular","y"
"BIR194205102","brooa102","JAX","1","1","upper","","1","0","0","0","0","0","19420510","2","BIR01","BIR","W","regular","y"
