"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"KCM194004210","bryaa101","KCM","1","1","value","9","","","0","0","0","0","19400421","0","ATL04","IN8","W","exhibition","y"
"KCM194004210","bryaa101","KCM","1","1","lower","","","","0","0","0","0","19400421","0","ATL04","IN8","W","exhibition","y"
"KCM194004210","bryaa101","KCM","1","1","upper","","","","0","0","0","0","19400421","0","ATL04","IN8","W","exhibition","y"
"HOM194004281","bryaa101","KCM","1","1","value","7","0","3","0","0","0","0","19400428","1","NOL01","HOM","L","exhibition","y"
"HOM194004281","bryaa101","KCM","1","1","lower","7","0","3","0","0","0","0","19400428","1","NOL01","HOM","L","exhibition","y"
"HOM194004281","bryaa101","KCM","1","1","upper","7","0","3","0","0","0","0","19400428","1","NOL01","HOM","L","exhibition","y"
"MEM194005200","bryaa101","KCM","1","1","value","","","","0","","0","0","19400520","0","MEM02","MEM","L","regular",""
"MEM194005200","bryaa101","KCM","1","1","lower","","","","0","","0","0","19400520","0","MEM02","MEM","L","regular",""
"MEM194005200","bryaa101","KCM","1","1","upper","","","","0","","0","0","19400520","0","MEM02","MEM","L","regular",""
"KCM194005240","bryaa101","KCM","1","1","value","3","0","","0","0","0","0","19400524","0","WIC01","MEM","W","regular","y"
"KCM194005240","bryaa101","KCM","1","1","lower","3","0","","0","0","0","0","19400524","0","WIC01","MEM","W","regular","y"
"KCM194005240","bryaa101","KCM","1","1","upper","3","0","","0","0","0","0","19400524","0","WIC01","MEM","W","regular","y"
"CV9194006030","bryaa101","KCM","1","1","value","11","0","1","0","0","0","0","19400603","0","WAR02","CV9","L","regular","y"
"CV9194006030","bryaa101","KCM","1","1","lower","11","0","1","0","0","0","0","19400603","0","WAR02","CV9","L","regular","y"
"CV9194006030","bryaa101","KCM","1","1","upper","11","0","1","0","0","0","0","19400603","0","WAR02","CV9","L","regular","y"
"KCM194006092","bryaa101","KCM","1","1","value","14","1","2","0","0","0","0","19400609","2","KAN05","CAG","L","regular","y"
"KCM194006092","bryaa101","KCM","1","1","lower","14","1","2","0","0","0","0","19400609","2","KAN05","CAG","L","regular","y"
"KCM194006092","bryaa101","KCM","1","1","upper","14","1","2","0","0","0","0","19400609","2","KAN05","CAG","L","regular","y"
"PH5194006221","bryaa101","KCM","1","1","value","8","0","0","0","0","0","0","19400622","1","PHI17","PH5","L","exhibition","y"
"PH5194006221","bryaa101","KCM","1","1","lower","8","0","0","0","0","0","0","19400622","1","PHI17","PH5","L","exhibition","y"
"PH5194006221","bryaa101","KCM","1","1","upper","8","0","0","0","0","0","0","19400622","1","PHI17","PH5","L","exhibition","y"
"IN8194006270","bryaa101","KCM","1","1","value","12","0","","0","0","0","0","19400627","0","IND10","IN8","L","regular","y"
"IN8194006270","bryaa101","KCM","1","1","lower","12","0","","0","0","0","0","19400627","0","IND10","IN8","L","regular","y"
"IN8194006270","bryaa101","KCM","1","1","upper","12","0","","0","0","0","0","19400627","0","IND10","IN8","L","regular","y"
"IN8194006280","bryaa101","KCM","1","1","value","","","","0","","0","0","19400628","0","IND10","IN8","L","regular",""
"IN8194006280","bryaa101","KCM","1","1","lower","","","","0","","0","0","19400628","0","IND10","IN8","L","regular",""
"IN8194006280","bryaa101","KCM","1","1","upper","","","","0","","0","0","19400628","0","IND10","IN8","L","regular",""
"KCM194105220","bryaa101","KCM","1","1","value","","","","0","","0","0","19410522","0","OKC02","MEM","L","regular",""
"KCM194105220","bryaa101","KCM","1","1","lower","","","","0","","0","0","19410522","0","OKC02","MEM","L","regular",""
"KCM194105220","bryaa101","KCM","1","1","upper","","","","0","","0","0","19410522","0","OKC02","MEM","L","regular",""
"PH5194107172","bryaa101","KCM","1","1","value","21","0","5","0","0","0","0","19410717","2","PHI17","PH5","W","exhibition","y"
"PH5194107172","bryaa101","KCM","1","1","lower","21","0","5","0","0","0","0","19410717","2","PHI17","PH5","W","exhibition","y"
"PH5194107172","bryaa101","KCM","1","1","upper","21","0","5","0","0","0","0","19410717","2","PHI17","PH5","W","exhibition","y"
"KCM194107272","bryaa101","KCM","1","1","value","","","","0","","0","0","19410727","2","LOU05","JAX","L","exhibition",""
"KCM194107272","bryaa101","KCM","1","1","lower","","","","0","","0","0","19410727","2","LOU05","JAX","L","exhibition",""
"KCM194107272","bryaa101","KCM","1","1","upper","","","","0","","0","0","19410727","2","LOU05","JAX","L","exhibition",""
"SNO194108031","bryaa101","KCM","1","1","value","9","0","0","0","0","0","0","19410803","1","CLE06","SNO","W","regular","y"
"SNO194108031","bryaa101","KCM","1","1","lower","9","0","0","0","0","0","0","19410803","1","CLE06","SNO","W","regular","y"
"SNO194108031","bryaa101","KCM","1","1","upper","9","0","0","0","0","0","0","19410803","1","CLE06","SNO","W","regular","y"
"KCM194108070","bryaa101","KCM","1","1","value","25","0","0","0","0","0","0","19410807","0","DCT02","SNO","W","regular","y"
"KCM194108070","bryaa101","KCM","1","1","lower","25","0","0","0","0","0","0","19410807","0","DCT02","SNO","W","regular","y"
"KCM194108070","bryaa101","KCM","1","1","upper","25","0","0","0","0","0","0","19410807","0","DCT02","SNO","W","regular","y"
"KCM194108120","bryaa101","KCM","1","1","value","18","0","1","0","0","0","0","19410812","0","DAV01","SNO","L","regular","y"
"KCM194108120","bryaa101","KCM","1","1","lower","18","0","1","0","0","0","0","19410812","0","DAV01","SNO","L","regular","y"
"KCM194108120","bryaa101","KCM","1","1","upper","18","0","1","0","0","0","0","19410812","0","DAV01","SNO","L","regular","y"
"KCM194604040","bryaa101","KCM","1","1","value","","","","0","","0","0","19460404","0","HOU04","CCR","W","exhibition",""
"KCM194604040","bryaa101","KCM","1","1","lower","","","","0","","0","0","19460404","0","HOU04","CCR","W","exhibition",""
