"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"KCM194404170","bumpe101","KCM","1","9","value","27","","","0","0","0","","","","","1","19440417","0","HOU04","CIA","w","exhibition","y"
"CIA194404210","bumpe101","KCM","1","1","value","27","","","0","","0","0","","","","1","19440421","0","FTW01","CIA","w","exhibition",""
"KCM194404250","bumpe101","KCM","1","9","value","27","1","0","0","0","0","","","","","1","19440425","0","OKC02","CIA","w","exhibition","y"
"KCM194404260","bumpe101","KCM","1","9","value","27","1","0","0","0","0","","","","","1","19440426","0","OKC02","CIA","l","exhibition","y"
"KCM194405030","bumpe101","KCM","1","9","value","33","2","0","0","0","0","","","","","1","19440503","0","OKC02","MEM","w","exhibition","y"
"MEM194405071","bumpe101","KCM","1","9","value","27","","","0","0","0","","","","","1","19440507","1","MEM03","MEM","w","regular","y"
"MEM194405080","bumpe101","KCM","1","1","value","27","","","0","","0","0","","","","1","19440508","0","NOL01","MEM","l","regular",""
"MEM194405120","bumpe101","KCM","1","1","value","24","","","0","","0","0","","","","1","19440512","0","LRK02","MEM","l","regular",""
"BIR194405141","bumpe101","KCM","1","9","value","24","0","0","0","0","0","","","","","1","19440514","1","BIR01","BIR","l","regular","y"
"KCM194405220","bumpe101","KCM","1","9","value","","0","0","0","0","0","","","","","1","19440522","0","KAN05","MEM","w","regular","y"
"KCM194405230","bumpe101","KCM","1","1","value","27","","","0","0","0","","","","","1","19440523","0","MUS01","CAG","l","regular","y"
"KCM194405300","bumpe101","KCM","1","9","value","27","1","0","0","0","0","","","","","1","19440530","0","KAN05","CAG","l","regular","y"
"CVB194406112","bumpe101","KCM","1","1","value","6","1","1","0","0","0","","","","","1","19440611","2","CLE06","CVB","l","regular","y"
"KCM194406190","bumpe101","KCM","1","9","value","27","0","0","0","0","0","","","","","1","19440619","0","KAN05","CIA","l","regular","y"
"HOM194406252","bumpe101","KCM","1","1","value","","","","0","","0","0","","","","","19440625","2","WAS09","HOM","w","exhibition",""
"HOM194406260","bumpe101","KCM","1","1","value","6","","","0","","0","0","","","","","19440626","0","WAS09","HOM","l","exhibition",""
"HOM194406290","bumpe101","KCM","1","1","value","19","","","0","","0","0","","","","","19440629","0","NOR02","HOM","l","exhibition",""
"CAG194407091","bumpe101","KCM","1","1","value","27","0","5","1","0","0","","","","","1","19440709","1","CHI10","CAG","w","regular","y"
"BIR194407130","bumpe101","KCM","1","1","value","24","","","0","","0","0","","","","1","19440713","0","MTG01","BIR","l","regular",""
"BIR194407162","bumpe101","KCM","1","1","value","9","","","0","","0","0","","","","1","19440716","2","BIR01","BIR","l","regular",""
"KCM194407190","bumpe101","KCM","1","9","value","27","2","0","0","0","0","","","","","1","19440719","0","STJ01","BIR","l","regular","y"
"KCM194407200","bumpe101","KCM","1","9","value","27","2","0","1","0","0","","","","","1","19440720","0","KAN05","BIR","l","regular","y"
"KCM194407240","bumpe101","KCM","1","1","value","12","0","1","0","0","0","","","","","1","19440724","0","KAN05","CVB","l","regular","y"
"CIA194408021","bumpe101","KCM","1","1","value","","","","0","","0","0","","","","1","19440802","1","IND10","CIA","l","regular",""
"CAG194408062","bumpe101","KCM","1","1","value","","","","0","","0","0","","","","","19440806","2","DET04","CAG","l","regular",""
"KCM194408132","bumpe101","KCM","1","7","value","","0","0","0","0","0","","","","","","19440813","2","KAN05","CIA","l","exhibition","y"
"CAG194408230","bumpe101","KCM","1","1","value","24","","","0","","0","0","","","","1","19440823","0","CHI10","CAG","l","regular",""
"PH5194408281","bumpe101","BIR","1","1","value","27","0","2","1","0","0","","","","","1","19440828","1","PHI11","PH5","w","exhibition","y"
"BIR194409210","bumpe101","BIR","1","1","value","27","0","2","0","0","0","","","","","1","19440921","0","BIR01","HOM","l","championship","y"
"BIR194504081","bumpe101","BIR","1","1","value","3","0","0","0","0","0","","","","","","19450408","1","BIR01","KCM","l","exhibition","y"
"BIR194505062","bumpe101","BIR","1","1","value","21","","","0","","0","0","","","","1","19450506","2","BIR01","CVB","w","regular",""
"KCM194505140","bumpe101","BIR","1","1","value","","","","0","","0","0","","","","1","19450514","0","MUS01","KCM","l","regular",""
"MEM194505201","bumpe101","BIR","1","1","value","","","","0","","0","0","","","","1","19450520","1","IND10","MEM","w","regular",""
"BIR194506032","bumpe101","BIR","1","1","value","","","","0","","0","0","","","","1","19450603","2","BIR01","KCM","l","regular",""
"NY6194506171","bumpe101","BIR","1","7","value","27","","","0","0","0","","","","","1","19450617","1","DET04","NY6","w","exhibition","y"
"PH5194506252","bumpe101","BIR","1","7","value","22","1","0","0","0","0","","","","","1","19450625","2","PHI11","PH5","l","exhibition","y"
"BIR194507012","bumpe101","BIR","1","1","value","21","","","0","","0","0","","","","1","19450701","2","BIR01","MEM","w","regular",""
"MEM194507042","bumpe101","BIR","1","1","value","","","","0","","0","0","","","","","19450704","2","MEM03","MEM","l","regular",""
"KCM194507080","bumpe101","BIR","1","7","value","24","1","0","0","0","0","","","","","1","19450708","0","KAN05","KCM","l","regular","y"
"KCM194507120","bumpe101","BIR","1","1","value","24","","","0","","0","0","","","","1","19450712","0","DAY03","KCM","l","regular",""
"CVB194507152","bumpe101","BIR","1","1","value","12","","","0","","0","0","","","","1","19450715","2","LOU05","CVB","w","regular",""
"HOM194508092","bumpe101","BIR","1","1","value","","","","0","","0","0","","","","","19450809","2","WAS09","HOM","l","exhibition",""
"PH5194508130","bumpe101","BIR","1","1","value","27","0","3","1","0","0","","","","","1","19450813","0","WIL04","PH5","t","exhibition","y"
"BLG194508140","bumpe101","BIR","1","7","value","24","","","0","0","0","","","","","1","19450814","0","BAL14","BLG","l","exhibition","y"
"BIR194508200","bumpe101","BIR","1","1","value","","","","0","","0","0","","","","","19450820","0","MTG01","CVB","w","regular",""
"CIA194508250","bumpe101","BIR","1","7","value","27","","","0","0","0","","","","","1","19450825","0","SPR03","CIA","w","regular","y"
"BIR194509031","bumpe101","BIR","1","1","value","3","","","0","","0","0","","","","","19450903","1","NYC16","CIA","l","exhibition",""
"KCM194509120","bumpe101","BIR","1","1","value","27","","","0","","0","0","","","","1","19450912","0","COL05","KCM","w","regular",""
"BLG194704130","bumpe101","CAG","1","1","value","2","0","","0","0","0","","","","","","19470413","0","NSH02","BLG","l","exhibition","y"
"CAG194704271","bumpe101","CAG","1","1","value","12","","","0","","0","0","","","","1","19470427","1","CHI10","CVB","l","exhibition",""
"KCM194705040","bumpe101","CAG","1","3","value","24","12","0","0","0","0","","","","","1","19470504","0","KAN05","KCM","l","regular","y"
"KCM194705050","bumpe101","CAG","1","8","value","27","3","0","1","0","0","","","","","1","19470505","0","KAN05","KCM","w","regular","y"
"KCM194705060","bumpe101","CAG","1","8","value","24","1","","0","0","0","","","","","1","19470506","0","WIC01","KCM","l","regular","y"
"KCM194705070","bumpe101","CAG","1","3","value","24","13","","0","0","0","","","","","1","19470507","0","WIC01","KCM","l","regular","y"
"KCM194705070","bumpe101","CAG","2","1","value","0","","","","0","0","","","","","1","19470507","0","WIC01","KCM","l","regular","y"
"KCM194705080","bumpe101","CAG","1","1","value","24","0","1","0","0","0","","","","","1","19470508","0","KAN05","KCM","l","regular","y"
"MEM194705130","bumpe101","CAG","1","1","value","27","","","0","","0","0","","","","1","19470513","0","MEM02","MEM","w","regular",""
"MEM194705150","bumpe101","CAG","1","3","value","27","9","0","0","0","0","","","","","1","19470515","0","GRE01","MEM","w","regular","y"
"MEM194705150","bumpe101","CAG","2","1","value","3","","","0","0","0","","","","","1","19470515","0","GRE01","MEM","w","regular","y"
"CAG194705182","bumpe101","CAG","","3","value","","","","","","","","","","","","19470518","2","CHI10","KCM","w","regular",""
"KCM194705210","bumpe101","CAG","1","3","value","24","7","0","1","0","0","","","","","1","19470521","0","OKC02","KCM","l","regular","y"
"KCM194705220","bumpe101","CAG","1","3","value","","9","","1","0","0","","","","","1","19470522","0","WIC01","KCM","l","regular","y"
"KCM194705220","bumpe101","CAG","2","7","value","","","","0","0","0","","","","","1","19470522","0","WIC01","KCM","l","regular","y"
"KCM194705230","bumpe101","CAG","1","7","value","27","1","0","0","0","0","","","","","1","19470523","0","CBI01","KCM","w","regular","y"
"CAG194705251","bumpe101","CAG","1","7","value","27","","","0","0","0","0","","","","1","19470525","1","CHI10","CVB","l","regular","y"
"CVB194705270","bumpe101","CAG","1","7","value","24","","","0","0","0","","","","","1","19470527","0","ERI01","CVB","l","regular","y"
