"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"BIR194904010","burgj101","BIR","","6","value","","","","","","","","","","","","19490401","0","OZA01","LCB","w","exhibition",""
"BIR194904170","burgj101","BIR","1","6","value","42","0","0","1","0","0","","","","","1","19490417","0","ATL04","IN9","w","exhibition","y"
"BIR194905020","burgj101","BIR","1","6","value","27","0","1","0","1","0","","","","","1","19490502","0","ATL04","HOE","l","regular","y"
"BIR194905030","burgj101","BIR","1","6","value","27","0","0","1","0","0","","","","","1","19490503","0","ATL04","HOE","w","regular","y"
"BIR194905081","burgj101","BIR","1","6","value","","","","","","","","","","","1","19490508","1","BIR01","CAG","w","regular",""
"BIR194905082","burgj101","BIR","1","6","value","15","","","","","","","","","","1","19490508","2","BIR01","CAG","w","regular",""
"BIR194905110","burgj101","BIR","1","6","value","24","4","4","0","3","0","","","","","1","19490511","0","BIR01","CAG","w","regular","y"
"BIR194905130","burgj101","BIR","1","6","value","27","3","5","0","1","0","","","","","1","19490513","0","BIR01","KCM","w","regular","y"
"BIR194905250","burgj101","BIR","1","6","value","27","2","1","0","0","0","","","","","1","19490525","0","BIR01","LCB","w","regular","y"
"NY6194905291","burgj101","BIR","1","6","value","24","6","1","0","1","0","","","","","1","19490529","1","NYC14","NY6","l","regular","y"
"NY6194905292","burgj101","BIR","1","6","value","27","3","2","0","2","0","","","","","1","19490529","2","NYC14","NY6","w","regular","y"
"BLG194906030","burgj101","BIR","1","6","value","24","0","1","0","0","0","","","","","1","19490603","0","BAL14","BLG","l","regular","y"
"BLG194906040","burgj101","BIR","1","6","value","24","3","2","0","1","0","","","","","1","19490604","0","WIL04","BLG","l","regular","y"
"BLG194906051","burgj101","BIR","1","6","value","27","3","0","1","0","0","","","","","1","19490605","1","BAL14","BLG","w","regular","y"
"BLG194906052","burgj101","BIR","1","6","value","21","2","0","0","0","0","","","","","1","19490605","2","BAL14","BLG","w","regular","y"
"BLG194906061","burgj101","BIR","1","6","value","21","6","5","0","0","0","","","","","1","19490606","1","PHI11","BLG","l","regular","y"
"PH5194906070","burgj101","BIR","1","6","value","24","3","6","0","1","0","","","","","1","19490607","0","CHE01","PH5","l","regular","y"
"BIR194906110","burgj101","BIR","1","6","value","27","1","1","0","0","0","","","","","1","19490611","0","BIR01","NY6","w","regular","y"
"BIR194906120","burgj101","BIR","1","6","value","27","2","4","0","0","0","","","","","1","19490612","0","BIR01","NY6","w","regular","y"
"BIR194906150","burgj101","BIR","1","6","value","27","3","2","1","0","0","","","","","1","19490615","0","BIR01","NY6","w","regular","y"
"BIR194906180","burgj101","BIR","1","6","value","27","1","0","0","0","0","","","","","1","19490618","0","CHT01","IN9","l","regular","y"
"BIR194906191","burgj101","BIR","1","6","value","27","1","1","0","0","0","","","","","1","19490619","1","BIR01","IN9","w","regular","y"
"BIR194906192","burgj101","BIR","1","6","value","24","5","3","1","1","0","","","","","1","19490619","2","BIR01","IN9","l","regular","y"
"BIR194906200","burgj101","BIR","1","6","value","27","2","3","1","0","0","","","","","1","19490620","0","BIR01","IN9","w","regular","y"
"KCM194906261","burgj101","BIR","1","6","value","27","3","1","0","0","0","","","","","1","19490626","1","KAN05","KCM","w","regular","y"
"KCM194906262","burgj101","BIR","1","6","value","18","3","3","0","1","0","","","","","1","19490626","2","KAN05","KCM","l","regular","y"
"KCM194906270","burgj101","BIR","1","6","value","24","3","4","1","0","0","","","","","1","19490627","0","KAN05","KCM","l","regular","y"
"KCM194906280","burgj101","BIR","1","6","value","24","0","2","0","0","0","","","","","1","19490628","0","OMA02","KCM","l","regular","y"
"KCM194906290","burgj101","BIR","1","6","value","27","1","1","0","0","0","","","","","1","19490629","0","GIN01","KCM","w","regular","y"
"KCM194907010","burgj101","BIR","1","6","value","21","2","1","0","0","0","","","","","1","19490701","0","KAN05","KCM","w","regular","y"
"BIR194907031","burgj101","BIR","1","6","value","27","2","1","1","0","0","","","","","1","19490703","1","BIR01","MEM","l","regular","y"
"BIR194907032","burgj101","BIR","1","6","value","21","3","3","0","0","0","","","","","1","19490703","2","BIR01","MEM","l","regular","y"
"MEM194907090","burgj101","BIR","1","6","value","27","4","3","0","2","0","","","","","1","19490709","0","GRE02","MEM","w","regular","y"
"BIR194907100","burgj101","BIR","1","6","value","30","4","2","0","1","0","","","","","1","19490710","0","BIR01","PH5","w","regular","y"
"BIR194907270","burgj101","BIR","1","6","value","27","1","1","0","0","0","","","","","1","19490727","0","BIR01","MEM","w","regular","y"
"BLG194908071","burgj101","BIR","1","6","value","24","2","1","0","0","0","","","","","1","19490807","1","BAL14","BLG","l","regular","y"
"BLG194908072","burgj101","BIR","1","6","value","18","2","0","0","0","0","","","","","1","19490807","2","BAL14","BLG","l","regular","y"
"ASW194908140","burgj101","ASW","1","6","value","15","0","2","0","0","0","","","","","1","19490814","0","CHI10","ASE","l","allstar","y"
