"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"KCM194606162","chise101","CVB","1","8","value","18","3","0","0","0","0","","","","","1","19460616","2","KAN05","KCM","l","regular","y"
"CVB194607020","chise101","CVB","1","7","value","27","0","0","0","0","0","","","","","1","19460702","0","ERI01","MEM","w","regular","y"
"CVB194607090","chise101","CVB","1","8","value","27","1","0","0","0","0","","","","","1","19460709","0","STL07","HOM","l","exhibition","y"
"CVB194607180","chise101","CVB","1","9","value","27","1","0","0","0","0","","","","","1","19460718","0","ROC04","NW2","w","exhibition","y"
"CVB194607230","chise101","CVB","1","8","value","","","","2","0","0","","","","","","19460723","0","ERI01","NW2","w","exhibition","y"
"PH5194608052","chise101","CVB","1","7","value","","2","0","0","0","0","","","","","1","19460805","2","PHI11","PH5","t","exhibition","y"
"NW2194608090","chise101","CVB","1","9","value","","","","0","0","0","","","","","","19460809","0","NWK04","NW2","l","exhibition","y"
"CVB194608120","chise101","CVB","1","9","value","27","","","0","0","0","","","","","1","19460812","0","ERI01","MEM","w","regular","y"
"CVB194609030","chise101","CVB","1","9","value","27","","","0","0","0","","","","","1","19460903","0","ERI01","CAG","w","regular","y"
"CVB194705040","chise101","BIR","1","7","value","24","4","0","0","0","0","","","","","1","19470504","0","CLE06","CVB","l","regular","y"
"CVB194706081","chise101","BIR","1","7","value","24","5","0","0","0","0","","","","","1","19470608","1","CLE06","CVB","l","regular","y"
"CAG194706221","chise101","BIR","1","7","value","27","0","0","0","0","0","","","","","1","19470622","1","CHI10","CAG","w","regular","y"
"KCM194707100","chise101","BIR","1","7","value","29","3","0","0","0","0","","","","","1","19470710","0","KAN05","KCM","l","regular","y"
"KCM194707131","chise101","BIR","1","7","value","24","3","0","1","0","0","","","","","1","19470713","1","KAN05","KCM","l","regular","y"
"KCM194707132","chise101","BIR","1","7","value","18","0","0","0","0","0","","","","","1","19470713","2","KAN05","KCM","w","regular","y"
"KCM194707140","chise101","BIR","1","7","value","6","0","0","0","0","0","","","","","1","19470714","0","KAN05","KCM","l","regular","y"
"NW2194707180","chise101","BIR","1","7","value","27","","","0","0","0","","","","","1","19470718","0","NWK04","NW2","w","exhibition","y"
"PH5194707202","chise101","BIR","1","7","value","31","4","0","0","0","0","","","","","1","19470720","2","NYC16","PH5","l","exhibition","y"
"PH5194707212","chise101","BIR","1","7","value","24","2","0","0","0","0","","","","","1","19470721","2","PHI11","PH5","l","exhibition","y"
"BLG194707220","chise101","BIR","1","7","value","21","0","0","0","0","0","","","","","1","19470722","0","BAL14","BLG","l","exhibition","y"
"NY6194707280","chise101","BIR","1","7","value","27","1","0","0","0","0","","","","","1","19470728","0","YOR02","NY6","w","exhibition","y"
"NW2194707300","chise101","BIR","1","7","value","24","4","0","0","0","0","0","0","0","","1","19470730","0","WIL04","NW2","l","exhibition","y"
"KCM194708041","chise101","BIR","1","7","value","31","","","0","0","0","","","","","1","19470804","1","STL07","KCM","l","regular","y"
"BLG194708120","chise101","BIR","1","7","value","27","2","0","0","0","0","","","","","1","19470812","0","BAL14","BLG","w","exhibition","y"
"MEM194709040","chise101","BIR","1","7","value","27","","","0","","0","0","","","","","19470904","0","MEM02","MEM","w","regular",""
"CAG194709141","chise101","BIR","","7","value","","","","","","","","","","","","19470914","1","CHI10","CAG","l","regular",""
