"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"SHR193510090","colbb101","SHR","1","9","value","6","0","0","0","0","0","0","19351009","0","DAY03","PTC","L","exhibition","y"
"SHR193510090","colbb101","SHR","1","9","lower","6","0","0","0","0","0","0","19351009","0","DAY03","PTC","L","exhibition","y"
"SHR193510090","colbb101","SHR","1","9","upper","6","0","0","0","0","0","0","19351009","0","DAY03","PTC","L","exhibition","y"
"PRG193511102","colbb101","PIR","1","5","value","3","0","0","0","0","0","0","19351110","2","LOS02","PRG","W","exhibition","y"
"PRG193511102","colbb101","PIR","1","5","lower","3","0","0","0","0","0","0","19351110","2","LOS02","PRG","W","exhibition","y"
"PRG193511102","colbb101","PIR","1","5","upper","3","0","0","0","0","0","0","19351110","2","LOS02","PRG","W","exhibition","y"
"PRG193512011","colbb101","PIR","1","5","value","24","0","0","0","0","0","0","19351201","1","LOS02","PRG","L","exhibition","y"
"PRG193512011","colbb101","PIR","1","5","lower","24","0","0","0","0","0","0","19351201","1","LOS02","PRG","L","exhibition","y"
"PRG193512011","colbb101","PIR","1","5","upper","24","0","0","0","0","0","0","19351201","1","LOS02","PRG","L","exhibition","y"
"PRG193512012","colbb101","PIR","1","5","value","12","0","1","0","0","0","0","19351201","2","LOS02","PRG","L","exhibition","y"
"PRG193512012","colbb101","PIR","1","5","lower","12","0","1","0","0","0","0","19351201","2","LOS02","PRG","L","exhibition","y"
"PRG193512012","colbb101","PIR","1","5","upper","12","0","1","0","0","0","0","19351201","2","LOS02","PRG","L","exhibition","y"
