"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194708031","collg101","KCM","9","1","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470803","1","KAN05","HOM","l","exhibition","y"
"KCM194708032","collg101","KCM","9","2","value","2","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470803","2","KAN05","HOM","l","exhibition","y"
"PH5194708072","collg101","KCM","4","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470807","2","PHI11","PH5","l","exhibition","y"
"NY6194708080","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19470808","0","NYC16","NY6","l","exhibition",""
"HOM194708102","collg101","KCM","8","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470810","2","WAS09","HOM","l","exhibition","y"
"KCM194708171","collg101","KCM","2","2","value","1","1","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470817","1","KAN05","IN9","l","regular","y"
"KCM194708180","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19470818","0","SCI01","IN9","w","regular",""
"KCM194709141","collg101","KCM","9","1","value","3","2","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19470914","1","KAN05","MEM","l","regular","y"
"IN9194709220","collg101","KCM","9","1","value","5","5","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470922","0","NFN01","IN9","w","exhibition","y"
"KCM194709250","collg101","KCM","7","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470925","0","KAN05","IN9","l","exhibition","y"
"IN9194709290","collg101","KCM","","","value","4","4","","3","","1","","","","","","","","","","","","","","","","","19470929","0","AUS01","IN9","w","exhibition",""
"KCM194804240","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480424","0","HOU04","IN9","l","exhibition",""
"CAG194805130","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480513","0","MUS01","CAG","w","regular",""
"KCM194805200","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480520","0","OKC02","CVB","w","regular",""
"KCM194805231","collg101","KCM","9","4","value","1","1","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19480523","1","KAN05","IN9","l","regular","y"
"KCM194805232","collg101","KCM","9","2","value","1","1","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19480523","2","KAN05","IN9","t","regular","y"
"KCM194805240","collg101","KCM","9","1","value","3","2","0","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","0","","","","19480524","0","KAN05","IN9","w","regular","y"
"KCM194805300","collg101","KCM","9","1","value","3","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","19480530","0","DAV01","IN9","l","regular","y"
"IN9194806020","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480602","0","COL05","IN9","l","regular",""
"BIR194806062","collg101","KCM","9","1","value","3","3","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19480606","2","BIR01","BIR","l","regular","y"
"CAG194806110","collg101","KCM","9","1","value","3","3","0","0","0","0","0","1","0","0","0","0","0","","0","0","0","0","0","","","","19480611","0","CHI10","CAG","w","regular","y"
"CVB194806170","collg101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480617","0","DET08","CVB","w","regular",""
"KCM194806271","collg101","KCM","9","1","value","1","0","0","0","0","0","0","0","0","0","1","0","0","","0","0","0","0","0","","","","19480627","1","KAN05","CVB","l","regular","y"
"KCM194806290","collg101","KCM","9","1","value","1","1","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19480629","0","KAN05","CVB","l","regular","y"
