"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"KCM194708031","collg101","KCM","1","1","value","3","0","1","0","0","0","0","19470803","1","KAN05","HOM","L","exhibition","y"
"KCM194708031","collg101","KCM","1","1","lower","3","0","1","0","0","0","0","19470803","1","KAN05","HOM","L","exhibition","y"
"KCM194708031","collg101","KCM","1","1","upper","3","0","1","0","0","0","0","19470803","1","KAN05","HOM","L","exhibition","y"
"KCM194708032","collg101","KCM","1","1","value","12","0","1","0","0","0","0","19470803","2","KAN05","HOM","L","exhibition","y"
"KCM194708032","collg101","KCM","1","1","lower","12","0","1","0","0","0","0","19470803","2","KAN05","HOM","L","exhibition","y"
"KCM194708032","collg101","KCM","1","1","upper","12","0","1","0","0","0","0","19470803","2","KAN05","HOM","L","exhibition","y"
"NY6194708080","collg101","KCM","1","1","value","12","","","0","","0","0","19470808","0","NYC16","NY6","L","exhibition",""
"NY6194708080","collg101","KCM","1","1","lower","12","","","0","","0","0","19470808","0","NYC16","NY6","L","exhibition",""
"NY6194708080","collg101","KCM","1","1","upper","12","","","0","","0","0","19470808","0","NYC16","NY6","L","exhibition",""
"KCM194708180","collg101","KCM","1","1","value","27","","","0","","0","0","19470818","0","SCI01","IN9","W","regular",""
"KCM194708180","collg101","KCM","1","1","lower","27","","","0","","0","0","19470818","0","SCI01","IN9","W","regular",""
"KCM194708180","collg101","KCM","1","1","upper","27","","","0","","0","0","19470818","0","SCI01","IN9","W","regular",""
"KCM194709141","collg101","KCM","1","1","value","18","0","2","0","0","0","0","19470914","1","KAN05","MEM","L","regular","y"
"KCM194709141","collg101","KCM","1","1","lower","18","0","2","0","0","0","0","19470914","1","KAN05","MEM","L","regular","y"
"KCM194709141","collg101","KCM","1","1","upper","18","0","2","0","0","0","0","19470914","1","KAN05","MEM","L","regular","y"
"IN9194709220","collg101","KCM","1","1","value","27","0","3","0","0","0","0","19470922","0","NFN01","IN9","W","exhibition","y"
"IN9194709220","collg101","KCM","1","1","lower","27","0","3","0","0","0","0","19470922","0","NFN01","IN9","W","exhibition","y"
"IN9194709220","collg101","KCM","1","1","upper","27","0","3","0","0","0","0","19470922","0","NFN01","IN9","W","exhibition","y"
"IN9194709290","collg101","KCM","1","1","value","27","","","0","","0","0","19470929","0","AUS01","IN9","W","exhibition",""
"IN9194709290","collg101","KCM","1","1","lower","27","","","0","","0","0","19470929","0","AUS01","IN9","W","exhibition",""
"IN9194709290","collg101","KCM","1","1","upper","27","","","0","","0","0","19470929","0","AUS01","IN9","W","exhibition",""
"KCM194804240","collg101","KCM","1","1","value","27","","","0","","0","0","19480424","0","HOU04","IN9","L","exhibition",""
"KCM194804240","collg101","KCM","1","1","lower","27","","","0","","0","0","19480424","0","HOU04","IN9","L","exhibition",""
"KCM194804240","collg101","KCM","1","1","upper","27","","","0","","0","0","19480424","0","HOU04","IN9","L","exhibition",""
"CAG194805130","collg101","KCM","1","1","value","27","","","0","","0","0","19480513","0","MUS01","CAG","W","regular",""
"CAG194805130","collg101","KCM","1","1","lower","27","","","0","","0","0","19480513","0","MUS01","CAG","W","regular",""
"CAG194805130","collg101","KCM","1","1","upper","27","","","0","","0","0","19480513","0","MUS01","CAG","W","regular",""
"KCM194805200","collg101","KCM","1","1","value","12","","","0","","0","0","19480520","0","OKC02","CVB","W","regular",""
"KCM194805200","collg101","KCM","1","1","lower","12","","","0","","0","0","19480520","0","OKC02","CVB","W","regular",""
"KCM194805200","collg101","KCM","1","1","upper","12","","","0","","0","0","19480520","0","OKC02","CVB","W","regular",""
"KCM194805232","collg101","KCM","1","1","value","5","0","1","0","0","0","0","19480523","2","KAN05","IN9","T","regular","y"
"KCM194805232","collg101","KCM","1","1","lower","5","0","1","0","0","0","0","19480523","2","KAN05","IN9","T","regular","y"
"KCM194805232","collg101","KCM","1","1","upper","5","0","1","0","0","0","0","19480523","2","KAN05","IN9","T","regular","y"
"KCM194805240","collg101","KCM","1","1","value","27","0","2","0","0","0","0","19480524","0","KAN05","IN9","W","regular","y"
"KCM194805240","collg101","KCM","1","1","lower","27","0","2","0","0","0","0","19480524","0","KAN05","IN9","W","regular","y"
"KCM194805240","collg101","KCM","1","1","upper","27","0","2","0","0","0","0","19480524","0","KAN05","IN9","W","regular","y"
"KCM194805300","collg101","KCM","1","1","value","27","0","0","0","0","0","0","19480530","0","DAV01","IN9","L","regular","y"
"KCM194805300","collg101","KCM","1","1","lower","27","0","0","0","0","0","0","19480530","0","DAV01","IN9","L","regular","y"
