"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CB1192107090","coopa101","DT1","9","3","value","0","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19210709","0","COL04","CB1","l","regular","y"
"PRG192612052","coopa101","PRG","9","2","value","2","1","0","1","0","0","0","","1","","0","0","","","0","","","","","","","","19261205","2","LOS05","PIR","l","exhibition","y"
"PRG192612250","coopa101","PRG","9","1","value","4","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","","19261225","0","LOS05","PIR","t","exhibition","y"
"PRG192910190","coopa101","PRG","9","1","value","4","4","1","2","1","0","0","","0","","0","0","","","0","","","","","","","","19291019","0","LOS05","PIR","w","exhibition","y"
"PRG192911020","coopa101","PRG","9","1","value","1","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19291102","0","LOS05","PIR","l","exhibition","y"
"DT1193008280","coopa101","DT1","9","1","value","2","2","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19300828","0","DET06","HOM","l","championship","y"
"SSN193009150","coopa101","DT1","9","2","value","1","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19300915","0","STL12","SSN","w","lcs","y"
"DT1193009220","coopa101","DT1","9","3","value","0","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19300922","0","DET06","SSN","l","lcs","y"
"PRG193011022","coopa101","PRG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19301102","2","LOS02","KLK","w","exhibition","y"
"ASD193310100","coopa101","KCM","9","1","value","2","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19331010","0","JOP01","ASD","l","exhibition","y"
"ASD193410120","coopa101","KCM","9","1","value","4","4","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19341012","0","KAN05","ASD","w","exhibition","y"
"CHM193410140","coopa101","KCM","9","2","value","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","19341014","0","CHI15","CHM","l","exhibition","y"
"ASW193608230","coopa101","ASW","9","4","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19360823","0","CHI10","ASE","l","allstar","y"
"CAG193709120","coopa101","KCM","9","1","value","6","6","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19370912","0","CHI09","CAG","t","lcs","y"
"NNL193709240","coopa101","NAL","9","1","value","3","3","0","0","0","0","0","","0","","0","","","","0","","","","","","","","19370924","0","PIT06","NNL","l","allstar","y"
"NAL193709270","coopa101","NAL","","","value","","","","","","","","","","","","","","","","","","","","","","","19370927","0","NYC23","NNL","l","allstar",""
"KCM193807150","coopa101","KCM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380715","0","WIN01","CAG","l","regular",""
"CAG193905212","coopa101","KCM","","","value","","","0","","","","","0","","","","","","","","","","","","","","","19390521","2","CHI09","CAG","l","regular",""
"SSA193906060","coopa101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390606","0","STL13","SSA","w","regular",""
"KCM193906150","coopa101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19390615","0","SPR05","MEM","w","regular",""
"CV9193906182","coopa101","KCM","9","5","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390618","2","CLE07","CV9","l","regular","y"
"KCM193907080","coopa101","KCM","9","1","value","4","4","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","19390708","0","MAN01","SSA","w","regular","y"
"TLC193908010","coopa101","KCM","9","2","value","4","4","1","2","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390801","0","DCT02","TLC","w","regular","y"
"KCM193909010","coopa101","KCM","9","1","value","4","4","0","1","0","0","0","1","0","0","0","0","0","","0","0","0","0","0","","","","19390901","0","MUS01","SSA","w","lcs","y"
"KCM193909040","coopa101","KCM","9","1","value","2","1","0","0","0","0","0","1","0","1","0","0","0","","0","0","0","0","0","","","","19390904","0","KAN05","SSA","w","lcs","y"
