"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"NW2194205060","cruem101","NY6","2","value","3","","","","","","","","","","","","","","","","","","","","","1","","19420506","0","WIL06","NW2","L","exhibition",""
"NW2194205060","cruem101","NY6","2","lower","3","","","","","","","","","","","","","","","","","","","","","","","19420506","0","WIL06","NW2","L","exhibition",""
"NW2194205060","cruem101","NY6","2","upper","6","","","","","","","","","","","","","","","","","","1","","","","","19420506","0","WIL06","NW2","L","exhibition",""
"PH5194205140","cruem101","NY6","1","value","15","","22","2","0","","1","3","","5","","","0","0","0","","","","1","","1","","","19420514","0","CAM02","PH5","L","exhibition","y"
"PH5194205140","cruem101","NY6","1","lower","","","","","0","","","","","","","","0","0","0","","","","","","","","","19420514","0","CAM02","PH5","L","exhibition","y"
"PH5194205140","cruem101","NY6","1","upper","","","","","0","","","","","","","","0","0","0","","","","","","","","","19420514","0","CAM02","PH5","L","exhibition","y"
"NY5194205160","cruem101","NY6","2","value","3","","3","0","","","0","0","0","0","","0","0","0","0","","","","","1","","1","","19420516","0","PAT01","NY5","W","regular","y"
"NY5194205160","cruem101","NY6","2","lower","3","","","0","","","0","0","0","0","","0","0","0","0","","","","","","","","","19420516","0","PAT01","NY5","W","regular","y"
"NY5194205160","cruem101","NY6","2","upper","3","","","0","","","0","0","0","0","","0","0","0","0","","","","","","","","","19420516","0","PAT01","NY5","W","regular","y"
"PH5194205232","cruem101","NY6","2","value","8","","16","4","","0","0","3","","4","","","0","0","0","1","","","","","","","","19420523","2","PHI17","PH5","L","regular","y"
"PH5194205232","cruem101","NY6","2","lower","8","","","","","0","0","3","","2","","","0","0","0","","","","","","","","","19420523","2","PHI17","PH5","L","regular","y"
"PH5194205232","cruem101","NY6","2","upper","8","","","","","0","0","3","","4","","","0","0","0","","","","","","","","","19420523","2","PHI17","PH5","L","regular","y"
"NY6194207110","cruem101","NY6","1","value","17","","30","6","","1","0","6","","6","","2","0","0","0","1","","","1","","1","","","19420711","0","HRB01","BLG","L","exhibition","y"
"NY6194207110","cruem101","NY6","1","lower","17","","","6","","1","0","6","","6","","2","0","0","0","","","","","","","","","19420711","0","HRB01","BLG","L","exhibition","y"
"NY6194207110","cruem101","NY6","1","upper","17","","","6","","1","0","6","","6","","2","0","0","0","","","","","","","","","19420711","0","HRB01","BLG","L","exhibition","y"
"BLG194207180","cruem101","NY6","1","value","1","","8","4","0","0","0","7","","","","","0","0","0","","","","1","","1","","","19420718","0","PHI17","BLG","L","regular","y"
"BLG194207180","cruem101","NY6","1","lower","1","","","4","0","0","0","7","","","","","0","0","0","","","","","","","","","19420718","0","PHI17","BLG","L","regular","y"
"BLG194207180","cruem101","NY6","1","upper","1","","","4","0","0","0","7","","","","","0","0","0","","","","","","","","","19420718","0","PHI17","BLG","L","regular","y"
"NY6194208240","cruem101","NY6","1","value","27","","42","6","0","0","0","7","","7","","11","0","1","0","0","","","1","","1","","1","19420824","0","YOR03","NY5","L","exhibition","y"
"NY6194208240","cruem101","NY6","1","lower","27","","42","6","0","0","0","7","","7","","11","0","1","0","0","","","","","","","","19420824","0","YOR03","NY5","L","exhibition","y"
"NY6194208240","cruem101","NY6","1","upper","27","","42","6","0","0","0","7","","7","","11","0","1","0","0","","","","","","","","19420824","0","YOR03","NY5","L","exhibition","y"
"CAG194209040","cruem101","NY6","1","value","24","","32","8","","0","1","3","","1","","4","1","1","0","","","1","","","1","","","19420904","0","DAV01","CAG","W","exhibition","y"
"CAG194209040","cruem101","NY6","1","lower","24","","","8","","0","1","3","","1","","4","0","1","0","","","","","","","","","19420904","0","DAV01","CAG","W","exhibition","y"
"CAG194209040","cruem101","NY6","1","upper","24","","","8","","0","1","3","","1","","4","1","1","0","","","","","","","","","19420904","0","DAV01","CAG","W","exhibition","y"
"PH5194305311","cruem101","NY6","2","value","19","","29","2","","","0","2","","6","","","0","0","0","","","","","","","1","","19430531","1","PHI17","PH5","L","regular","y"
"PH5194305311","cruem101","NY6","2","lower","","","","","","","","","","6","","","0","0","0","","","","","","","","","19430531","1","PHI17","PH5","L","regular","y"
"PH5194305311","cruem101","NY6","2","upper","","","","","","","","","","6","","","0","0","0","","","","","","","","","19430531","1","PHI17","PH5","L","regular","y"
"NY6194306020","cruem101","NY6","2","value","12","","","","","","1","3","","","","1","","","","","","","","","","","","19430602","0","NOR02","HOM","L","regular",""
"NY6194306020","cruem101","NY6","2","lower","12","","","","","","1","3","","","","1","","","","","","","","","","","","19430602","0","NOR02","HOM","L","regular",""
"NY6194306020","cruem101","NY6","2","upper","12","","","","","","1","3","","","","1","","","","","","","","","","","","19430602","0","NOR02","HOM","L","regular",""
"BLG194306062","cruem101","NY6","1","value","21","","30","4","0","0","0","3","","4","","2","0","0","1","0","","1","","","1","","1","19430606","2","BAL14","BLG","W","regular","y"
"BLG194306062","cruem101","NY6","1","lower","21","","26","4","0","0","0","3","","4","","2","0","0","1","0","","","","","","","","19430606","2","BAL14","BLG","W","regular","y"
"BLG194306062","cruem101","NY6","1","upper","21","","30","4","0","0","0","3","","4","","2","0","0","1","0","","","","","","","","19430606","2","BAL14","BLG","W","regular","y"
"HOM194306090","cruem101","NY6","1","value","24","","","4","2","","","7","","2","","","","","","","","","1","","1","","1","19430609","0","TOL05","HOM","L","regular",""
"HOM194306090","cruem101","NY6","1","lower","24","","","4","2","","","7","","2","","","","","","","","","","","","","","19430609","0","TOL05","HOM","L","regular",""
"HOM194306090","cruem101","NY6","1","upper","24","","","4","2","","","7","","2","","","","","","","","","","","","","","19430609","0","TOL05","HOM","L","regular",""
"HOM194306132","cruem101","NY6","1","value","4","","12","6","","0","2","8","","2","","0","0","0","0","","","","1","","1","","","19430613","2","WAS09","HOM","L","regular","y"
"HOM194306132","cruem101","NY6","1","lower","","","","","","0","","","","2","","0","0","0","0","","","","","","","","","19430613","2","WAS09","HOM","L","regular","y"
"HOM194306132","cruem101","NY6","1","upper","","","","","","0","","","","2","","0","0","0","0","","","","","","","","","19430613","2","WAS09","HOM","L","regular","y"
"BIR194306250","cruem101","NY6","1","value","24","","39","11","1","1","0","9","","4","","2","0","0","0","0","","","1","","1","","1","19430625","0","ZAN02","BIR","L","exhibition","y"
"BIR194306250","cruem101","NY6","1","lower","24","","36","11","1","1","0","9","","4","","2","0","0","0","0","","","","","","","","19430625","0","ZAN02","BIR","L","exhibition","y"
"BIR194306250","cruem101","NY6","1","upper","24","","39","11","1","1","0","9","","4","","2","0","0","0","0","","","","","","","","19430625","0","ZAN02","BIR","L","exhibition","y"
"PH5194307052","cruem101","NY6","2","value","8","","11","2","0","0","0","2","","1","","","0","0","0","","","","","","","1","","19430705","2","PHI17","PH5","L","regular","y"
"PH5194307052","cruem101","NY6","2","lower","8","","","2","0","0","0","2","","1","","","0","0","0","","","","","","","","","19430705","2","PHI17","PH5","L","regular","y"
"PH5194307052","cruem101","NY6","2","upper","8","","","2","0","0","0","2","","1","","","0","0","0","","","","","","","","","19430705","2","PHI17","PH5","L","regular","y"
"BIR194307220","cruem101","NY6","1","value","24","","","8","2","","","4","","","","","","","","","","","1","","1","","1","19430722","0","NSH02","BIR","L","exhibition",""
"BIR194307220","cruem101","NY6","1","lower","24","","","8","2","","","4","","","","","","","","","","","","","","","","19430722","0","NSH02","BIR","L","exhibition",""
"BIR194307220","cruem101","NY6","1","upper","24","","","8","2","","","4","","","","","","","","","","","","","","","","19430722","0","NSH02","BIR","L","exhibition",""
"BIR194307260","cruem101","NY6","1","value","27","","","1","","1","","3","","","","1","","","","","","1","","","1","","1","19430726","0","MTG01","BIR","W","exhibition",""
"BIR194307260","cruem101","NY6","1","lower","27","","","1","","1","","3","","","","1","","","","","","","","","","","","19430726","0","MTG01","BIR","W","exhibition",""
"BIR194307260","cruem101","NY6","1","upper","27","","","1","","1","","3","","","","1","","","","","","","","","","","","19430726","0","MTG01","BIR","W","exhibition",""
"BIR194307290","cruem101","NY6","1","value","","","","","","","","","","","","","","","","","","","","","1","","","19430729","0","BIR01","BIR","L","exhibition",""
"BIR194307290","cruem101","NY6","1","lower","","","","","","","","","","","","","","","","","","","","","","","","19430729","0","BIR01","BIR","L","exhibition",""
"BIR194307290","cruem101","NY6","1","upper","","","","","","","","","","","","","","","","","","","","","","","","19430729","0","BIR01","BIR","L","exhibition",""
"HOM194308140","cruem101","NY6","3","value","8","","11","3","","0","0","0","","0","","2","0","0","0","","","","","","","1","","19430814","0","WAS09","HOM","L","regular","y"
"HOM194308140","cruem101","NY6","3","lower","8","","","3","","0","0","0","","0","","2","0","0","0","","","","","","","","","19430814","0","WAS09","HOM","L","regular","y"
"HOM194308140","cruem101","NY6","3","upper","8","","","3","","0","0","0","","0","","2","0","0","0","","","","","","","","","19430814","0","WAS09","HOM","L","regular","y"
"KCM194308310","cruem101","NY6","1","value","27","","","6","","","1","5","","","","","","","","","","1","","","1","","1","19430831","0","DAY03","KCM","W","exhibition",""
"KCM194308310","cruem101","NY6","1","lower","27","","","6","","","1","5","","","","","","","","","","","","","","","","19430831","0","DAY03","KCM","W","exhibition",""
"KCM194308310","cruem101","NY6","1","upper","27","","","6","","","1","5","","","","","","","","","","","","","","","","19430831","0","DAY03","KCM","W","exhibition",""
"CI2194309020","cruem101","NY6","2","value","2","","3","1","","","0","0","","0","","","0","0","0","","","","","1","","1","","19430902","0","MIL03","CI2","W","exhibition","y"
"CI2194309020","cruem101","NY6","2","lower","","","","","","","0","","","","","","0","0","0","","","","","","","","","19430902","0","MIL03","CI2","W","exhibition","y"
"CI2194309020","cruem101","NY6","2","upper","","","","","","","0","","","","","","0","0","0","","","","","","","","","19430902","0","MIL03","CI2","W","exhibition","y"
"CI2194309100","cruem101","NY6","1","value","26","","","10","","","","7","","","","","","","","","","","1","","1","","1","19430910","0","COL05","CI2","L","exhibition",""
"CI2194309100","cruem101","NY6","1","lower","26","","","10","","","","7","","","","","","","","","","","","","","","","19430910","0","COL05","CI2","L","exhibition",""
"CI2194309100","cruem101","NY6","1","upper","26","","","10","","","","7","","","","","","","","","","","","","","","","19430910","0","COL05","CI2","L","exhibition",""
"NW2194508220","cruem101","NY5","1","value","24","","40","11","1","3","1","6","","5","","6","0","0","0","0","","","1","","1","","1","19450822","0","TRE01","NW2","L","regular","y"
"NW2194508220","cruem101","NY5","1","lower","24","","35","11","1","3","1","6","","5","","6","0","0","0","0","","","","","","","","19450822","0","TRE01","NW2","L","regular","y"
"NW2194508220","cruem101","NY5","1","upper","24","","40","11","1","3","1","6","","5","","6","0","0","0","0","","","","","","","","19450822","0","TRE01","NW2","L","regular","y"
"NY5194508270","cruem101","NY5","2","value","14","","15","1","0","0","0","0","0","0","","3","0","0","0","","","","","","","1","","19450827","0","NYC23","NY6","W","regular","y"
"NY5194508270","cruem101","NY5","2","lower","14","","","1","0","0","0","0","0","0","","3","0","0","0","","","","","","","","","19450827","0","NYC23","NY6","W","regular","y"
"NY5194508270","cruem101","NY5","2","upper","14","","","1","0","0","0","0","0","0","","3","0","0","0","","","","","","","","","19450827","0","NYC23","NY6","W","regular","y"
"BLG194508301","cruem101","NY5","1","value","24","","37","13","1","","1","8","","3","","","","","","","","","1","","1","","1","19450830","1","PHI11","BLG","L","regular","y"
"BLG194508301","cruem101","NY5","1","lower","24","","34","13","1","","1","8","","","","","","","","","","","","","","","","19450830","1","PHI11","BLG","L","regular","y"
"BLG194508301","cruem101","NY5","1","upper","24","","37","13","1","","1","8","","","","","","","","","","","","","","","","19450830","1","PHI11","BLG","L","regular","y"
"NY5194509032","cruem101","NY5","1","value","25","","34","7","0","","0","4","","2","","7","0","0","0","0","","","","","1","","","19450903","2","NYC16","PH5","W","exhibition","y"
"NY5194509032","cruem101","NY5","1","lower","25","","","7","0","","0","4","","2","","7","0","0","0","","","","","","","","","19450903","2","NYC16","PH5","W","exhibition","y"
"NY5194509032","cruem101","NY5","1","upper","25","","","7","0","","0","4","","2","","7","0","0","0","","","","","","","","","19450903","2","NYC16","PH5","W","exhibition","y"
"MEM194509190","cruem101","NY5","1","value","24","","","","","","","3","","","","","","","","","","","1","","1","","1","19450919","0","HOU04","MEM","L","exhibition",""
"MEM194509190","cruem101","NY5","1","lower","24","","","","","","","3","","","","","","","","","","","","","","","","19450919","0","HOU04","MEM","L","exhibition",""
"MEM194509190","cruem101","NY5","1","upper","24","","","","","","","3","","","","","","","","","","","","","","","","19450919","0","HOU04","MEM","L","exhibition",""
"BIR194509240","cruem101","NY5","1","value","24","","","10","","","","6","","","","","","","","","","","1","","1","","1","19450924","0","BIR01","BIR","L","exhibition",""
"BIR194509240","cruem101","NY5","1","lower","24","","","10","","","","6","","","","","","","","","","","","","","","","19450924","0","BIR01","BIR","L","exhibition",""
"BIR194509240","cruem101","NY5","1","upper","24","","","10","","","","6","","","","","","","","","","","","","","","","19450924","0","BIR01","BIR","L","exhibition",""
"NY6194604020","cruem101","NY6","2","value","9","","12","3","","","","1","","1","","2","","","","","","","","","","","","19460402","0","NOL01","HOM","L","exhibition","y"
"NY6194604020","cruem101","NY6","2","lower","9","","","2","","","","1","","","","2","","","","","","","","","","","","19460402","0","NOL01","HOM","L","exhibition","y"
"NY6194604020","cruem101","NY6","2","upper","9","","","5","","","","1","","","","2","","","","","","","","","","","","19460402","0","NOL01","HOM","L","exhibition","y"
"NY6194604050","cruem101","NY6","1","value","3","","","","","","","","","","","","","","","","","","","","1","","","19460405","0","NOL01","HOM","W","exhibition",""
"NY6194604050","cruem101","NY6","1","lower","3","","","","","","","","","","","","","","","","","","","","","","","19460405","0","NOL01","HOM","W","exhibition",""
"NY6194604050","cruem101","NY6","1","upper","","","","","","","","","","","","","","","","","","","","","","","","19460405","0","NOL01","HOM","W","exhibition",""
"NY6194604080","cruem101","NY6","2","value","","","","","","","","","","","","","","","","","","","","","","1","","19460408","0","HOU04","HOM","W","exhibition",""
"NY6194604080","cruem101","NY6","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19460408","0","HOU04","HOM","W","exhibition",""
"NY6194604080","cruem101","NY6","2","upper","","","","","","","","","","","","","","","","","","1","","","","","","19460408","0","HOU04","HOM","W","exhibition",""
