"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"ACY192107031","cummc102","HIL","1","4","value","28","1","3","0","0","0","0","19210703","1","ACY01","ACY","L","exhibition","y"
"ACY192107031","cummc102","HIL","1","4","lower","28","1","3","0","","0","0","19210703","1","ACY01","ACY","L","exhibition","y"
"ACY192107031","cummc102","HIL","1","4","upper","28","1","3","0","","0","0","19210703","1","ACY01","ACY","L","exhibition","y"
"ACY192610010","cummc102","ACY","1","3","value","27","8","1","0","1","0","0","19261001","0","ACY01","CAG","T","championship","y"
"ACY192610010","cummc102","ACY","1","3","lower","27","8","1","0","1","0","0","19261001","0","ACY01","CAG","T","championship","y"
"ACY192610010","cummc102","ACY","1","3","upper","27","8","1","0","1","0","0","19261001","0","ACY01","CAG","T","championship","y"
"ACY192610020","cummc102","ACY","1","3","value","27","8","0","0","0","0","0","19261002","0","ACY01","CAG","L","championship","y"
"ACY192610020","cummc102","ACY","1","3","lower","27","8","0","0","0","0","0","19261002","0","ACY01","CAG","L","championship","y"
"ACY192610020","cummc102","ACY","1","3","upper","27","8","0","0","0","0","0","19261002","0","ACY01","CAG","L","championship","y"
"ACY192610030","cummc102","ACY","1","3","value","27","11","0","2","0","0","0","19261003","0","BAL13","CAG","W","championship","y"
"ACY192610030","cummc102","ACY","1","3","lower","27","11","0","2","0","0","0","19261003","0","BAL13","CAG","W","championship","y"
"ACY192610030","cummc102","ACY","1","3","upper","27","11","0","2","0","0","0","19261003","0","BAL13","CAG","W","championship","y"
"ACY192610040","cummc102","ACY","1","3","value","27","14","1","0","0","0","0","19261004","0","PHI09","CAG","T","championship","y"
"ACY192610040","cummc102","ACY","1","3","lower","27","14","1","0","0","0","0","19261004","0","PHI09","CAG","T","championship","y"
"ACY192610040","cummc102","ACY","1","3","upper","27","14","1","0","0","0","0","19261004","0","PHI09","CAG","T","championship","y"
"ACY192610050","cummc102","ACY","1","3","value","27","12","0","1","0","0","0","19261005","0","PHI09","CAG","W","championship","y"
"ACY192610050","cummc102","ACY","1","3","lower","27","12","0","1","0","0","0","19261005","0","PHI09","CAG","W","championship","y"
"ACY192610050","cummc102","ACY","1","3","upper","27","12","0","1","0","0","0","19261005","0","PHI09","CAG","W","championship","y"
"ACY192610060","cummc102","ACY","1","3","value","27","12","0","0","0","0","0","19261006","0","ACY01","CAG","W","championship","y"
"ACY192610060","cummc102","ACY","1","3","lower","27","12","0","0","0","0","0","19261006","0","ACY01","CAG","W","championship","y"
"ACY192610060","cummc102","ACY","1","3","upper","27","12","0","0","0","0","0","19261006","0","ACY01","CAG","W","championship","y"
"CAG192610090","cummc102","ACY","1","3","value","26","8","1","1","1","0","0","19261009","0","CHI09","CAG","L","championship","y"
"CAG192610090","cummc102","ACY","1","3","lower","26","8","1","1","1","0","0","19261009","0","CHI09","CAG","L","championship","y"
"CAG192610090","cummc102","ACY","1","3","upper","26","8","1","1","1","0","0","19261009","0","CHI09","CAG","L","championship","y"
"CAG192610100","cummc102","ACY","1","3","value","27","8","3","0","1","0","0","19261010","0","CHI09","CAG","W","championship","y"
"CAG192610100","cummc102","ACY","1","3","lower","27","8","3","0","1","0","0","19261010","0","CHI09","CAG","W","championship","y"
"CAG192610100","cummc102","ACY","1","3","upper","27","8","3","0","1","0","0","19261010","0","CHI09","CAG","W","championship","y"
"CAG192610110","cummc102","ACY","1","3","value","24","8","0","0","0","0","0","19261011","0","CHI09","CAG","L","championship","y"
"CAG192610110","cummc102","ACY","1","3","lower","24","8","0","0","0","0","0","19261011","0","CHI09","CAG","L","championship","y"
"CAG192610110","cummc102","ACY","1","3","upper","24","8","0","0","0","0","0","19261011","0","CHI09","CAG","L","championship","y"
"CAG192610130","cummc102","ACY","1","3","value","24","9","1","1","0","0","0","19261013","0","CHI09","CAG","L","championship","y"
"CAG192610130","cummc102","ACY","1","3","lower","24","9","1","1","0","0","0","19261013","0","CHI09","CAG","L","championship","y"
"CAG192610130","cummc102","ACY","1","3","upper","24","9","1","1","0","0","0","19261013","0","CHI09","CAG","L","championship","y"
"CAG192610140","cummc102","ACY","1","3","value","25","14","0","0","0","0","0","19261014","0","CHI09","CAG","L","championship","y"
"CAG192610140","cummc102","ACY","1","3","lower","25","14","0","0","0","0","0","19261014","0","CHI09","CAG","L","championship","y"
"CAG192610140","cummc102","ACY","1","3","upper","25","14","0","0","0","0","0","19261014","0","CHI09","CAG","L","championship","y"
