"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLS192909291","dalrb101","ASB","1","1","value","5","1","0","0","0","0","","0","","0","0","","","0","","","","","","","19290929","1","BAL13","BLS","W","exhibition","y"
"BLS192909291","dalrb101","ASB","1","1","lower","5","1","0","0","0","0","","0","","0","0","","","0","","","","","","","19290929","1","BAL13","BLS","W","exhibition","y"
"BLS192909291","dalrb101","ASB","1","1","upper","5","1","0","0","0","0","","0","","0","0","","","0","","","","","","","19290929","1","BAL13","BLS","W","exhibition","y"
"BLS192909292","dalrb101","ASB","1","1","value","3","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","19290929","2","BAL13","BLS","L","exhibition","y"
"BLS192909292","dalrb101","ASB","1","1","lower","3","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","19290929","2","BAL13","BLS","L","exhibition","y"
"BLS192909292","dalrb101","ASB","1","1","upper","3","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","19290929","2","BAL13","BLS","L","exhibition","y"
"BLS192910061","dalrb101","ASB","1","1","value","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19291006","1","BAL13","BLS","L","exhibition","y"
"BLS192910061","dalrb101","ASB","1","1","lower","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19291006","1","BAL13","BLS","L","exhibition","y"
"BLS192910061","dalrb101","ASB","1","1","upper","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19291006","1","BAL13","BLS","L","exhibition","y"
"BLS192910062","dalrb101","ASB","1","1","value","4","0","2","0","0","0","","0","","0","0","","","0","","","","","","","19291006","2","BAL13","BLS","W","exhibition","y"
"BLS192910062","dalrb101","ASB","1","1","lower","4","0","2","0","0","0","","0","","0","0","","","0","","","","","","","19291006","2","BAL13","BLS","W","exhibition","y"
"BLS192910062","dalrb101","ASB","1","1","upper","4","0","2","0","0","0","","0","","0","0","","","0","","","","","","","19291006","2","BAL13","BLS","W","exhibition","y"
"BLS192910131","dalrb101","ASB","1","1","value","5","1","0","0","0","0","","0","","0","0","","","0","","","","","","","19291013","1","BAL13","BLS","L","exhibition","y"
"BLS192910131","dalrb101","ASB","1","1","lower","5","1","0","0","0","0","","0","","0","0","","","0","","","","","","","19291013","1","BAL13","BLS","L","exhibition","y"
"BLS192910131","dalrb101","ASB","1","1","upper","5","1","0","0","0","0","","0","","0","0","","","0","","","","","","","19291013","1","BAL13","BLS","L","exhibition","y"
"BLS192910132","dalrb101","ASB","1","1","value","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19291013","2","BAL13","BLS","L","exhibition","y"
"BLS192910132","dalrb101","ASB","1","1","lower","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19291013","2","BAL13","BLS","L","exhibition","y"
"BLS192910132","dalrb101","ASB","1","1","upper","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19291013","2","BAL13","BLS","L","exhibition","y"
"BLS192910201","dalrb101","ASB","1","1","value","5","0","2","0","0","0","","0","","0","0","","","0","","","","","","","19291020","1","BAL13","BLS","L","exhibition","y"
"BLS192910201","dalrb101","ASB","1","1","lower","5","0","2","0","0","0","","0","","0","0","","","0","","","","","","","19291020","1","BAL13","BLS","L","exhibition","y"
"BLS192910201","dalrb101","ASB","1","1","upper","5","0","2","0","0","0","","0","","0","0","","","0","","","","","","","19291020","1","BAL13","BLS","L","exhibition","y"
