"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194704130","davib108","BLG","7","1","value","4","1","3","1","0","0","1","0","","0","0","0","","0","","","0","","","","19470413","0","NSH02","CAG","W","exhibition","y"
"BLG194704130","davib108","BLG","7","1","lower","4","1","3","1","0","0","1","0","","0","","","","0","","","0","","","","19470413","0","NSH02","CAG","W","exhibition","y"
"BLG194704130","davib108","BLG","7","1","upper","4","1","3","1","0","0","1","0","","0","","","","0","","","0","","","","19470413","0","NSH02","CAG","W","exhibition","y"
"BLG194704200","davib108","BLG","4","1","value","4","0","0","","","","","","","","0","0","","","","","","","","","19470420","0","NSH02","IN9","W","exhibition","y"
"BLG194704200","davib108","BLG","4","1","lower","4","0","0","","","","","","","","","","","","","","","","","","19470420","0","NSH02","IN9","W","exhibition","y"
"BLG194704200","davib108","BLG","4","1","upper","4","0","0","","","","","","","","","","","","","","","","","","19470420","0","NSH02","IN9","W","exhibition","y"
"PH5194705030","davib108","BLG","4","1","value","6","3","3","","","","","","","","","","","","","","","","","","19470503","0","PHI17","PH5","W","exhibition","y"
"PH5194705030","davib108","BLG","4","1","lower","","3","3","","","","","","","","","","","","","","","","","","19470503","0","PHI17","PH5","W","exhibition","y"
"PH5194705030","davib108","BLG","4","1","upper","","3","3","","","","","","","","","","","","","","","","","","19470503","0","PHI17","PH5","W","exhibition","y"
"BLG194705041","davib108","BLG","4","1","value","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19470504","1","BAL14","PH5","L","regular","y"
"BLG194705041","davib108","BLG","4","1","lower","4","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470504","1","BAL14","PH5","L","regular","y"
"BLG194705041","davib108","BLG","4","1","upper","4","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19470504","1","BAL14","PH5","L","regular","y"
"BLG194705042","davib108","BLG","4","1","value","3","0","1","1","0","0","1","0","","0","1","","","3","","","0","","","","19470504","2","BAL14","PH5","W","regular","y"
"BLG194705042","davib108","BLG","4","1","lower","3","0","1","1","0","0","1","0","","0","","","","3","","","0","","","","19470504","2","BAL14","PH5","W","regular","y"
"BLG194705042","davib108","BLG","4","1","upper","3","0","1","1","0","0","1","0","","0","","","","3","","","0","","","","19470504","2","BAL14","PH5","W","regular","y"
"BLG194705060","davib108","BLG","4","1","value","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19470506","0","BAL14","NW2","W","regular","y"
"BLG194705060","davib108","BLG","4","1","lower","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19470506","0","BAL14","NW2","W","regular","y"
"BLG194705060","davib108","BLG","4","1","upper","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19470506","0","BAL14","NW2","W","regular","y"
