"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"PH5194906062","davin101","PH5","1","3","value","30","14","1","0","0","0","","","","","1","19490606","2","PHI11","HOE","l","regular","y"
"PH5194906070","davin101","PH5","1","3","value","27","9","0","1","0","0","","","","","1","19490607","0","CHE01","BIR","w","regular","y"
"IN9194906110","davin101","PH5","1","3","value","28","0","0","0","0","0","","","","","1","19490611","0","CHA01","IN9","l","regular","y"
"IN9194906140","davin101","PH5","1","3","value","","","","","","","","","","","1","19490614","0","ZAN02","IN9","l","regular",""
"CAG194906220","davin101","PH5","1","3","value","27","0","0","0","0","0","","","","","1","19490622","0","DCT02","CAG","w","regular","y"
"BIR194907100","davin101","PH5","1","3","value","21","6","1","0","0","0","","","","","1","19490710","0","BIR01","BIR","l","regular","y"
"BIR194907100","davin101","PH5","2","4","value","8","0","0","0","0","0","","","","","1","19490710","0","BIR01","BIR","l","regular","y"
"PH5194907241","davin101","PH5","1","3","value","27","0","0","0","0","0","","","","","1","19490724","1","WAS09","NY6","l","regular","y"
"PH5194907242","davin101","PH5","1","3","value","24","0","0","0","0","0","","","","","1","19490724","2","WAS09","NY6","l","regular","y"
"PH5194907251","davin101","PH5","1","3","value","27","7","0","0","0","0","","","","","1","19490725","1","PHI11","IN9","l","regular","y"
"PH5194907252","davin101","PH5","1","3","value","27","9","0","0","0","0","","","","","1","19490725","2","PHI11","IN9","l","regular","y"
"PH5194908010","davin101","PH5","1","3","value","27","7","0","0","","","","","","","1","19490801","0","PHI11","CAG","w","regular","y"
"PH5194908060","davin101","PH5","1","3","value","27","7","0","0","","","","","","","1","19490806","0","WIL04","IN9","w","regular","y"
"PH5194908242","davin101","PH5","1","3","value","27","8","2","0","0","0","","","","","1","19490824","2","PHI11","BLG","l","regular","y"
"BLG194908260","davin101","PH5","1","3","value","24","9","0","0","0","0","","0","0","","1","19490826","0","BAL14","BLG","l","regular","y"
"BLG194909020","davin101","PH5","1","3","value","19","4","0","0","0","0","","","","","1","19490902","0","BAL14","BLG","l","regular","y"
"BLG194909051","davin101","PH5","1","3","value","33","10","0","0","0","","","0","0","","1","19490905","1","BAL14","BLG","l","regular","y"
