"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BIR194208162","davip102","BIR","3","1","value","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19420816","2","BIR01","CCB","W","exhibition","y"
"BIR194208162","davip102","BIR","3","1","lower","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19420816","2","BIR01","CCB","W","exhibition","y"
"BIR194208162","davip102","BIR","3","1","upper","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19420816","2","BIR01","CCB","W","exhibition","y"
"BIR194208232","davip102","BIR","2","1","value","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19420823","2","BIR01","CI2","T","exhibition","y"
"BIR194208232","davip102","BIR","2","1","lower","2","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420823","2","BIR01","CI2","T","exhibition","y"
"BIR194208232","davip102","BIR","2","1","upper","2","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19420823","2","BIR01","CI2","T","exhibition","y"
"PRG194210111","davip102","PRG","2","1","value","4","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","19421011","1","LOS02","PIR","L","exhibition","y"
"PRG194210111","davip102","PRG","2","1","lower","4","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19421011","1","LOS02","PIR","L","exhibition","y"
"PRG194210111","davip102","PRG","2","1","upper","4","0","0","0","0","0","0","0","","0","","","","0","","","","","","","19421011","1","LOS02","PIR","L","exhibition","y"
"PRG194210112","davip102","PRG","2","1","value","3","0","1","0","0","0","0","0","","0","0","","","1","","","","","","","19421011","2","LOS02","PIR","L","exhibition","y"
"PRG194210112","davip102","PRG","2","1","lower","3","","1","0","0","0","0","0","","0","","","","1","","","","","","","19421011","2","LOS02","PIR","L","exhibition","y"
"PRG194210112","davip102","PRG","2","1","upper","3","","1","0","0","0","0","0","","0","","","","1","","","","","","","19421011","2","LOS02","PIR","L","exhibition","y"
