"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"MEM193804100","direj101","BLG","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380410","0","MEM02","MEM","l","exhibition",""
"BLG193805020","direj101","BLG","9","2","value","1","1","0","0","","","","","0","","0","0","","","","","","","","","","","19380502","0","JAC02","CAG","w","exhibition","y"
"PH5193805160","direj101","BLG","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380516","0","CHE02","PH5","l","regular",""
"PTC193805222","direj101","BLG","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380522","2","PIT09","PTC","l","regular",""
"HOM193806140","direj101","BLG","9","3","value","1","1","0","0","","","0","0","0","0","0","0","0","","","","","","","","","","19380614","0","LOU05","HOM","l","regular","y"
"BLG193806180","direj101","BLG","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380618","0","SPR04","HOM","w","regular",""
"HOM193806220","direj101","BLG","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380622","0","SCP01","HOM","w","exhibition",""
"BLG193807032","direj101","BLG","9","1","value","3","3","1","1","","","","","","","","","","","","","","","","","","","19380703","2","BAL14","NW2","w","regular","y"
"BLG193807090","direj101","BLG","9","2","value","1","1","0","1","0","0","0","","0","","0","0","0","","","","","","","","1","","19380709","0","BAL14","HOM","l","regular","y"
"BLG193807101","direj101","BLG","9","1","value","0","0","0","0","","","","","0","","0","0","0","","","","","","","","","","19380710","1","BAL14","HOM","l","regular","y"
"BLG193807102","direj101","BLG","9","1","value","3","3","1","1","","","","","0","","0","0","0","","","","","","","","","","19380710","2","BAL14","HOM","w","regular","y"
"BLG193807110","direj101","BLG","9","1","value","4","4","0","0","","","","","0","","0","0","0","","","","","","","","","","19380711","0","BAL14","HOM","l","regular","y"
"BLG193807160","direj101","BLG","9","1","value","3","2","0","1","","","","","0","","0","1","","","","","","","","","","","19380716","0","BAL14","WBS","l","regular","y"
