"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"HOM194705031","donol101","NY6","1","value","27","","31","1","0","0","0","0","0","2","","8","0","0","0","0","","1","","","1","","1","19470503","1","PIT06","HOM","W","regular","y"
"HOM194705031","donol101","NY6","1","lower","27","","29","1","0","0","0","0","0","2","","8","0","0","0","0","","","","","","","","19470503","1","PIT06","HOM","W","regular","y"
"HOM194705031","donol101","NY6","1","upper","27","","31","1","0","0","0","0","0","2","","8","0","0","0","0","","","","","","","","19470503","1","PIT06","HOM","W","regular","y"
"NY5194705111","donol101","NY6","1","value","39","0","50","9","1","0","1","3","2","2","0","0","0","0","0","0","0","","","","1","","","19470511","1","NYC16","NY5","L","regular","y"
"NY5194705111","donol101","NY6","1","lower","39","","","9","","0","1","3","2","2","0","0","0","0","0","","0","","","","","","","19470511","1","NYC16","NY5","L","regular","y"
"NY5194705111","donol101","NY6","1","upper","39","","","9","","0","1","3","2","2","0","10","0","0","0","","0","","","","","","","19470511","1","NYC16","NY5","L","regular","y"
"NW2194705200","donol101","NY6","2","value","3","","6","2","","","","3","","2","","","","1","","","","","","","","","","19470520","0","NWK04","NW2","L","regular","y"
"NW2194705200","donol101","NY6","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19470520","0","NWK04","NW2","L","regular","y"
"NW2194705200","donol101","NY6","2","upper","","","","","","","","","","","","","","","","","","","","","","","","19470520","0","NWK04","NW2","L","regular","y"
"NY6194705220","donol101","NY6","1","value","18","","26","8","","0","0","5","","0","","6","0","0","0","","","","","","1","","","19470522","0","HRB01","PH5","W","regular","y"
"NY6194705220","donol101","NY6","1","lower","","","","","","0","0","","","0","","6","0","0","0","","","","","","","","","19470522","0","HRB01","PH5","W","regular","y"
"NY6194705220","donol101","NY6","1","upper","","","","","","0","0","","","0","","6","0","0","0","","","","","","","","","19470522","0","HRB01","PH5","W","regular","y"
"BLG194706012","donol101","NY6","1","value","9","","15","5","","0","0","4","","0","","3","0","0","0","0","","","","","1","","","19470601","2","BAL14","BLG","W","regular","y"
"BLG194706012","donol101","NY6","1","lower","9","","","","","0","0","","","0","","3","0","0","0","","","","","","","","","19470601","2","BAL14","BLG","W","regular","y"
"BLG194706012","donol101","NY6","1","upper","9","","","","","0","0","","","0","","3","0","0","0","","","","","","","","","19470601","2","BAL14","BLG","W","regular","y"
"NW2194706120","donol101","NY6","1","value","9","0","18","5","2","0","1","5","4","4","0","0","0","0","0","0","0","","1","","1","","","19470612","0","NYC15","NW2","L","regular","y"
"NW2194706120","donol101","NY6","1","lower","9","","","4","","0","1","5","4","4","0","0","0","0","0","","0","","","","","","","19470612","0","NYC15","NW2","L","regular","y"
"NW2194706120","donol101","NY6","1","upper","9","","","4","","0","1","5","4","4","0","0","0","0","0","","0","","","","","","","19470612","0","NYC15","NW2","L","regular","y"
"NY6194706161","donol101","NY6","1","value","27","","34","7","0","1","0","1","1","1","","6","0","0","0","0","","1","","","1","","1","19470616","1","PHI11","BLG","W","regular","y"
"NY6194706161","donol101","NY6","1","lower","27","","33","7","0","1","0","1","1","1","","6","0","0","0","0","","","","","","","","19470616","1","PHI11","BLG","W","regular","y"
"NY6194706161","donol101","NY6","1","upper","27","","34","7","0","1","0","1","1","1","","6","0","0","0","0","","","","","","","","19470616","1","PHI11","BLG","W","regular","y"
"BLG194706200","donol101","NY6","2","value","18","","19","1","0","","0","0","","1","","2","0","0","0","2","","1","","","","1","","19470620","0","BAL14","BLG","W","regular","y"
"BLG194706200","donol101","NY6","2","lower","18","","","","0","","0","0","","1","","2","0","0","0","","","","","","","","","19470620","0","BAL14","BLG","W","regular","y"
"BLG194706200","donol101","NY6","2","upper","18","","","","0","","0","0","","1","","2","0","0","0","","","","","","","","","19470620","0","BAL14","BLG","W","regular","y"
"NY6194707132","donol101","NY6","1","value","21","","","4","","","","1","","","","9","","","","","","1","","","1","","1","19470713","2","NYC16","MEM","W","exhibition",""
"NY6194707132","donol101","NY6","1","lower","21","","","4","","","","1","","","","9","","","","","","","","","","","","19470713","2","NYC16","MEM","W","exhibition",""
"NY6194707132","donol101","NY6","1","upper","21","","","4","","","","1","","","","9","","","","","","","","","","","","19470713","2","NYC16","MEM","W","exhibition",""
"HOM194707201","donol101","NY6","1","value","27","","36","4","1","0","0","3","","4","","0","0","0","0","1","","1","","","1","","1","19470720","1","WAS09","HOM","W","regular","y"
"HOM194707201","donol101","NY6","1","lower","27","","36","4","1","0","0","3","","4","","0","0","0","0","1","","","","","","","","19470720","1","WAS09","HOM","W","regular","y"
"HOM194707201","donol101","NY6","1","upper","27","","36","4","1","0","0","3","","4","","0","0","0","0","1","","","","","","","","19470720","1","WAS09","HOM","W","regular","y"
