"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"SLG192010040","drakb101","SLG","1","1","value","17","0","0","0","0","0","","","","","1","19201004","0","STL11","SLN","w","exhibition","y"
"SLG192106290","drakb101","SLG","1","1","value","27","0","5","0","0","0","","","","","1","19210629","0","STL11","CB1","w","regular","y"
"CAG192107101","drakb101","SLG","1","1","value","24","0","5","0","1","0","","","","","1","19210710","1","CHI09","CAG","l","regular","y"
"SLG192110030","drakb101","SLG","1","1","value","33","0","5","0","0","0","","","","","1","19211003","0","STL07","SLN","l","exhibition","y"
"SLG192110091","drakb101","SLG","1","1","value","2","0","1","0","0","0","","","","","0","19211009","1","STL07","SLN","l","exhibition","y"
"SLG192110092","drakb101","SLG","1","1","value","27","0","7","1","0","0","","","","","1","19211009","2","STL07","SLN","l","exhibition","y"
"HIL192410040","drakb101","KCM","1","1","value","5","0","2","0","0","0","","","","","0","19241004","0","PHI09","HIL","l","championship","y"
"KCM192410120","drakb101","KCM","1","1","value","3","0","0","0","0","0","","","","","0","19241012","0","KAN05","HIL","w","championship","y"
"KCM192410140","drakb101","KCM","1","1","value","21","0","4","0","1","0","","","","","0","19241014","0","KAN05","HIL","w","championship","y"
"KCM192410190","drakb101","KCM","1","1","value","12","0","1","0","0","0","","","","","0","19241019","0","CHI09","HIL","l","championship","y"
"KCM192508110","drakb101","KCM","1","1","value","19","0","0","0","0","0","","","","","","19250811","0","KAN05","SSN","l","regular","y"
"SSN192509200","drakb101","KCM","1","1","value","9","0","1","1","0","0","","","","","0","19250920","0","STL12","SSN","l","lcs","y"
"KCM192509270","drakb101","KCM","1","1","value","27","0","2","0","0","0","","","","","1","19250927","0","CHI09","SSN","l","lcs","y"
"KCM192510010","drakb101","KCM","1","1","value","6","0","1","0","0","0","","","","","0","19251001","0","KAN05","HIL","l","championship","y"
"KCM192510040","drakb101","KCM","1","1","value","27","0","3","0","0","0","","","","","1","19251004","0","KAN05","HIL","l","championship","y"
