"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PTC193407041","dulal101","HOM","9","1","value","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19340704","1","PIT09","PTC","L","exhibition","y"
"PTC193407041","dulal101","HOM","9","1","lower","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19340704","1","PIT09","PTC","L","exhibition","y"
"PTC193407041","dulal101","HOM","9","1","upper","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19340704","1","PIT09","PTC","L","exhibition","y"
"NNL193709240","dulal101","NNL","9","1","value","3","0","0","0","0","0","","0","","0","","","","0","","","","","","","19370924","0","PIT06","NAL","W","allstar","y"
"NNL193709240","dulal101","NNL","9","1","lower","","0","0","","","","","","","","","","","","","","","","","","19370924","0","PIT06","NAL","W","allstar","y"
"NNL193709240","dulal101","NNL","9","1","upper","","0","0","","","","","","","","","","","","","","","","","","19370924","0","PIT06","NAL","W","allstar","y"
"NNL193709261","dulal101","NNL","9","2","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19370926","1","BAL09","NAL","L","allstar","y"
"NNL193709261","dulal101","NNL","9","2","lower","1","0","0","0","0","0","","0","","0","","","","0","","","","","","","19370926","1","BAL09","NAL","L","allstar","y"
"NNL193709261","dulal101","NNL","9","2","upper","1","0","0","0","0","0","","0","","0","","","","0","","","","","","","19370926","1","BAL09","NAL","L","allstar","y"
"NAL193709270","dulal101","NNL","","","value","","","","","","","","","","","","","","","","","","","","","19370927","0","NYC23","NAL","W","allstar",""
"NAL193709270","dulal101","NNL","","","lower","","","","","","","","","","","","","","","","","","","","","19370927","0","NYC23","NAL","W","allstar",""
"NAL193709270","dulal101","NNL","","","upper","","","","","","","","","","","","","","","","","","","","","19370927","0","NYC23","NAL","W","allstar",""
