"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"CAG193708011","dunna102","DT2","1","7","value","","","","0","0","0","0","19370801","1","CHI09","CAG","L","regular","y"
"CAG193708011","dunna102","DT2","1","7","lower","","","","0","0","0","0","19370801","1","CHI09","CAG","L","regular","y"
"CAG193708011","dunna102","DT2","1","7","upper","","","","0","0","0","0","19370801","1","CHI09","CAG","L","regular","y"
"SAS193708220","dunna102","NAS","1","5","value","27","0","1","0","0","0","0","19370822","0","BIR01","SAS","W","allstar","y"
"SAS193708220","dunna102","NAS","1","5","lower","27","0","1","0","0","0","0","19370822","0","BIR01","SAS","W","allstar","y"
"SAS193708220","dunna102","NAS","1","5","upper","27","0","1","0","0","0","0","19370822","0","BIR01","SAS","W","allstar","y"
"BLG194204190","dunna102","NY6","1","8","value","27","1","0","0","","0","0","19420419","0","ATL04","BLG","W","exhibition","y"
"BLG194204190","dunna102","NY6","1","8","lower","27","1","0","0","","0","0","19420419","0","ATL04","BLG","W","exhibition","y"
"BLG194204190","dunna102","NY6","1","8","upper","27","1","0","0","","0","0","19420419","0","ATL04","BLG","W","exhibition","y"
"NW2194205101","dunna102","NY6","1","8","value","24","","","1","0","0","0","19420510","1","NWK04","NW2","L","regular","y"
"NW2194205101","dunna102","NY6","1","8","lower","24","","","1","0","0","0","19420510","1","NWK04","NW2","L","regular","y"
"NW2194205101","dunna102","NY6","1","8","upper","24","","","1","0","0","0","19420510","1","NWK04","NW2","L","regular","y"
"NW2194205102","dunna102","NY6","1","8","value","21","","","0","0","0","0","19420510","2","NWK04","NW2","W","regular","y"
"NW2194205102","dunna102","NY6","1","8","lower","21","","","0","0","0","0","19420510","2","NWK04","NW2","W","regular","y"
"NW2194205102","dunna102","NY6","1","8","upper","21","","","0","0","0","0","19420510","2","NWK04","NW2","W","regular","y"
"PH5194205140","dunna102","NY6","1","8","value","21","3","0","0","0","0","0","19420514","0","CAM02","PH5","L","exhibition","y"
"PH5194205140","dunna102","NY6","1","8","lower","21","3","0","0","0","0","0","19420514","0","CAM02","PH5","L","exhibition","y"
"PH5194205140","dunna102","NY6","1","8","upper","21","3","0","0","0","0","0","19420514","0","CAM02","PH5","L","exhibition","y"
"NY5194205160","dunna102","NY6","1","7","value","27","2","0","0","0","0","0","19420516","0","PAT01","NY5","W","regular","y"
"NY5194205160","dunna102","NY6","1","7","lower","27","2","0","0","0","0","0","19420516","0","PAT01","NY5","W","regular","y"
"NY5194205160","dunna102","NY6","1","7","upper","27","2","0","0","0","0","0","19420516","0","PAT01","NY5","W","regular","y"
"NY5194205171","dunna102","NY6","1","7","value","24","2","0","0","0","0","0","19420517","1","NYC16","NY5","L","regular","y"
"NY5194205171","dunna102","NY6","1","7","lower","24","2","0","0","0","0","0","19420517","1","NYC16","NY5","L","regular","y"
"NY5194205171","dunna102","NY6","1","7","upper","24","2","0","0","0","0","0","19420517","1","NYC16","NY5","L","regular","y"
"NY5194205172","dunna102","NY6","1","7","value","27","1","0","0","0","0","0","19420517","2","NYC16","NY5","W","regular","y"
"NY5194205172","dunna102","NY6","1","7","lower","27","1","0","0","0","0","0","19420517","2","NYC16","NY5","W","regular","y"
"NY5194205172","dunna102","NY6","1","7","upper","27","1","0","0","0","0","0","19420517","2","NYC16","NY5","W","regular","y"
