"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM193310020","dwige101","KCM","8","1","value","4","3","1","0","0","0","0","","0","","0","1","","1","1","","","","","","","","19331002","0","KAN05","ASD","w","exhibition","y"
"ASD193310060","dwige101","KCM","8","1","value","4","2","1","1","0","0","0","","0","","0","2","","","1","","","","","","","","19331006","0","OMA02","ASD","w","exhibition","y"
"KCM193310080","dwige101","KCM","8","1","value","4","4","1","1","0","0","0","","0","","0","0","","0","1","","","","","","","","19331008","0","KAN05","ASD","w","exhibition","y"
"ASD193310100","dwige101","KCM","8","1","value","4","4","0","1","0","0","0","1","0","","0","0","","","0","","","","","","","","19331010","0","JOP01","ASD","l","exhibition","y"
"ASD193310110","dwige101","KCM","8","1","value","4","3","0","0","0","0","0","0","1","","0","0","","","0","","","","","","","","19331011","0","OKC01","ASD","w","exhibition","y"
"KCM193310150","dwige101","KCM","8","1","value","3","3","1","1","0","0","0","","0","","0","0","","0","0","","","","","","","","19331015","0","KAN05","ASD","w","exhibition","y"
"ASD193410120","dwige101","KCM","2","1","value","5","4","1","1","0","0","0","0","1","","0","0","","","0","","","","","","","","19341012","0","KAN05","ASD","w","exhibition","y"
"CHM193410140","dwige101","KCM","2","1","value","5","5","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19341014","0","CHI15","CHM","l","exhibition","y"
"ASD193510060","dwige101","KCM","2","1","value","4","4","0","2","0","0","0","0","0","0","0","0","0","","1","0","0","0","0","","","","19351006","0","KAN05","ASD","l","exhibition","y"
"KCM193510130","dwige101","KCM","2","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","1","0","0","","","","19351013","0","KAN05","MLS","w","exhibition","y"
"ASW193608230","dwige101","ASW","1","1","value","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19360823","0","CHI10","ASE","l","allstar","y"
"KCM193705161","dwige101","KCM","2","1","value","4","2","2","1","0","0","0","","0","","0","2","","","1","","","0","","","","","19370516","1","KAN05","CAG","w","regular","y"
"KCM193708290","dwige101","KCM","9","2","value","0","0","0","0","0","0","0","","0","","0","","","","0","","","0","","","","1","19370829","0","KAN05","SDO","l","exhibition","y"
"CAG193709120","dwige101","KCM","1","1","value","5","5","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19370912","0","CHI09","CAG","t","lcs","y"
"KCM193709170","dwige101","KCM","1","1","value","3","3","1","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19370917","0","KAN05","CAG","w","lcs","y"
"MLS193710070","dwige101","KCM","7","1","value","4","3","0","1","0","0","0","0","1","","0","0","","","0","","","","","","","","19371007","0","CED01","MLS","l","exhibition","y"
"MLS193710090","dwige101","KCM","8","1","value","4","4","0","2","0","0","0","","0","","0","0","","","0","","","","","","","","19371009","0","MAN01","MLS","l","exhibition","y"
"KCM193710102","dwige101","KCM","7","1","value","4","1","1","0","0","0","0","0","0","0","0","3","0","","0","0","0","0","0","","","","19371010","2","WIC01","MLS","w","exhibition","y"
"MLS193710110","dwige101","KCM","6","1","value","5","5","2","4","0","0","0","1","0","","0","0","","","0","","","","","","","","19371011","0","OKC01","MLS","w","exhibition","y"
