"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"MEM193809180","evanf101","ATN","1","value","24","","30","8","1","0","2","6","","3","","2","0","0","0","0","","","1","","1","","1","19380918","0","MEM02","MEM","L","lcs","y"
"MEM193809180","evanf101","ATN","1","lower","24","","30","8","1","0","2","6","","3","","2","0","0","0","0","","","","","","","","19380918","0","MEM02","MEM","L","lcs","y"
"MEM193809180","evanf101","ATN","1","upper","24","","30","8","1","0","2","6","","3","","2","0","0","0","0","","","","","","","","19380918","0","MEM02","MEM","L","lcs","y"
"ATN193904190","evanf101","ATN","1","value","21","0","30","4","0","0","0","1","0","3","0","5","0","0","0","0","0","1","","","1","","1","19390419","0","GRI01","CAG","W","exhibition","y"
"ATN193904190","evanf101","ATN","1","lower","21","","28","4","0","0","0","1","","3","","5","0","0","0","0","","","","","","","","19390419","0","GRI01","CAG","W","exhibition","y"
"ATN193904190","evanf101","ATN","1","upper","21","","30","4","0","0","0","1","","3","","7","0","0","0","0","","","","","","","","19390419","0","GRI01","CAG","W","exhibition","y"
"PH5194009071","evanf101","MEM","1","value","16","","24","7","","","0","7","","","","","0","0","0","","","","1","","1","","","19400907","1","PHI17","PH5","L","exhibition","y"
"PH5194009071","evanf101","MEM","1","lower","15","","","","","","0","","","","","","0","0","0","","","","","","","","","19400907","1","PHI17","PH5","L","exhibition","y"
"PH5194009071","evanf101","MEM","1","upper","15","","","","","","0","","","","","","0","0","0","","","","","","","","","19400907","1","PHI17","PH5","L","exhibition","y"
"BIR194106082","evanf101","MEM","1","value","21","","27","4","0","0","0","0","0","2","","","0","0","0","0","","1","","","1","","1","19410608","2","BIR01","BIR","W","regular","y"
"BIR194106082","evanf101","MEM","1","lower","21","","25","4","0","0","0","0","0","","","","0","0","0","0","","","","","","","","19410608","2","BIR01","BIR","W","regular","y"
