"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NYL191208240","gansj101","NYL","3","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19120824","0","NYC14","CUW","l","exhibition","y"
"NYL191307201","gansj101","NYL","2","1","value","5","5","0","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19130720","1","NYC22","CAG","w","championship","y"
"NYL191307202","gansj101","NYL","2","1","value","5","4","1","1","0","0","0","","0","","1","0","","","1","","","","","","","","19130720","2","NYC22","CAG","l","championship","y"
"CAG191307270","gansj101","NYL","2","1","value","5","5","2","1","1","0","0","1","0","0","0","0","0","","1","0","0","0","0","","","","19130727","0","CHI09","CAG","w","championship","y"
"CAG191307280","gansj101","NYL","2","1","value","4","3","0","1","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","","","","19130728","0","CHI09","CAG","w","championship","y"
"CAG191307290","gansj101","NYL","2","1","value","5","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19130729","0","CHI09","CAG","l","championship","y"
"CAG191307300","gansj101","NYL","2","1","value","5","4","1","1","0","0","0","1","0","0","0","1","0","","0","0","0","0","1","","","","19130730","0","CHI09","CAG","l","championship","y"
"CUW191308021","gansj101","NYL","8","2","value","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","","19130802","1","CHI09","CUW","w","exhibition","y"
"CAG191308122","gansj101","NYL","3","2","value","3","2","0","0","0","0","0","0","0","","0","1","","","0","","","","","","","","19130812","2","CHI09","CAG","l","championship","y"
"CAG191308130","gansj101","NYL","3","1","value","4","4","1","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19130813","0","CHI09","CAG","w","championship","y"
"KCM192008010","gansj101","CAG","6","1","value","5","5","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19200801","0","KAN02","KCM","l","regular","y"
