"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"NYL191208240","gansj101","NYL","1","7","value","27","3","1","0","0","0","0","19120824","0","NYC14","CUW","L","exhibition","y"
"NYL191208240","gansj101","NYL","1","7","lower","27","3","1","0","0","0","0","19120824","0","NYC14","CUW","L","exhibition","y"
"NYL191208240","gansj101","NYL","1","7","upper","27","3","1","0","0","0","0","19120824","0","NYC14","CUW","L","exhibition","y"
"NYL191307201","gansj101","NYL","1","7","value","27","2","0","0","0","0","0","19130720","1","NYC22","CAG","W","championship","y"
"NYL191307201","gansj101","NYL","1","7","lower","27","2","0","0","0","0","0","19130720","1","NYC22","CAG","W","championship","y"
"NYL191307201","gansj101","NYL","1","7","upper","27","2","0","0","0","0","0","19130720","1","NYC22","CAG","W","championship","y"
"NYL191307202","gansj101","NYL","1","7","value","27","1","0","0","0","0","0","19130720","2","NYC22","CAG","L","championship","y"
"NYL191307202","gansj101","NYL","1","7","lower","27","1","0","0","0","0","0","19130720","2","NYC22","CAG","L","championship","y"
"NYL191307202","gansj101","NYL","1","7","upper","27","1","0","0","0","0","0","19130720","2","NYC22","CAG","L","championship","y"
"CAG191307270","gansj101","NYL","1","7","value","27","3","0","0","0","0","0","19130727","0","CHI09","CAG","W","championship","y"
"CAG191307270","gansj101","NYL","1","7","lower","27","3","0","0","0","0","0","19130727","0","CHI09","CAG","W","championship","y"
"CAG191307270","gansj101","NYL","1","7","upper","27","3","0","0","0","0","0","19130727","0","CHI09","CAG","W","championship","y"
"CAG191307280","gansj101","NYL","1","7","value","27","1","1","0","0","0","0","19130728","0","CHI09","CAG","W","championship","y"
"CAG191307280","gansj101","NYL","1","7","lower","27","1","1","0","0","0","0","19130728","0","CHI09","CAG","W","championship","y"
"CAG191307280","gansj101","NYL","1","7","upper","27","1","1","0","0","0","0","19130728","0","CHI09","CAG","W","championship","y"
"CAG191307290","gansj101","NYL","1","7","value","25","2","0","1","0","0","0","19130729","0","CHI09","CAG","L","championship","y"
"CAG191307290","gansj101","NYL","1","7","lower","25","2","0","1","0","0","0","19130729","0","CHI09","CAG","L","championship","y"
"CAG191307290","gansj101","NYL","1","7","upper","25","2","0","1","0","0","0","19130729","0","CHI09","CAG","L","championship","y"
"CAG191307300","gansj101","NYL","1","7","value","24","4","0","0","0","0","0","19130730","0","CHI09","CAG","L","championship","y"
"CAG191307300","gansj101","NYL","1","7","lower","24","4","0","0","0","0","0","19130730","0","CHI09","CAG","L","championship","y"
"CAG191307300","gansj101","NYL","1","7","upper","24","4","0","0","0","0","0","19130730","0","CHI09","CAG","L","championship","y"
"CUW191308021","gansj101","NYL","1","8","value","6","1","1","0","1","0","0","19130802","1","CHI09","CUW","W","exhibition","y"
"CUW191308021","gansj101","NYL","1","8","lower","6","0","0","0","1","0","0","19130802","1","CHI09","CUW","W","exhibition","y"
"CUW191308021","gansj101","NYL","1","8","upper","6","1","1","0","1","0","0","19130802","1","CHI09","CUW","W","exhibition","y"
"CAG191308122","gansj101","NYL","1","9","value","23","1","0","0","0","0","0","19130812","2","CHI09","CAG","L","championship","y"
"CAG191308122","gansj101","NYL","1","9","lower","","1","0","0","0","0","0","19130812","2","CHI09","CAG","L","championship","y"
"CAG191308122","gansj101","NYL","1","9","upper","","1","0","0","0","0","0","19130812","2","CHI09","CAG","L","championship","y"
"CAG191308130","gansj101","NYL","1","1","value","27","1","2","0","0","0","0","19130813","0","CHI09","CAG","W","championship","y"
"CAG191308130","gansj101","NYL","1","1","lower","27","1","2","0","0","0","0","19130813","0","CHI09","CAG","W","championship","y"
"CAG191308130","gansj101","NYL","1","1","upper","27","1","2","0","0","0","0","19130813","0","CHI09","CAG","W","championship","y"
"KCM192008010","gansj101","CAG","1","7","value","34","0","0","0","0","0","0","19200801","0","KAN02","KCM","L","regular","y"
"KCM192008010","gansj101","CAG","1","7","lower","34","0","0","0","0","0","0","19200801","0","KAN02","KCM","L","regular","y"
"KCM192008010","gansj101","CAG","1","7","upper","34","0","0","0","0","0","0","19200801","0","KAN02","KCM","L","regular","y"
