"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"KCM192008010","gardj102","CAG","1","9","value","34","0","0","0","0","0","","","","","1","19200801","0","KAN02","KCM","l","regular","y"
"CAG192105070","gardj102","CAG","1","9","value","27","","","0","0","0","","","","","","19210507","0","CHI09","KCM","w","regular","y"
"CAG192105080","gardj102","CAG","1","9","value","27","","","0","0","0","","","","","","19210508","0","CHI09","KCM","l","regular","y"
"CAG192105090","gardj102","CAG","1","9","value","27","","","0","0","0","","","","","","19210509","0","CHI09","KCM","w","regular","y"
"CAG192106130","gardj102","CAG","1","9","value","12","0","1","0","0","0","","","","","1","19210613","0","CHI09","IN4","w","regular","y"
"CAG192106130","gardj102","CAG","2","7","value","18","2","0","0","0","0","","","","","0","19210613","0","CHI09","IN4","w","regular","y"
"CAG192106190","gardj102","CAG","1","9","value","27","1","0","0","0","0","","","","","1","19210619","0","CHI09","CG1","w","regular","y"
"CAG192106200","gardj102","CAG","1","9","value","30","","","0","0","0","","","","","","19210620","0","CHI09","CG1","w","regular","y"
"CAG192107102","gardj102","CAG","1","9","value","21","0","0","0","0","0","","","","","1","19210710","2","CHI09","SLG","w","regular","y"
"STA192107160","gardj102","CAG","1","9","value","27","1","0","0","0","0","","","","","","19210716","0","DCT01","STA","w","exhibition","y"
"HIL192110040","gardj102","CAG","1","9","value","27","0","0","0","0","0","","","","","","19211004","0","PHI09","HIL","w","championship","y"
"HIL192110050","gardj102","CAG","1","9","value","24","1","0","1","0","0","","","","","","19211005","0","PHI09","HIL","l","championship","y"
"CAG192110100","gardj102","CAG","1","9","value","27","3","0","0","0","0","","","","","","19211010","0","WIL03","HIL","w","championship","y"
"HIL192110120","gardj102","CAG","1","9","value","","0","0","0","0","0","","","","","","19211012","0","CAM01","HIL","t","championship","y"
"HIL192110120","gardj102","CAG","2","6","value","","0","0","0","0","0","","","","","","19211012","0","CAM01","HIL","t","championship","y"
"HIL192110150","gardj102","CAG","1","9","value","24","4","0","1","0","0","","","","","","19211015","0","DAR01","HIL","l","championship","y"
"CAG192208160","gardj102","CAG","1","9","value","60","4","1","0","1","0","","","","","1","19220816","0","CHI09","ACY","w","exhibition","y"
"CAG192208190","gardj102","CAG","1","9","value","27","2","0","0","0","0","","","","","","19220819","0","CHI09","HIL","l","exhibition","y"
"CAG192405180","gardj102","CAG","1","8","value","27","1","0","0","0","0","","","","","1","19240518","0","CHI09","CUW","w","regular","y"
"DT1192408180","gardj102","CAG","1","8","value","27","","","0","0","0","","","","","","19240818","0","DET07","DT1","w","regular","y"
"CAG192607132","gardj102","CAG","1","9","value","27","","","0","0","0","","","","","","19260713","2","CHI09","DAY","w","regular","y"
"KCM192609180","gardj102","CAG","1","9","value","24","1","0","0","0","0","","","","","1","19260918","0","KAN05","KCM","l","lcs","y"
