"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BIR194404161","garrg103","NY6","1","6","value","27","","","0","0","0","0","19440416","1","BIR01","BIR","W","exhibition","y"
"BIR194404161","garrg103","NY6","1","6","lower","27","","","0","0","0","0","19440416","1","BIR01","BIR","W","exhibition","y"
"BIR194404161","garrg103","NY6","1","6","upper","27","","","0","0","0","0","19440416","1","BIR01","BIR","W","exhibition","y"
"BIR194404162","garrg103","NY6","1","6","value","21","","","0","0","0","0","19440416","2","BIR01","BIR","W","exhibition","y"
"BIR194404162","garrg103","NY6","1","6","lower","21","","","0","0","0","0","19440416","2","BIR01","BIR","W","exhibition","y"
"BIR194404162","garrg103","NY6","1","6","upper","21","","","0","0","0","0","19440416","2","BIR01","BIR","W","exhibition","y"
"BIR194404170","garrg103","NY6","1","6","value","27","0","6","0","0","0","0","19440417","0","MTG01","BIR","W","exhibition","y"
"BIR194404170","garrg103","NY6","1","6","lower","27","0","6","0","0","0","0","19440417","0","MTG01","BIR","W","exhibition","y"
"BIR194404170","garrg103","NY6","1","6","upper","27","0","6","0","0","0","0","19440417","0","MTG01","BIR","W","exhibition","y"
"NY5194405211","garrg103","NY6","1","4","value","9","0","0","0","0","0","0","19440521","1","NYC14","NY5","W","regular","y"
"NY5194405211","garrg103","NY6","1","4","lower","9","0","0","0","0","0","0","19440521","1","NYC14","NY5","W","regular","y"
"NY5194405211","garrg103","NY6","1","4","upper","12","0","0","0","0","0","0","19440521","1","NYC14","NY5","W","regular","y"
"BLG194405270","garrg103","NY6","1","6","value","29","3","4","1","1","0","0","19440527","0","HRB01","BLG","L","regular","y"
"BLG194405270","garrg103","NY6","1","6","lower","29","3","4","1","1","0","0","19440527","0","HRB01","BLG","L","regular","y"
"BLG194405270","garrg103","NY6","1","6","upper","29","3","4","1","1","0","0","19440527","0","HRB01","BLG","L","regular","y"
"NY6194405281","garrg103","NY6","1","4","value","24","2","1","1","0","0","0","19440528","1","NYC16","PH5","L","regular","y"
"NY6194405281","garrg103","NY6","1","4","lower","24","2","1","1","0","0","0","19440528","1","NYC16","PH5","L","regular","y"
"NY6194405281","garrg103","NY6","1","4","upper","24","2","1","1","0","0","0","19440528","1","NYC16","PH5","L","regular","y"
"NY6194406251","garrg103","NY6","1","4","value","","0","0","0","0","0","0","19440625","1","NYC16","BLG","L","regular","y"
"NY6194406251","garrg103","NY6","1","4","lower","","0","0","0","0","0","0","19440625","1","NYC16","BLG","L","regular","y"
"NY6194406251","garrg103","NY6","1","4","upper","","0","0","0","0","0","0","19440625","1","NYC16","BLG","L","regular","y"
"NY6194406252","garrg103","NY6","1","4","value","21","4","3","1","2","0","0","19440625","2","NYC16","BLG","W","regular","y"
"NY6194406252","garrg103","NY6","1","4","lower","21","4","3","1","2","0","0","19440625","2","NYC16","BLG","W","regular","y"
"NY6194406252","garrg103","NY6","1","4","upper","21","4","3","1","2","0","0","19440625","2","NYC16","BLG","W","regular","y"
"PH5194407010","garrg103","NY6","1","4","value","24","3","3","1","","0","0","19440701","0","PHI17","PH5","L","regular","y"
"PH5194407010","garrg103","NY6","1","4","lower","24","3","3","1","","0","0","19440701","0","PHI17","PH5","L","regular","y"
"PH5194407010","garrg103","NY6","1","4","upper","24","3","3","1","","0","0","19440701","0","PHI17","PH5","L","regular","y"
"NY6194407022","garrg103","NY6","1","4","value","24","1","2","1","0","0","0","19440702","2","NYC15","KCM","W","exhibition","y"
"NY6194407022","garrg103","NY6","1","4","lower","24","1","2","1","0","0","0","19440702","2","NYC15","KCM","W","exhibition","y"
"NY6194407022","garrg103","NY6","1","4","upper","24","1","2","1","0","0","0","19440702","2","NYC15","KCM","W","exhibition","y"
"NW2194407041","garrg103","NY6","1","4","value","3","0","0","0","0","0","0","19440704","1","NYC15","NW2","W","regular","y"
"NW2194407041","garrg103","NY6","1","4","lower","3","0","0","0","0","0","0","19440704","1","NYC15","NW2","W","regular","y"
"NW2194407041","garrg103","NY6","1","4","upper","3","0","0","0","0","0","0","19440704","1","NYC15","NW2","W","regular","y"
"NW2194407042","garrg103","NY6","1","4","value","24","4","2","0","0","0","0","19440704","2","NYC15","NW2","L","regular","y"
"NW2194407042","garrg103","NY6","1","4","lower","24","4","2","0","0","0","0","19440704","2","NYC15","NW2","L","regular","y"
"NW2194407042","garrg103","NY6","1","4","upper","24","4","2","0","0","0","0","19440704","2","NYC15","NW2","L","regular","y"
"NY6194407160","garrg103","NY6","1","4","value","0","0","0","0","0","0","0","19440716","0","NYC14","HOM","T","regular","y"
"NY6194407160","garrg103","NY6","1","4","lower","0","0","0","0","0","0","0","19440716","0","NYC14","HOM","T","regular","y"
"NY6194407160","garrg103","NY6","1","4","upper","0","0","0","0","0","0","0","19440716","0","NYC14","HOM","T","regular","y"
"NY6194407280","garrg103","NY6","1","4","value","27","2","6","0","1","0","0","19440728","0","HRB01","NY5","W","regular","y"
"NY6194407280","garrg103","NY6","1","4","lower","27","2","6","0","1","0","0","19440728","0","HRB01","NY5","W","regular","y"
"NY6194407280","garrg103","NY6","1","4","upper","27","2","6","0","1","0","0","19440728","0","HRB01","NY5","W","regular","y"
"HOM194408071","garrg103","NY6","1","4","value","27","3","3","0","0","0","0","19440807","1","PHI11","HOM","W","regular","y"
"HOM194408071","garrg103","NY6","1","4","lower","27","1","2","0","0","0","0","19440807","1","PHI11","HOM","W","regular","y"
"HOM194408071","garrg103","NY6","1","4","upper","27","3","3","0","0","0","0","19440807","1","PHI11","HOM","W","regular","y"
"BLG194408180","garrg103","NY6","1","4","value","24","","","0","1","0","0","19440818","0","BAL14","BLG","L","regular","y"
"BLG194408180","garrg103","NY6","1","4","lower","24","","","0","1","0","0","19440818","0","BAL14","BLG","L","regular","y"
"BLG194408180","garrg103","NY6","1","4","upper","24","","","0","1","0","0","19440818","0","BAL14","BLG","L","regular","y"
"NY6194408190","garrg103","NY6","1","4","value","27","3","5","0","0","0","0","19440819","0","HRB01","BLG","W","regular","y"
"NY6194408190","garrg103","NY6","1","4","lower","27","3","5","0","0","0","0","19440819","0","HRB01","BLG","W","regular","y"
"NY6194408190","garrg103","NY6","1","4","upper","27","3","5","0","0","0","0","19440819","0","HRB01","BLG","W","regular","y"
"BLG194408201","garrg103","NY6","1","4","value","24","","","1","2","0","0","19440820","1","BAL14","BLG","L","regular","y"
"BLG194408201","garrg103","NY6","1","4","lower","24","","","1","2","0","0","19440820","1","BAL14","BLG","L","regular","y"
"BLG194408201","garrg103","NY6","1","4","upper","24","","","1","2","0","0","19440820","1","BAL14","BLG","L","regular","y"
"BLG194408202","garrg103","NY6","1","4","value","21","","","0","0","0","0","19440820","2","BAL14","BLG","W","regular","y"
"BLG194408202","garrg103","NY6","1","4","lower","21","","","0","0","0","0","19440820","2","BAL14","BLG","W","regular","y"
"BLG194408202","garrg103","NY6","1","4","upper","21","","","0","0","0","0","19440820","2","BAL14","BLG","W","regular","y"
"NY6194408271","garrg103","NY6","1","4","value","27","2","2","0","0","0","0","19440827","1","NYC16","BIR","W","exhibition","y"
"NY6194408271","garrg103","NY6","1","4","lower","27","2","2","0","0","0","0","19440827","1","NYC16","BIR","W","exhibition","y"
"NY6194408271","garrg103","NY6","1","4","upper","27","2","2","0","0","0","0","19440827","1","NYC16","BIR","W","exhibition","y"
"NY6194408272","garrg103","NY6","1","4","value","27","3","4","1","0","0","0","19440827","2","NYC16","KCM","L","exhibition","y"
"NY6194408272","garrg103","NY6","1","4","lower","27","3","4","1","0","0","0","19440827","2","NYC16","KCM","L","exhibition","y"
"NY6194408272","garrg103","NY6","1","4","upper","27","3","4","1","0","0","0","19440827","2","NYC16","KCM","L","exhibition","y"
"PH5194505120","garrg103","NY6","1","4","value","27","3","5","1","","0","0","19450512","0","PHI17","PH5","W","regular","y"
"PH5194505120","garrg103","NY6","1","4","lower","27","3","5","1","","0","0","19450512","0","PHI17","PH5","W","regular","y"
"PH5194505120","garrg103","NY6","1","4","upper","27","3","5","1","","0","0","19450512","0","PHI17","PH5","W","regular","y"
"NY6194505130","garrg103","NY6","1","4","value","27","1","","0","0","0","0","19450513","0","NYC16","PH5","L","regular","y"
