"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"HOM194806271","gee-s101","NY6","8","1","value","3","1","0","0","0","0","","1","","0","0","","","0","","","","","","","19480627","1","WAS09","HOM","W","regular","y"
"HOM194806271","gee-s101","NY6","8","1","lower","3","1","0","0","0","0","","1","","0","","","","0","","","","","","","19480627","1","WAS09","HOM","W","regular","y"
"HOM194806271","gee-s101","NY6","8","1","upper","3","1","0","0","0","0","","1","","0","","","","0","","","","","","","19480627","1","WAS09","HOM","W","regular","y"
"HOM194806272","gee-s101","NY6","8","1","value","3","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19480627","2","WAS09","HOM","L","regular","y"
"HOM194806272","gee-s101","NY6","8","1","lower","3","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480627","2","WAS09","HOM","L","regular","y"
"HOM194806272","gee-s101","NY6","8","1","upper","3","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480627","2","WAS09","HOM","L","regular","y"
"NY6194807040","gee-s101","NY6","2","1","value","5","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480704","0","NYC14","NY5","L","regular","y"
"NY6194807040","gee-s101","NY6","2","1","lower","5","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480704","0","NYC14","NY5","L","regular","y"
"NY6194807040","gee-s101","NY6","2","1","upper","5","0","0","0","0","0","","0","","0","","","","0","","","","","","","19480704","0","NYC14","NY5","L","regular","y"
"NY6194807051","gee-s101","NY6","1","1","value","3","1","0","0","0","0","","0","","0","1","","","0","","","","","","","19480705","1","NYC16","NW2","W","regular","y"
"NY6194807051","gee-s101","NY6","1","1","lower","3","1","0","","","","","","","","1","","","0","","","","","","","19480705","1","NYC16","NW2","W","regular","y"
"NY6194807051","gee-s101","NY6","1","1","upper","3","1","0","","","","","","","","1","","","1","","","","","","","19480705","1","NYC16","NW2","W","regular","y"
"NY5194807090","gee-s101","NY6","8","1","value","4","0","0","0","0","0","","1","","0","0","","","0","","","","","","","19480709","0","ROC04","NY5","W","regular","y"
"NY5194807090","gee-s101","NY6","8","1","lower","4","0","0","","","","","1","","","","","","","","","","","","","19480709","0","ROC04","NY5","W","regular","y"
"NY5194807090","gee-s101","NY6","8","1","upper","4","0","0","","","","","1","","","","","","","","","","","","","19480709","0","ROC04","NY5","W","regular","y"
"NY5194807100","gee-s101","NY6","8","1","value","3","2","1","1","0","0","1","1","","0","1","","","0","","","0","","","","19480710","0","ALB02","NY5","W","regular","y"
"NY5194807100","gee-s101","NY6","8","1","lower","3","2","1","1","0","0","1","1","","0","1","","","0","","","0","","","","19480710","0","ALB02","NY5","W","regular","y"
"NY5194807100","gee-s101","NY6","8","1","upper","3","2","1","1","0","0","1","1","","0","1","","","0","","","0","","","","19480710","0","ALB02","NY5","W","regular","y"
"NY6194807110","gee-s101","NY6","8","1","value","2","1","1","0","0","0","","1","","0","0","","","0","","","","","","","19480711","0","NYC16","PH5","L","regular","y"
"NY6194807110","gee-s101","NY6","8","1","lower","2","1","1","","","","","1","","","","","","","","","","","","","19480711","0","NYC16","PH5","L","regular","y"
"NY6194807110","gee-s101","NY6","8","1","upper","2","1","1","","","","","1","","","","","","","","","","","","","19480711","0","NYC16","PH5","L","regular","y"
"BLG194807160","gee-s101","NY6","8","1","value","4","0","1","0","0","0","","0","","0","1","","","0","","","","","","","19480716","0","BAL14","BLG","L","regular","y"
"BLG194807160","gee-s101","NY6","8","1","lower","4","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480716","0","BAL14","BLG","L","regular","y"
"BLG194807160","gee-s101","NY6","8","1","upper","4","0","1","0","0","0","","0","","0","","","","0","","","","","","","19480716","0","BAL14","BLG","L","regular","y"
"NY6194807250","gee-s101","NY6","8","2","value","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480725","0","NYC14","NY5","L","regular","y"
"NY6194807250","gee-s101","NY6","8","2","lower","0","0","0","","","","","","","","","","","","","","","","","","19480725","0","NYC14","NY5","L","regular","y"
"NY6194807250","gee-s101","NY6","8","2","upper","0","0","0","","","","","","","","","","","","","","","","","","19480725","0","NYC14","NY5","L","regular","y"
"BIR194808150","gee-s101","NY6","8","3","value","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480815","0","BIR01","BIR","L","exhibition","y"
"BIR194808150","gee-s101","NY6","8","3","lower","0","0","0","","","","","","","","","","","","","","","","","","19480815","0","BIR01","BIR","L","exhibition","y"
"BIR194808150","gee-s101","NY6","8","3","upper","0","0","0","","","","","","","","","","","","","","","","","","19480815","0","BIR01","BIR","L","exhibition","y"
"BLG194808300","gee-s101","NY6","1","1","value","3","1","2","0","0","0","","0","","0","2","","","0","","","","","","","19480830","0","CHE01","BLG","W","regular","y"
"BLG194808300","gee-s101","NY6","1","1","lower","3","1","2","","","","","","","","","","","","","","","","","","19480830","0","CHE01","BLG","W","regular","y"
"BLG194808300","gee-s101","NY6","1","1","upper","3","1","2","","","","","","","","","","","","","","","","","","19480830","0","CHE01","BLG","W","regular","y"
"BLG194808310","gee-s101","NY6","1","1","value","3","0","0","0","0","0","","1","","0","0","","","0","","","","","","","19480831","0","BAL14","BLG","L","regular","y"
"BLG194808310","gee-s101","NY6","1","1","lower","3","0","0","0","0","0","","1","","0","","","","0","","","","","","","19480831","0","BAL14","BLG","L","regular","y"
"BLG194808310","gee-s101","NY6","1","1","upper","3","0","0","0","0","0","","1","","0","","","","0","","","","","","","19480831","0","BAL14","BLG","L","regular","y"
"NW2194809030","gee-s101","NY6","1","1","value","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19480903","0","NWK04","NW2","L","regular","y"
"NW2194809030","gee-s101","NY6","1","1","lower","4","0","1","","","","","","","","0","","","","","","","","","","19480903","0","NWK04","NW2","L","regular","y"
"NW2194809030","gee-s101","NY6","1","1","upper","4","0","1","","","","","","","","0","","","","","","","","","","19480903","0","NWK04","NW2","L","regular","y"
"NY6194809061","gee-s101","NY6","","","value","","2","2","","","2","2","","","","","","","","","","","","","","19480906","1","NYC14","IN9","W","exhibition",""
"NY6194809061","gee-s101","NY6","","","lower","2","2","2","","","2","2","","","","","","","","","","","","","","19480906","1","NYC14","IN9","W","exhibition",""
"NY6194809061","gee-s101","NY6","","","upper","2","","","","","2","0","","","","","","","","","","","","","","19480906","1","NYC14","IN9","W","exhibition",""
"NY6194809062","gee-s101","NY6","1","1","value","4","2","1","0","0","0","","0","","0","1","","","0","","","","","","","19480906","2","NYC14","KCM","W","exhibition","y"
"NY6194809062","gee-s101","NY6","1","1","lower","4","2","1","0","0","0","","0","","0","","","","0","","","","","","","19480906","2","NYC14","KCM","W","exhibition","y"
"NY6194809062","gee-s101","NY6","1","1","upper","4","2","1","0","0","0","","0","","0","","","","0","","","","","","","19480906","2","NYC14","KCM","W","exhibition","y"
"NY6194809120","gee-s101","NY6","1","1","value","4","1","1","0","0","0","","0","","0","1","","","0","","","","","","","19480912","0","NYC16","PH5","L","regular","y"
"NY6194809120","gee-s101","NY6","1","1","lower","4","1","1","0","0","0","","0","","0","1","","","0","","","","","","","19480912","0","NYC16","PH5","L","regular","y"
"NY6194809120","gee-s101","NY6","1","1","upper","4","1","1","0","0","0","","0","","0","1","","","0","","","","","","","19480912","0","NYC16","PH5","L","regular","y"
