"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"HOM194106250","gibbj103","PH5","2","value","9","","15","5","","0","0","2","1","2","","0","0","0","0","","","","","","","1","","19410625","0","ALT02","HOM","L","regular","y"
"HOM194106250","gibbj103","PH5","2","lower","9","","","5","","0","0","2","","2","","0","0","0","0","","","","","","","","","19410625","0","ALT02","HOM","L","regular","y"
"HOM194106250","gibbj103","PH5","2","upper","9","","","5","","0","0","2","","2","","0","0","0","0","","","","","","","","","19410625","0","ALT02","HOM","L","regular","y"
"KCM194106292","gibbj103","NY5","3","value","6","","8","2","0","0","0","0","","0","","0","0","0","0","","","","","","","1","","19410629","2","KAN05","KCM","L","exhibition","y"
"KCM194106292","gibbj103","NY5","3","lower","6","","","2","0","0","0","0","","0","","0","0","0","0","","","","","","","","","19410629","2","KAN05","KCM","L","exhibition","y"
"KCM194106292","gibbj103","NY5","3","upper","6","","","2","0","0","0","0","","0","","0","0","0","0","","","","","","","","","19410629","2","KAN05","KCM","L","exhibition","y"
"PH5194106300","gibbj103","PH5","2","value","8","","9","1","","","","0","0","0","","","","","","","","","","","","1","","19410630","0","YOR03","NY6","L","regular","y"
"PH5194106300","gibbj103","PH5","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19410630","0","YOR03","NY6","L","regular","y"
"PH5194106300","gibbj103","PH5","2","upper","","","","","","","","","","","","","","","","","","","","","","","","19410630","0","YOR03","NY6","L","regular","y"
"NW2194108050","gibbj103","PH5","1","value","27","","38","6","1","0","1","5","","4","","4","0","0","0","0","","1","","","1","","1","19410805","0","RED01","NW2","W","exhibition","y"
"NW2194108050","gibbj103","PH5","1","lower","27","","34","6","1","0","1","5","","4","","4","0","0","0","0","","","","","","","","19410805","0","RED01","NW2","W","exhibition","y"
"NW2194108050","gibbj103","PH5","1","upper","27","","38","6","1","0","1","5","","4","","4","0","0","0","0","","","","","","","","19410805","0","RED01","NW2","W","exhibition","y"
"PH5194109011","gibbj103","PH5","1","value","27","","40","13","","","","7","","","","","","","","","","","1","","1","","1","19410901","1","PHI17","NY6","L","regular","y"
"PH5194109011","gibbj103","PH5","1","lower","27","","","13","","","","7","","","","","","","","","","","","","","","","19410901","1","PHI17","NY6","L","regular","y"
"PH5194109011","gibbj103","PH5","1","upper","27","","","13","","","","7","","","","","","","","","","","","","","","","19410901","1","PHI17","NY6","L","regular","y"
"PH5194109071","gibbj103","NY5","2","value","5","","8","3","","","0","0","","1","","0","0","0","0","","","","","","","1","","19410907","1","WAS09","PH5","L","exhibition","y"
"PH5194109071","gibbj103","NY5","2","lower","5","","","3","","","0","0","","1","","0","0","0","0","","","","","","","","","19410907","1","WAS09","PH5","L","exhibition","y"
"PH5194109071","gibbj103","NY5","2","upper","5","","","3","","","0","0","","1","","0","0","0","0","","","","","","","","","19410907","1","WAS09","PH5","L","exhibition","y"
