"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CCR194607072","godim101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","19460707","2","CIN07","CCR","L","exhibition",""
"CCR194607072","godim101","IN9","","","lower","","","","","","","","","","","","","","","","","","","","","19460707","2","CIN07","CCR","L","exhibition",""
"CCR194607072","godim101","IN9","","","upper","","","","","","","","","","","","","","","","","","","","","19460707","2","CIN07","CCR","L","exhibition",""
"IN9194607080","godim101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","19460708","0","COL05","CCR","W","exhibition",""
"IN9194607080","godim101","IN9","","","lower","","","","","","","","","","","","","","","","","","","","","19460708","0","COL05","CCR","W","exhibition",""
"IN9194607080","godim101","IN9","","","upper","","","","","","","","","","","","","","","","","","","","","19460708","0","COL05","CCR","W","exhibition",""
"IN9194607160","godim101","IN9","9","2","value","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19460716","0","ZAN02","CVB","L","regular","y"
"IN9194607160","godim101","IN9","9","2","lower","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460716","0","ZAN02","CVB","L","regular","y"
"IN9194607160","godim101","IN9","9","2","upper","2","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460716","0","ZAN02","CVB","L","regular","y"
"KCM194607212","godim101","IN9","9","2","value","0","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19460721","2","KAN05","KCM","W","regular","y"
"KCM194607212","godim101","IN9","9","2","lower","0","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19460721","2","KAN05","KCM","W","regular","y"
"KCM194607212","godim101","IN9","9","2","upper","0","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19460721","2","KAN05","KCM","W","regular","y"
"KCM194607230","godim101","IN9","9","2","value","1","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","19460723","0","CBI01","KCM","W","regular","y"
"KCM194607230","godim101","IN9","9","2","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460723","0","CBI01","KCM","W","regular","y"
"KCM194607230","godim101","IN9","9","2","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460723","0","CBI01","KCM","W","regular","y"
"IN9194608042","godim101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","19460804","2","CIN07","CCR","L","exhibition",""
"IN9194608042","godim101","IN9","","","lower","","","","","","","","","","","","","","","","","","","","","19460804","2","CIN07","CCR","L","exhibition",""
"IN9194608042","godim101","IN9","","","upper","","","","","","","","","","","","","","","","","","","","","19460804","2","CIN07","CCR","L","exhibition",""
"BIR194608111","godim101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","19460811","1","BIR01","BIR","L","regular",""
"BIR194608111","godim101","IN9","","","lower","","","","","","","","","","","","","","","","","","","","","19460811","1","BIR01","BIR","L","regular",""
"BIR194608111","godim101","IN9","","","upper","","","","","","","","","","","","","","","","","","","","","19460811","1","BIR01","BIR","L","regular",""
