"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"IN4191505090","greew101","CG1","1","5","value","24","2","1","0","0","0","0","19150509","0","IND09","IN4","L","exhibition","y"
"IN4191505090","greew101","CG1","1","5","lower","24","2","1","0","0","0","0","19150509","0","IND09","IN4","L","exhibition","y"
"IN4191505090","greew101","CG1","1","5","upper","24","2","1","0","0","0","0","19150509","0","IND09","IN4","L","exhibition","y"
"CB1192104300","greew101","CG1","1","5","value","27","3","1","0","0","0","0","19210430","0","COL04","CB1","W","regular","y"
"CB1192104300","greew101","CG1","1","5","lower","27","3","1","0","0","0","0","19210430","0","COL04","CB1","W","regular","y"
"CB1192104300","greew101","CG1","1","5","upper","27","3","1","0","0","0","0","19210430","0","COL04","CB1","W","regular","y"
"CB1192105010","greew101","CG1","1","5","value","33","1","1","0","1","0","0","19210501","0","COL04","CB1","T","regular","y"
"CB1192105010","greew101","CG1","1","5","lower","33","1","1","0","1","0","0","19210501","0","COL04","CB1","T","regular","y"
"CB1192105010","greew101","CG1","1","5","upper","33","1","1","0","1","0","0","19210501","0","COL04","CB1","T","regular","y"
"CNN192105220","greew101","CG1","1","5","value","24","1","2","1","0","0","0","19210522","0","CIN07","CNN","L","regular","y"
"CNN192105220","greew101","CG1","1","5","lower","24","1","2","1","0","0","0","19210522","0","CIN07","CNN","L","regular","y"
"CNN192105220","greew101","CG1","1","5","upper","24","1","2","1","0","0","0","19210522","0","CIN07","CNN","L","regular","y"
"CAG192106190","greew101","CG1","1","5","value","24","3","4","0","1","0","0","19210619","0","CHI09","CAG","L","regular","y"
"CAG192106190","greew101","CG1","1","5","lower","24","3","3","0","1","0","0","19210619","0","CHI09","CAG","L","regular","y"
"CAG192106190","greew101","CG1","1","5","upper","24","3","4","0","1","0","0","19210619","0","CHI09","CAG","L","regular","y"
"CAG192106200","greew101","CG1","1","5","value","29","","","3","1","0","0","19210620","0","CHI09","CAG","L","regular","y"
"CAG192106200","greew101","CG1","1","5","lower","29","","","3","1","0","0","19210620","0","CHI09","CAG","L","regular","y"
"CAG192106200","greew101","CG1","1","5","upper","29","","","3","1","0","0","19210620","0","CHI09","CAG","L","regular","y"
"CB1192107190","greew101","CG1","1","5","value","24","1","3","0","0","0","0","19210719","0","COL04","CB1","L","regular","y"
"CB1192107190","greew101","CG1","1","5","lower","24","1","3","0","0","0","0","19210719","0","COL04","CB1","L","regular","y"
"CB1192107190","greew101","CG1","1","5","upper","24","1","3","0","0","0","0","19210719","0","COL04","CB1","L","regular","y"
