"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"ASW193508110","grifb102","ASW","6","4","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19350811","0","CHI10","ASE","W","allstar","y"
"ASW193508110","grifb102","ASW","6","4","lower","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19350811","0","CHI10","ASE","W","allstar","y"
"ASW193508110","grifb102","ASW","6","4","upper","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19350811","0","CHI10","ASE","W","allstar","y"
"NY6193509221","grifb102","NSH","9","2","value","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19350922","1","NYC16","NY6","W","exhibition","y"
"NY6193509221","grifb102","NSH","9","2","lower","0","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19350922","1","NYC16","NY6","W","exhibition","y"
"NY6193509221","grifb102","NSH","9","2","upper","0","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19350922","1","NYC16","NY6","W","exhibition","y"
"NNS193610042","grifb102","NNS","9","1","value","2","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19361004","2","DEN03","MLS","W","exhibition","y"
"NNS193610042","grifb102","NNS","9","1","lower","2","","0","0","0","0","","0","","0","","","","0","","","","","","","19361004","2","DEN03","MLS","W","exhibition","y"
"NNS193610042","grifb102","NNS","9","1","upper","2","","0","0","0","0","","0","","0","","","","0","","","","","","","19361004","2","DEN03","MLS","W","exhibition","y"
"MLS193610070","grifb102","NNS","9","3","value","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19361007","0","DES01","MLS","W","exhibition","y"
"MLS193610070","grifb102","NNS","9","3","lower","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19361007","0","DES01","MLS","W","exhibition","y"
"MLS193610070","grifb102","NNS","9","3","upper","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19361007","0","DES01","MLS","W","exhibition","y"
"SAS193810030","grifb102","NAS","","","value","","","","","","","","","","","","","","","","","","","","","19381003","0","MEM02","SAS","W","allstar",""
"SAS193810030","grifb102","NAS","","","lower","","","","","","","","","","","","","","","","","","","","","19381003","0","MEM02","SAS","W","allstar",""
"SAS193810030","grifb102","NAS","","","upper","","","","","","","","","","","","","","","","","","","","","19381003","0","MEM02","SAS","W","allstar",""
"MEM194104130","grifb102","BLG","","","value","","","","","","","","","","","","","","","","","","","","","19410413","0","MEM02","MEM","W","exhibition",""
"MEM194104130","grifb102","BLG","","","lower","","","","","","","","","","","","","","","","","","","","","19410413","0","MEM02","MEM","W","exhibition",""
"MEM194104130","grifb102","BLG","","","upper","","","","","","","","","","","","","","","","","","","","","19410413","0","MEM02","MEM","W","exhibition",""
"SNO194104202","grifb102","BLG","9","1","value","3","1","2","1","0","0","2","0","","0","0","0","","0","","","0","","","","19410420","2","NOL01","SNO","W","exhibition","y"
"SNO194104202","grifb102","BLG","9","1","lower","3","1","2","1","0","0","2","0","","0","","","","0","","","0","","","","19410420","2","NOL01","SNO","W","exhibition","y"
"SNO194104202","grifb102","BLG","9","1","upper","3","1","2","1","0","0","2","0","","0","","","","0","","","0","","","","19410420","2","NOL01","SNO","W","exhibition","y"
"HOM194105041","grifb102","BLG","9","3","value","2","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19410504","1","WAS09","HOM","L","regular","y"
"HOM194105041","grifb102","BLG","9","3","lower","2","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19410504","1","WAS09","HOM","L","regular","y"
"HOM194105041","grifb102","BLG","9","3","upper","2","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19410504","1","WAS09","HOM","L","regular","y"
"BLG194105112","grifb102","BLG","9","3","value","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19410511","2","BAL10","HOM","L","regular","y"
"BLG194105112","grifb102","BLG","9","3","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19410511","2","BAL10","HOM","L","regular","y"
"BLG194105112","grifb102","BLG","9","3","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19410511","2","BAL10","HOM","L","regular","y"
"BLG194107190","grifb102","BLG","9","2","value","2","0","1","0","0","0","","0","","0","0","0","","1","","","0","","","","19410719","0","NOR04","NW2","W","exhibition","y"
"BLG194107190","grifb102","BLG","9","2","lower","2","0","1","0","0","0","","0","","0","","","","1","","","0","","","","19410719","0","NOR04","NW2","W","exhibition","y"
"BLG194107190","grifb102","BLG","9","2","upper","2","0","1","0","0","0","","0","","0","","","","1","","","0","","","","19410719","0","NOR04","NW2","W","exhibition","y"
"BLG194107280","grifb102","BLG","","","value","","","","","","","","","","","","","","","","","","","","","19410728","0","BAL14","NY6","L","exhibition",""
"BLG194107280","grifb102","BLG","","","lower","","","","","","","","","","","","","","","","","","","","","19410728","0","BAL14","NY6","L","exhibition",""
"BLG194107280","grifb102","BLG","","","upper","","","","","","","","","","","","","","","","","","","","","19410728","0","BAL14","NY6","L","exhibition",""
"HOM194108032","grifb102","BLG","9","2","value","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","1","19410803","2","DET04","HOM","L","regular","y"
"HOM194108032","grifb102","BLG","9","2","lower","0","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19410803","2","DET04","HOM","L","regular","y"
"HOM194108032","grifb102","BLG","9","2","upper","0","1","0","0","0","0","","0","","0","","","","0","","","0","","","","19410803","2","DET04","HOM","L","regular","y"
"HOM194108242","grifb102","BLG","9","1","value","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19410824","2","WAS09","HOM","W","regular","y"
"HOM194108242","grifb102","BLG","9","1","lower","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19410824","2","WAS09","HOM","W","regular","y"
"HOM194108242","grifb102","BLG","9","1","upper","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19410824","2","WAS09","HOM","W","regular","y"
"HOM194109240","grifb102","BLG","","","value","","","","","","","","","","","","","","","","","","","","","19410924","0","TOL05","HOM","W","exhibition",""
"HOM194109240","grifb102","BLG","","","lower","","","","","","","","","","","","","","","","","","","","","19410924","0","TOL05","HOM","W","exhibition",""
"HOM194109240","grifb102","BLG","","","upper","","","","","","","","","","","","","","","","","","","","","19410924","0","TOL05","HOM","W","exhibition",""
"NY5194204240","grifb102","NY5","9","4","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420424","0","GRE01","HOM","L","exhibition","y"
"NY5194204240","grifb102","NY5","9","4","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420424","0","GRE01","HOM","L","exhibition","y"
"NY5194204240","grifb102","NY5","9","4","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420424","0","GRE01","HOM","L","exhibition","y"
"HOM194205102","grifb102","NY5","9","5","value","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19420510","2","WAS09","HOM","L","regular","y"
"HOM194205102","grifb102","NY5","9","5","lower","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420510","2","WAS09","HOM","L","regular","y"
"HOM194205102","grifb102","NY5","9","5","upper","0","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420510","2","WAS09","HOM","L","regular","y"
"NY5194205160","grifb102","NY5","9","1","value","3","1","1","0","1","0","2","0","","0","0","0","","0","","","0","","","","19420516","0","PAT01","NY6","L","regular","y"
"NY5194205160","grifb102","NY5","9","1","lower","3","1","1","0","1","0","2","0","","0","0","0","","0","","","0","","","","19420516","0","PAT01","NY6","L","regular","y"
"NY5194205160","grifb102","NY5","9","1","upper","3","1","1","0","1","0","2","0","","0","0","0","","0","","","0","","","","19420516","0","PAT01","NY6","L","regular","y"
