"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"HIL192610020","grovl101","ALS","1","value","24","","36","10","","","1","6","","1","","3","0","1","0","1","","","1","","1","","1","19261002","0","DAR01","HIL","L","exhibition","y"
"HIL192610020","grovl101","ALS","1","lower","24","","36","10","","","1","6","","1","","3","0","1","0","1","","","","","","","","19261002","0","DAR01","HIL","L","exhibition","y"
"HIL192610020","grovl101","ALS","1","upper","24","","36","10","","","1","6","","1","","3","0","1","0","1","","","","","","","","19261002","0","DAR01","HIL","L","exhibition","y"
"HOM192610030","grovl101","ALS","2","value","3","","3","0","","","0","0","","0","","2","0","0","0","0","","1","","","","1","","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610030","grovl101","ALS","2","lower","3","","3","0","","","0","0","","0","","2","0","0","0","0","","","","","","","","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610030","grovl101","ALS","2","upper","3","","3","0","","","0","0","","0","","2","0","0","0","0","","","","","","","","19261003","0","YOU01","HOM","W","exhibition","y"
"ALS192610070","grovl101","ALS","1","value","27","","37","7","","","0","3","","3","","6","0","0","0","0","","","1","","1","","1","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610070","grovl101","ALS","1","lower","27","","37","7","","","0","3","","3","","6","0","0","0","0","","","","","","","","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610070","grovl101","ALS","1","upper","27","","37","7","","","0","3","","3","","6","0","0","0","0","","","","","","","","19261007","0","BLO01","HIL","L","exhibition","y"
"HOM192710100","grovl101","ALS","1","value","27","","44","15","","","2","7","","5","","11","0","0","0","0","","1","","","1","","1","19271010","0","JAM01","HOM","W","exhibition","y"
"HOM192710100","grovl101","ALS","1","lower","27","","44","15","","","2","7","","5","","11","0","0","0","0","","","","","","","","19271010","0","JAM01","HOM","W","exhibition","y"
"HOM192710100","grovl101","ALS","1","upper","27","","44","15","","","2","7","","5","","11","0","0","0","0","","","","","","","","19271010","0","JAM01","HOM","W","exhibition","y"
"BLS192810140","grovl101","ASB","1","value","24","","44","11","","","1","9","","7","","10","0","0","0","2","","","1","","1","","1","19281014","0","BAL13","BLS","L","exhibition","y"
"BLS192810140","grovl101","ASB","1","lower","24","","44","11","","","1","9","","7","","10","0","0","0","2","","","","","","","","19281014","0","BAL13","BLS","L","exhibition","y"
"BLS192810140","grovl101","ASB","1","upper","24","","44","11","","","1","9","","7","","10","0","0","0","2","","","","","","","","19281014","0","BAL13","BLS","L","exhibition","y"
"PRG193010290","grovl101","ASG","2","value","3","","3","0","","","0","0","","0","","2","0","0","0","0","","","","","","1","","19301029","0","LOS02","PRG","W","exhibition","y"
"PRG193010290","grovl101","ASG","2","lower","3","","3","0","","","0","0","","0","","2","0","0","0","0","","","","","","","","19301029","0","LOS02","PRG","W","exhibition","y"
"PRG193010290","grovl101","ASG","2","upper","3","","3","0","","","0","0","","0","","2","0","0","0","0","","","","","","","","19301029","0","LOS02","PRG","W","exhibition","y"
