"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CIA194407302","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440730","2","IND10","CVB","w","regular",""
"CIA194408010","hairs101","CIA","5","1","value","3","3","0","2","1","0","0","3","0","","0","0","0","","0","","","0","","","","","19440801","0","SPR04","CVB","w","regular","y"
"KCM194408110","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440811","0","BEL01","KCM","w","regular",""
"KCM194408131","hairs101","CIA","6","1","value","4","3","0","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19440813","1","KAN05","KCM","l","exhibition","y"
"KCM194408140","hairs101","CIA","7","1","value","4","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440814","0","KAN05","KCM","w","exhibition","y"
"CIA194408190","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440819","0","IND10","MEM","w","regular",""
"CVB194408201","hairs101","CIA","9","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440820","1","CLE06","CVB","l","regular","y"
"CVB194408202","hairs101","CIA","8","1","value","3","3","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440820","2","CLE06","CVB","l","regular","y"
"CIA194408220","hairs101","CIA","6","1","value","4","4","1","2","0","0","1","","0","","0","0","0","","0","","","0","","","","","19440822","0","NOR03","CVB","l","regular","y"
"CIA194408260","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440826","0","IND10","MEM","w","regular",""
"MEM194408290","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440829","0","NSH02","MEM","w","regular",""
"MEM194408300","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440830","0","NSH02","MEM","w","regular",""
"KCM194409120","hairs101","CIA","5","1","value","4","3","1","0","0","0","0","0","0","","0","1","","","1","","","0","","","","","19440912","0","OKC02","KCM","w","exhibition","y"
"KCM194409130","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440913","0","FTW01","KCM","w","exhibition",""
"KCM194409171","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440917","1","NOL01","KCM","w","exhibition",""
"KCM194409172","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440917","2","NOL01","KCM","l","exhibition",""
"KCM194409190","hairs101","CIA","5","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440919","0","SAT01","KCM","l","exhibition","y"
"KCM194409200","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19440920","0","SAT01","KCM","l","exhibition",""
"BIR194504160","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450416","0","MTG01","BIR","l","exhibition",""
"CIA194504270","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450427","0","SAT01","KCM","w","exhibition",""
"KCM194504290","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450429","0","HOU04","KCM","l","exhibition",""
"CIA194504300","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450430","0","HOU04","KCM","w","exhibition",""
"CIA194505020","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450502","0","FTW01","KCM","l","exhibition",""
"KCM194505040","hairs101","CIA","6","1","value","5","5","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450504","0","OKC02","KCM","l","exhibition","y"
"MEM194505061","hairs101","CIA","4","2","value","2","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450506","1","MEM03","MEM","l","regular","y"
"CIA194505190","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450519","0","IND10","MEM","w","regular",""
"CIA194505201","hairs101","CIA","","","value","","","0","","","","","0","","","","","","","","","","","","","","","19450520","1","CIN07","CVB","l","regular",""
"CIA194505202","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450520","2","CIN07","CVB","w","regular",""
"CIA194505220","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450522","0","COL05","CVB","l","regular",""
"BIR194505271","hairs101","CIA","5","1","value","4","4","1","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450527","1","BIR01","BIR","l","regular","y"
"KCM194506102","hairs101","CIA","5","1","value","3","2","1","1","0","0","0","1","0","","0","1","","","0","","","0","","","","","19450610","2","KAN05","KCM","w","regular","y"
"KCM194506110","hairs101","CIA","5","1","value","5","5","2","2","0","1","0","","0","","0","0","0","","0","","","0","","","","","19450611","0","KAN05","KCM","l","regular","y"
"CIA194506130","hairs101","CIA","","","value","","","","","","","","","","","","","","1","","","","","","","","","19450613","0","CIN07","KCM","t","regular",""
"CIA194506130","hairs101","CIA","","","lower","","1","","","","","","","","","","","","1","","","","","","","","","19450613","0","CIN07","KCM","t","regular",""
"MEM194506171","hairs101","CIA","7","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450617","1","CHI11","MEM","l","regular","y"
"MEM194506172","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450617","2","CHI11","MEM","l","regular",""
"CIA194506210","hairs101","CIA","","","value","","","","1","","","","","","","","","","","","","","","","","","","19450621","0","IND10","CVB","l","regular",""
"CIA194506210","hairs101","CIA","","","lower","","1","","1","","","","","","","","","","","","","","","","","","","19450621","0","IND10","CVB","l","regular",""
"CIA194506220","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450622","0","DAY03","MEM","l","regular",""
"CIA194506230","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450623","0","COL05","MEM","w","regular",""
"CIA194506241","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450624","1","IND10","MEM","w","regular",""
"CIA194506242","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450624","2","IND10","MEM","w","regular",""
"CIA194507011","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450701","1","COL05","CAG","w","regular",""
"CIA194507012","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450701","2","COL05","CAG","l","regular",""
"CIA194507020","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450702","0","DAY03","CAG","l","regular",""
"CIA194507041","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450704","1","IND10","CAG","w","regular",""
"CIA194507042","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450704","2","IND10","CAG","l","regular",""
"NY5194507080","hairs101","CIA","6","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450708","0","NYC16","NY5","l","exhibition","y"
"NY5194507090","hairs101","CIA","4","1","value","2","2","1","1","0","0","0","2","0","","0","0","0","","0","","","0","","","","","19450709","0","WIL04","NY5","w","exhibition","y"
"BLG194507100","hairs101","CIA","5","1","value","4","3","0","0","0","0","0","","1","","0","0","0","","0","","","0","","","","","19450710","0","BAL14","BLG","l","exhibition","y"
"PH5194507112","hairs101","CIA","5","1","value","4","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19450711","2","PHI11","PH5","l","exhibition","y"
"NY6194507120","hairs101","CIA","6","1","value","3","2","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","","19450712","0","NYC14","NY6","l","exhibition","y"
"BLG194507130","hairs101","CIA","5","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450713","0","BAL14","BLG","l","exhibition","y"
"CAG194507250","hairs101","CIA","5","1","value","4","3","0","1","0","0","0","0","0","","0","1","","","0","","","0","","","","","19450725","0","MIL03","CAG","l","regular","y"
"BIR194508051","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450805","1","BIR01","BIR","l","regular",""
"BIR194508052","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450805","2","BIR01","BIR","l","regular",""
"CIA194508100","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450810","0","DAY03","NY6","l","exhibition",""
"CIA194508130","hairs101","CIA","","","value","","","","","","","","","","","","0","0","","","","","","","","","","19450813","0","NSH02","NY6","l","exhibition",""
"CIA194508192","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450819","2","CIN07","KCM","w","regular",""
"CIA194508250","hairs101","CIA","6","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450825","0","SPR03","BIR","l","regular","y"
"CIA194508261","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450826","1","IND10","BIR","w","regular",""
"CIA194508262","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450826","2","IND10","BIR","l","regular",""
"CIA194508280","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450828","0","COL05","BIR","l","regular",""
"CIA194508290","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450829","0","IND10","BIR","w","regular",""
"CIA194508300","hairs101","CIA","7","1","value","","","1","1","1","","","","","","","","","","","","","","","","","","19450830","0","STL07","BIR","w","regular",""
"CIA194508300","hairs101","CIA","7","1","lower","","1","1","1","1","","","","","","","","","","","","","","","","","","19450830","0","STL07","BIR","w","regular",""
"CIA194509010","hairs101","CIA","6","1","value","4","4","0","2","1","0","0","1","0","","0","0","0","","0","","","0","","","","","19450901","0","WIL04","BIR","l","regular","y"
"PH5194509021","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450902","1","NYC16","PH5","l","exhibition",""
"CAG194509092","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450909","2","CHI10","CAG","l","regular",""
"CAG194509100","hairs101","CIA","5","1","value","5","4","2","3","0","0","0","","0","","0","1","","","0","","","0","","","","","19450910","0","MIL03","CAG","l","regular","y"
"CIA194509161","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450916","1","IND10","KCM","w","exhibition",""
"KCM194509180","hairs101","CIA","4","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450918","0","KAN05","KCM","l","exhibition","y"
"KCM194509190","hairs101","CIA","4","1","value","4","2","1","0","0","0","0","","0","","0","2","","","1","","","0","","","","","19450919","0","KAN05","KCM","l","exhibition","y"
"KCM194509200","hairs101","CIA","5","1","value","4","4","1","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450920","0","OKC02","KCM","w","exhibition","y"
"CIA194509260","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450926","0","FTW01","KCM","l","exhibition",""
"KCM194509270","hairs101","CIA","","","value","","","","","","","","","","","","","","","","","","","","","","","19450927","0","DAL01","KCM","w","exhibition",""
