"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CI2194308040","hallp101","CI2","1","2","value","2","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","","","19430804","0","DAV01","BIR","W","regular","y"
"CI2194308040","hallp101","CI2","1","2","lower","2","0","0","0","0","0","0","0","","0","","","1","0","","","0","","","","19430804","0","DAV01","BIR","W","regular","y"
"CI2194308040","hallp101","CI2","1","2","upper","2","0","0","0","0","0","0","0","","0","","","1","0","","","0","","","","19430804","0","DAV01","BIR","W","regular","y"
"BIR194308050","hallp101","CI2","9","2","value","1","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","1","","19430805","0","KEW01","BIR","L","regular","y"
"BIR194308050","hallp101","CI2","9","2","lower","1","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19430805","0","KEW01","BIR","L","regular","y"
"BIR194308050","hallp101","CI2","9","2","upper","1","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19430805","0","KEW01","BIR","L","regular","y"
"CI2194308070","hallp101","CI2","9","1","value","1","0","0","","","","","","","","0","0","","","","","","","","","19430807","0","APP01","BIR","W","regular","y"
"CI2194308070","hallp101","CI2","9","1","lower","1","0","0","","","","","","","","","","","","","","","","","","19430807","0","APP01","BIR","W","regular","y"
"CI2194308070","hallp101","CI2","9","1","upper","1","0","0","","","","","","","","","","","","","","","","","","19430807","0","APP01","BIR","W","regular","y"
"BIR194308130","hallp101","CI2","9","2","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19430813","0","MIL03","BIR","L","regular","y"
"BIR194308130","hallp101","CI2","9","2","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430813","0","MIL03","BIR","L","regular","y"
"BIR194308130","hallp101","CI2","9","2","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19430813","0","MIL03","BIR","L","regular","y"
