"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194607102","hamij103","KCM","8","1","value","3","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19460710","2","WAS09","BLG","L","exhibition","y"
"BLG194607102","hamij103","KCM","8","1","lower","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460710","2","WAS09","BLG","L","exhibition","y"
"BLG194607102","hamij103","KCM","8","1","upper","3","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460710","2","WAS09","BLG","L","exhibition","y"
"NW2194607160","hamij103","KCM","8","2","value","1","0","1","","","","0","","","","0","0","","","","","","","1","","19460716","0","NWK04","NW2","L","exhibition","y"
"NW2194607160","hamij103","KCM","8","2","lower","1","0","1","","","","","","","","","","","","","","","","","","19460716","0","NWK04","NW2","L","exhibition","y"
"NW2194607160","hamij103","KCM","8","2","upper","1","0","1","","","","","","","","","","","","","","","","","","19460716","0","NWK04","NW2","L","exhibition","y"
"KCM194607211","hamij103","KCM","8","1","value","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19460721","1","KAN05","IN9","L","regular","y"
"KCM194607211","hamij103","KCM","8","1","lower","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460721","1","KAN05","IN9","L","regular","y"
"KCM194607211","hamij103","KCM","8","1","upper","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460721","1","KAN05","IN9","L","regular","y"
"KCM194607212","hamij103","KCM","9","2","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","1","","19460721","2","KAN05","IN9","L","regular","y"
"KCM194607212","hamij103","KCM","9","2","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460721","2","KAN05","IN9","L","regular","y"
"KCM194607212","hamij103","KCM","9","2","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460721","2","KAN05","IN9","L","regular","y"
"HOM194608041","hamij103","KCM","2","1","value","4","1","2","0","1","0","0","0","","0","0","0","","1","","","0","","","","19460804","1","WAS09","HOM","L","exhibition","y"
"HOM194608041","hamij103","KCM","2","1","lower","4","1","2","0","1","0","0","0","","0","","","","1","","","0","","","","19460804","1","WAS09","HOM","L","exhibition","y"
"HOM194608041","hamij103","KCM","2","1","upper","4","1","2","0","1","0","0","0","","0","","","","1","","","0","","","","19460804","1","WAS09","HOM","L","exhibition","y"
"HOM194608042","hamij103","KCM","2","3","value","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19460804","2","WAS09","HOM","W","exhibition","y"
"HOM194608042","hamij103","KCM","2","3","lower","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19460804","2","WAS09","HOM","W","exhibition","y"
"HOM194608042","hamij103","KCM","2","3","upper","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19460804","2","WAS09","HOM","W","exhibition","y"
"HOM194608051","hamij103","KCM","2","1","value","3","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19460805","1","PHI11","HOM","L","exhibition","y"
"HOM194608051","hamij103","KCM","2","1","lower","3","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19460805","1","PHI11","HOM","L","exhibition","y"
"HOM194608051","hamij103","KCM","2","1","upper","3","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19460805","1","PHI11","HOM","L","exhibition","y"
"NW2194608060","hamij103","KCM","2","1","value","4","1","1","","","","","","","","0","0","","","","","","","","","19460806","0","NWK04","NW2","L","exhibition","y"
"NW2194608060","hamij103","KCM","2","1","lower","4","1","1","","","","","","","","","","","","","","","","","","19460806","0","NWK04","NW2","L","exhibition","y"
"NW2194608060","hamij103","KCM","2","1","upper","4","1","1","","","","","","","","","","","","","","","","","","19460806","0","NWK04","NW2","L","exhibition","y"
"KCM194608111","hamij103","KCM","2","1","value","4","0","0","","","","1","","","","0","0","","","","","","","","","19460811","1","KAN05","CAG","W","regular","y"
"KCM194608111","hamij103","KCM","2","1","lower","4","0","0","","","","1","","","","","","","","","","","","","","19460811","1","KAN05","CAG","W","regular","y"
"KCM194608111","hamij103","KCM","2","1","upper","4","0","0","","","","1","","","","","","","","","","","","","","19460811","1","KAN05","CAG","W","regular","y"
"KCM194608112","hamij103","KCM","2","1","value","3","0","0","","","","0","","","","0","0","","","","","","","","","19460811","2","KAN05","CAG","L","regular","y"
"KCM194608112","hamij103","KCM","2","1","lower","3","0","0","","","","0","","","","","","","","","","","","","","19460811","2","KAN05","CAG","L","regular","y"
"KCM194608112","hamij103","KCM","2","1","upper","3","0","0","","","","0","","","","","","","","","","","","","","19460811","2","KAN05","CAG","L","regular","y"
"KCM194608130","hamij103","KCM","2","1","value","4","0","2","0","0","0","0","0","","0","0","0","","1","","","0","","","","19460813","0","CBI01","CCR","W","exhibition","y"
"KCM194608130","hamij103","KCM","2","1","lower","4","0","2","0","0","0","0","0","","0","","","","1","","","0","","","","19460813","0","CBI01","CCR","W","exhibition","y"
"KCM194608130","hamij103","KCM","2","1","upper","4","0","2","0","0","0","0","0","","0","","","","1","","","0","","","","19460813","0","CBI01","CCR","W","exhibition","y"
"KCM194608140","hamij103","KCM","2","1","value","4","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19460814","0","OXF01","CCR","W","exhibition","y"
"KCM194608140","hamij103","KCM","2","1","lower","4","1","2","0","0","0","","0","","0","","","","0","","","0","","","","19460814","0","OXF01","CCR","W","exhibition","y"
"KCM194608140","hamij103","KCM","2","1","upper","4","1","2","0","0","0","","0","","0","","","","0","","","0","","","","19460814","0","OXF01","CCR","W","exhibition","y"
"KCM194608150","hamij103","KCM","2","1","value","5","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","19460815","0","STJ01","CCR","W","exhibition","y"
"KCM194608150","hamij103","KCM","2","1","lower","5","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19460815","0","STJ01","CCR","W","exhibition","y"
"KCM194608150","hamij103","KCM","2","1","upper","5","0","1","0","0","0","1","0","","0","","","","0","","","0","","","","19460815","0","STJ01","CCR","W","exhibition","y"
"KCM194608160","hamij103","KCM","2","1","value","5","0","1","1","0","0","0","0","","0","0","0","","1","","","0","","","","19460816","0","KAN05","CCR","W","exhibition","y"
"KCM194608160","hamij103","KCM","2","1","lower","5","0","1","1","0","0","0","0","","0","","","","1","","","0","","","","19460816","0","KAN05","CCR","W","exhibition","y"
"KCM194608160","hamij103","KCM","2","1","upper","5","0","1","1","0","0","0","0","","0","","","","1","","","0","","","","19460816","0","KAN05","CCR","W","exhibition","y"
"KCM194608181","hamij103","KCM","2","1","value","3","0","0","0","0","0","0","1","","0","0","0","","0","","","0","","","","19460818","1","KAN05","MEM","W","exhibition","y"
"KCM194608181","hamij103","KCM","2","1","lower","3","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460818","1","KAN05","MEM","W","exhibition","y"
"KCM194608181","hamij103","KCM","2","1","upper","3","0","0","0","0","0","0","1","","0","","","","0","","","0","","","","19460818","1","KAN05","MEM","W","exhibition","y"
"KCM194608182","hamij103","KCM","2","1","value","5","2","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19460818","2","KAN05","MEM","T","exhibition","y"
"KCM194608182","hamij103","KCM","2","1","lower","5","2","2","0","0","0","","0","","0","","","","0","","","0","","","","19460818","2","KAN05","MEM","T","exhibition","y"
"KCM194608182","hamij103","KCM","2","1","upper","5","2","2","0","0","0","","0","","0","","","","0","","","0","","","","19460818","2","KAN05","MEM","T","exhibition","y"
"KCM194608190","hamij103","KCM","2","1","value","4","0","1","1","0","0","","0","","0","1","","","0","","","0","","","","19460819","0","CBI01","MEM","W","regular","y"
"KCM194608190","hamij103","KCM","2","1","lower","4","0","1","1","0","0","","0","","0","","","","0","","","0","","","","19460819","0","CBI01","MEM","W","regular","y"
"KCM194608190","hamij103","KCM","2","1","upper","4","0","1","1","0","0","","0","","0","","","","0","","","0","","","","19460819","0","CBI01","MEM","W","regular","y"
"KCM194608200","hamij103","KCM","2","1","value","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","19460820","0","KAN05","MEM","W","regular","y"
"KCM194608200","hamij103","KCM","2","1","lower","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460820","0","KAN05","MEM","W","regular","y"
"KCM194608200","hamij103","KCM","2","1","upper","4","0","1","0","0","0","0","0","","0","","","","0","","","0","","","","19460820","0","KAN05","MEM","W","regular","y"
"KCM194608301","hamij103","KCM","8","1","value","3","0","1","","1","","1","","","","0","0","","","","","","","","","19460830","1","STL07","IN9","L","regular","y"
"KCM194608301","hamij103","KCM","8","1","lower","3","0","1","","1","","1","","","","","","","","","","","","","","19460830","1","STL07","IN9","L","regular","y"
"KCM194608301","hamij103","KCM","8","1","upper","3","0","1","","1","","1","","","","","","","","","","","","","","19460830","1","STL07","IN9","L","regular","y"
"KCM194608302","hamij103","KCM","7","1","value","4","0","0","","","","","","","","0","0","","","","","","","","","19460830","2","STL07","IN9","W","regular","y"
"KCM194608302","hamij103","KCM","7","1","lower","4","","0","","","","","","","","","","","","","","","","","","19460830","2","STL07","IN9","W","regular","y"
"KCM194608302","hamij103","KCM","7","1","upper","4","","0","","","","","","","","","","","","","","","","","","19460830","2","STL07","IN9","W","regular","y"
"KCM194609011","hamij103","KCM","7","1","value","3","0","0","","","","0","","","","1","","","","","","","","","","19460901","1","KAN05","IN9","L","regular","y"
"KCM194609011","hamij103","KCM","7","1","lower","3","0","0","","","","0","","","","","","","","","","","","","","19460901","1","KAN05","IN9","L","regular","y"
"KCM194609011","hamij103","KCM","7","1","upper","3","0","0","","","","0","","","","","","","","","","","","","","19460901","1","KAN05","IN9","L","regular","y"
"KCM194609012","hamij103","KCM","7","1","value","3","1","1","0","0","0","2","0","","0","0","0","","0","","","0","","","","19460901","2","KAN05","IN9","W","regular","y"
"KCM194609012","hamij103","KCM","7","1","lower","3","1","1","0","0","0","2","0","","0","","","","0","","","0","","","","19460901","2","KAN05","IN9","W","regular","y"
"KCM194609012","hamij103","KCM","7","1","upper","3","1","1","0","0","0","2","0","","0","","","","0","","","0","","","","19460901","2","KAN05","IN9","W","regular","y"
"IN9194609140","hamij103","KCM","7","1","value","4","0","0","0","0","0","1","0","","0","0","0","","0","","","0","","","","19460914","0","WIL04","IN9","W","regular","y"
"IN9194609140","hamij103","KCM","7","1","lower","4","0","0","0","0","0","1","0","","0","","","","0","","","0","","","","19460914","0","WIL04","IN9","W","regular","y"
"IN9194609140","hamij103","KCM","7","1","upper","4","0","0","0","0","0","1","0","","0","","","","0","","","0","","","","19460914","0","WIL04","IN9","W","regular","y"
"NW2194609170","hamij103","KCM","7","1","value","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","19460917","0","NYC14","NW2","W","championship","y"
"NW2194609170","hamij103","KCM","7","1","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460917","0","NYC14","NW2","W","championship","y"
"NW2194609170","hamij103","KCM","7","1","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19460917","0","NYC14","NW2","W","championship","y"
