"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CAG192906290","hardh102","KCM","1","1","value","4","2","2","0","0","0","","0","","0","0","0","","1","","","0","","","","19290629","0","CHI09","CAG","W","regular","y"
"CAG192906290","hardh102","KCM","1","1","lower","4","2","2","0","0","0","","0","","0","0","0","","1","","","0","","","","19290629","0","CHI09","CAG","W","regular","y"
"CAG192906290","hardh102","KCM","1","1","upper","4","2","2","0","0","0","","0","","0","0","0","","1","","","0","","","","19290629","0","CHI09","CAG","W","regular","y"
"HOM193007180","hardh102","KCM","1","1","value","6","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","19300718","0","PIT06","HOM","L","exhibition","y"
"HOM193007180","hardh102","KCM","1","1","lower","6","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19300718","0","PIT06","HOM","L","exhibition","y"
"HOM193007180","hardh102","KCM","1","1","upper","6","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19300718","0","PIT06","HOM","L","exhibition","y"
"HOM193007191","hardh102","KCM","1","1","value","4","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","19300719","1","PIT06","HOM","L","exhibition","y"
"HOM193007191","hardh102","KCM","1","1","lower","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19300719","1","PIT06","HOM","L","exhibition","y"
"HOM193007191","hardh102","KCM","1","1","upper","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19300719","1","PIT06","HOM","L","exhibition","y"
"HOM193007192","hardh102","KCM","8","2","value","0","1","0","0","0","0","","0","","0","0","0","","0","","","0","","","1","19300719","2","PIT06","HOM","W","exhibition","y"
"HOM193007192","hardh102","KCM","8","2","lower","0","1","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19300719","2","PIT06","HOM","W","exhibition","y"
"HOM193007192","hardh102","KCM","8","2","upper","0","1","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19300719","2","PIT06","HOM","W","exhibition","y"
