"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PTC193407041","harrc104","PTC","3","2","value","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","19340704","1","PIT09","HOM","W","exhibition","y"
"PTC193407041","harrc104","PTC","3","2","lower","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19340704","1","PIT09","HOM","W","exhibition","y"
"PTC193407041","harrc104","PTC","3","2","upper","","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19340704","1","PIT09","HOM","W","exhibition","y"
"NNS193410230","harrc104","NNS","6","1","value","4","0","1","0","0","0","2","0","","0","0","","0","0","","","","","","","19341023","0","PIT06","ASD","W","exhibition","y"
"NNS193410230","harrc104","NNS","6","1","lower","4","0","1","0","0","0","2","0","","0","0","","0","0","","","","","","","19341023","0","PIT06","ASD","W","exhibition","y"
"NNS193410230","harrc104","NNS","6","1","upper","4","0","1","0","0","0","2","0","","0","0","","0","0","","","","","","","19341023","0","PIT06","ASD","W","exhibition","y"
"NY6193509150","harrc104","PTC","7","1","value","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19350915","0","NYC25","NY6","W","lcs","y"
"NY6193509150","harrc104","PTC","7","1","lower","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19350915","0","NYC25","NY6","W","lcs","y"
"NY6193509150","harrc104","PTC","7","1","upper","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19350915","0","NYC25","NY6","W","lcs","y"
"PTC193509180","harrc104","PTC","9","3","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19350918","0","PIT09","NY6","L","lcs","y"
"PTC193509180","harrc104","PTC","9","3","lower","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19350918","0","PIT09","NY6","L","lcs","y"
"PTC193509180","harrc104","PTC","9","3","upper","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19350918","0","PIT09","NY6","L","lcs","y"
"PTC193509190","harrc104","PTC","7","1","value","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19350919","0","PIT09","NY6","W","lcs","y"
"PTC193509190","harrc104","PTC","7","1","lower","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19350919","0","PIT09","NY6","W","lcs","y"
"PTC193509190","harrc104","PTC","7","1","upper","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19350919","0","PIT09","NY6","W","lcs","y"
"PTC193509200","harrc104","PTC","7","1","value","3","0","1","0","0","0","","0","","0","1","","","0","","","","","","","19350920","0","PHI17","NY6","W","lcs","y"
"PTC193509200","harrc104","PTC","7","1","lower","3","0","1","0","0","0","","0","","0","1","","","0","","","","","","","19350920","0","PHI17","NY6","W","lcs","y"
