"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"PTC193407041","harrc104","PTC","1","3","value","12","2","0","0","0","0","","","","","","19340704","1","PIT09","HOM","w","exhibition","y"
"NNS193410230","harrc104","NNS","1","7","value","27","3","0","0","0","0","","","","","1","19341023","0","PIT06","ASD","w","exhibition","y"
"NY6193509150","harrc104","PTC","1","5","value","27","1","3","0","0","0","","","","","1","19350915","0","NYC25","NY6","w","lcs","y"
"PTC193509190","harrc104","PTC","1","5","value","27","0","2","0","0","0","","","","","1","19350919","0","PIT09","NY6","w","lcs","y"
"PTC193509200","harrc104","PTC","1","5","value","27","0","2","0","0","0","","","","","1","19350920","0","PHI17","NY6","w","lcs","y"
"NY6193509210","harrc104","PTC","1","5","value","27","2","0","0","0","0","","","","","1","19350921","0","PHI17","NY6","w","lcs","y"
"SHR193510090","harrc104","PTC","1","3","value","30","14","0","0","1","0","","","","","1","19351009","0","DAY03","SHR","w","exhibition","y"
"ALM193510250","harrc104","PTC","1","4","value","33","1","2","1","0","0","","","","","1","19351025","0","MEX01","ALM","t","exhibition","y"
"ALM193510260","harrc104","PTC","1","4","value","24","1","1","0","2","0","","","","","1","19351026","0","MEX01","ALM","l","exhibition","y"
"ALM193510270","harrc104","PTC","1","4","value","24","3","2","0","0","0","","","","","1","19351027","0","MEX01","ALM","l","exhibition","y"
"ASW193608230","harrc104","ASW","1","3","value","27","10","1","0","1","0","","","","","1","19360823","0","CHI10","ASE","l","allstar","y"
"KCM193804102","harrc104","PH5","6","7","value","24","0","0","","","","","","","","1","19380410","2","HOU01","KCM","l","exhibition","y"
"MEM193804170","harrc104","PH5","1","4","value","","","","","","","","","","","1","19380417","0","MEM02","MEM","w","exhibition",""
"BLG193805011","harrc104","PH5","1","4","value","24","","","0","1","0","","","2","","1","19380501","1","NSH02","BLG","l","exhibition","y"
"BLG193805012","harrc104","PH5","1","4","value","18","","","2","1","","","","","","1","19380501","2","NSH02","BLG","l","exhibition","y"
"BLG193805150","harrc104","PH5","1","4","value","24","","","","1","0","","","0","","","19380515","0","BAL14","BLG","l","regular","y"
"PH5193805221","harrc104","PH5","1","4","value","27","1","5","0","","","","","","","","19380522","1","PHI16","HOM","l","regular","y"
"PH5193805222","harrc104","PH5","1","4","value","21","3","5","0","","","","","","","1","19380522","2","PHI17","HOM","l","regular","y"
"PH5193806010","harrc104","PH5","1","4","value","24","1","4","0","","","","","","","1","19380601","0","CHE02","PTC","l","regular","y"
"PH5193806041","harrc104","PH5","1","4","value","27","1","5","0","","","","","","","","19380604","1","PHI17","WBS","w","regular","y"
"PH5193806191","harrc104","PH5","1","5","value","27","3","2","0","","","","","","","1","19380619","1","PHI16","NW2","l","regular","y"
"PH5193806191","harrc104","PH5","1","7","value","","2","0","0","","","","","","","1","19380619","1","PHI16","NW2","l","regular","y"
"PH5193806192","harrc104","PH5","1","2","value","","3","","0","","","","","","","","19380619","2","PHI16","NW2","w","regular","y"
"PH5193808040","harrc104","PH5","1","3","value","27","8","2","0","","","","","","","1","19380804","0","PHI17","BLG","l","regular","y"
"PH5193808201","harrc104","PH5","1","4","value","27","4","0","0","","","","","","","1","19380820","1","PHI17","NY5","w","exhibition","y"
"PH5193808202","harrc104","PH5","1","4","value","21","3","","0","","","","","","","1","19380820","2","PHI17","NY5","w","exhibition","y"
"BLG193808280","harrc104","PH5","1","5","value","30","1","2","0","","","","","","","1","19380828","0","BAL14","BLG","w","regular","y"
"NW2193905140","harrc104","PH5","1","3","value","27","10","0","0","0","0","","","","","1","19390514","0","NWK04","NW2","w","regular","y"
"NW2193905171","harrc104","PH5","1","3","value","24","1","0","0","1","0","","","","","1","19390517","1","NWK04","NW2","l","regular","y"
"NW2193905172","harrc104","PH5","1","3","value","18","0","0","0","0","0","","","","","1","19390517","2","NWK04","NW2","l","regular","y"
"PH5193905211","harrc104","PH5","1","3","value","30","15","0","0","1","0","","","","","1","19390521","1","PHI17","NY5","w","regular","y"
"HOM193905270","harrc104","PH5","1","3","value","24","1","0","0","0","0","","","","","1","19390527","0","PIT06","HOM","l","regular","y"
"HOM193905281","harrc104","PH5","1","3","value","24","13","0","0","0","0","","","","","1","19390528","1","BUF06","HOM","l","regular","y"
"PH5193905301","harrc104","PH5","1","3","value","27","1","1","0","0","0","","","","","1","19390530","1","PHI17","TLC","w","regular","y"
