"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PH5194506120","harrw101","PH5","1","value","9","","21","9","0","0","2","9","","3","0","1","0","0","0","","0","","","","","1","","1","","","19450612","0","WIL04","BLG","l","regular","y"
"PH5194506172","harrw101","PH5","1","value","21","","","","","","","3","3","","","","","","","","","","","","","1","","1","","","19450617","2","NYC16","KCM","l","exhibition",""
"BLG194506242","harrw101","PH5","2","value","24","2","33","8","0","0","0","2","","4","0","","0","0","0","1","0","","","","","1","","","1","","19450624","2","BAL14","BLG","l","regular","y"
"PH5194506300","harrw101","PH5","1","value","12","","23","7","0","0","0","6","5","5","0","","0","0","0","","0","","","","","1","","1","","","19450630","0","PHI17","HOM","l","regular","y"
"BLG194508030","harrw101","PH5","2","value","11","","13","2","0","0","0","0","","1","0","","0","0","0","","0","","","","","","","","1","","19450803","0","BAL14","BLG","l","regular","y"
"PH5194508040","harrw101","PH5","4","value","3","2","7","1","0","0","0","1","","2","0","","0","0","0","0","0","","","","","","","","","","19450804","0","PHI17","NY5","l","regular","y"
"PH5194508081","harrw101","PH5","1","value","","","","","","","","4","","","","","","","","","","","","","","","","1","","","19450808","1","PIT06","BIR","w","exhibition",""
"PH5194508081","harrw101","PH5","1","upper","","","","","","","","6","","","","","","","","","","","","","","","","","","","19450808","1","PIT06","BIR","w","exhibition",""
"PH5194508091","harrw101","PH5","1","value","27","","29","2","0","0","0","0","0","","","","0","0","0","0","","","","","1","","","1","","1","19450809","1","WAS09","KCM","w","exhibition","y"
"PH5194508161","harrw101","PH5","1","value","12","","21","8","0","0","0","8","","0","0","1","0","0","0","1","0","","","","","1","","1","","","19450816","1","WAS09","MEM","l","exhibition","y"
"NW2194508192","harrw101","PH5","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19450819","2","NWK04","NW2","l","regular",""
"PH5194508222","harrw101","PH5","2","value","12","","14","1","0","0","0","0","","1","0","","0","0","0","","0","","","","","","","","1","","19450822","2","PHI11","CAG","w","exhibition","y"
"BLG194508261","harrw101","PH5","1","value","12","","19","7","0","0","0","5","","1","0","1","0","0","0","1","0","","","","","1","","1","","","19450826","1","BAL14","BLG","l","regular","y"
"PH5194509010","harrw101","PH5","1","value","27","","35","8","0","0","0","2","","2","","","0","0","0","0","","","","","1","","","1","","1","19450901","0","PHI17","NY5","w","regular","y"
"NY5194509032","harrw101","PH5","2","value","5","","7","2","0","0","0","1","","0","0","2","0","0","0","0","0","","","","","1","","","1","","19450903","2","NYC16","NY5","l","exhibition","y"
"PH5194509091","harrw101","PH5","1","value","27","","46","18","3","0","0","11","","1","","3","2","0","0","1","","","","","","1","","1","","1","19450909","1","DET04","KCM","l","exhibition","y"
"KCM194509100","harrw101","PH5","1","value","15","","26","5","0","0","0","3","","4","0","4","1","0","0","1","0","","","","","","","1","","","19450910","0","FLI01","KCM","l","exhibition","y"
"NY6194509162","harrw101","PH5","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19450916","2","NYC14","NY6","l","exhibition",""
"PH5194509270","harrw101","PH5","1","value","16","","29","5","0","0","0","8","","8","0","4","1","1","0","0","0","","","","","1","","1","","","19450927","0","WIL04","BLG","l","exhibition","y"
"NY6194604211","harrw101","PH5","3","value","9","","16","5","0","0","0","3","","2","0","3","0","0","0","","0","","","","","1","","","1","","19460421","1","NYC14","NY6","l","exhibition","y"
"PH5194605060","harrw101","PH5","2","value","1","","3","1","0","0","0","2","","1","0","","0","0","0","1","0","","","","","1","","","","","19460506","0","WIL04","NW2","l","regular","y"
"HOM194605192","harrw101","PH5","3","value","3","","5","2","0","0","0","1","","0","0","","0","0","0","0","0","","","","","","","","1","","19460519","2","WAS09","HOM","l","regular","y"
"PH5194605220","harrw101","PH5","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19460522","0","NOR02","NW2","l","regular",""
"PH5194605312","harrw101","PH5","3","value","12","","16","4","0","0","0","2","","","0","","0","0","0","","0","","","","","","","","1","","19460531","2","PHI11","NW2","l","regular","y"
"PH5194606080","harrw101","PH5","1","value","18","","26","6","0","0","0","3","","0","0","","0","0","0","","0","","","","","","","1","","","19460608","0","PHI17","NY5","w","regular","y"
"PH5194606131","harrw101","PH5","3","value","1","","3","1","0","0","0","1","","1","0","","0","0","0","0","0","","","","","","","","","","19460613","1","PHI11","NY6","t","regular","y"
"HOM194606210","harrw101","PH5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19460621","0","PIT06","HOM","l","regular",""
"HOM194606231","harrw101","PH5","3","value","3","","5","2","0","0","0","1","","0","0","0","0","0","0","0","0","","","","","","","","1","","19460623","1","WAS09","HOM","l","regular","y"
"PH5194607042","harrw101","PH5","1","value","21","","31","10","0","0","0","4","","","","","0","0","0","0","","","","","","1","","1","","1","19460704","2","PHI17","BLG","l","regular","y"
"NY5194607071","harrw101","PH5","2","value","3","","3","0","0","0","0","0","","0","0","0","0","0","0","","0","","","","","","","","","","19460707","1","NYC16","NY5","l","regular","y"
"PH5194607081","harrw101","PH5","3","value","2","","2","0","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","","1","","19460708","1","PHI11","NY5","l","regular","y"
