"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PTC193307232","harvb101","PTC","9","2","value","0","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19330723","2","CLE06","CAG","w","regular","y"
"PTC193509200","harvb101","PTC","9","2","value","1","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19350920","0","PHI17","NY6","w","lcs","y"
"NY6193509210","harvb101","PTC","9","1","value","2","1","0","0","0","0","0","","0","","0","1","","","0","","","","","","","","19350921","0","PHI17","NY6","w","lcs","y"
"SAS193509290","harvb101","SAS","9","1","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19350929","0","MEM03","NAS","l","allstar","y"
"PTC193804300","harvb101","PTC","9","1","value","4","4","1","1","0","0","1","","0","","0","0","","","","","","","","","","","19380430","0","PIT09","HOM","l","exhibition","y"
"PTC193804300","harvb101","PTC","9","1","lower","1","1","1","1","0","0","1","1","0","","0","0","","","","","","","","","","","19380430","0","PIT09","HOM","l","exhibition","y"
"PTC193805222","harvb101","PTC","","2","value","","","","","","","","","","","","","","","","","","","","","","","19380522","2","PIT09","BLG","w","regular",""
"PTC193806052","harvb101","PTC","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380605","2","CUM01","NY5","w","regular",""
"WBS193806191","harvb101","PTC","9","1","value","5","5","0","0","0","0","0","","","","0","0","","0","0","","","","","","","","19380619","1","WAS09","WBS","w","regular","y"
"WBS193806192","harvb101","PTC","9","4","value","1","1","0","0","0","0","0","","","","0","0","","","","","","","","","","","19380619","2","WAS09","WBS","l","regular","y"
"PTC193807041","harvb101","PTC","2","1","value","4","3","1","0","0","0","0","","0","","0","1","","","","","0","","","","","","19380704","1","PIT09","HOM","l","regular","y"
"HOM193808290","harvb101","PTC","","","value","","","","","","","","","","","","","","","","","","","","","","","19380829","0","PHI17","HOM","l","regular",""
"BLG193904232","harvb101","BLG","9","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390423","2","NSH02","CAG","w","exhibition","y"
"TLC193905130","harvb101","TLC","9","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390513","0","TOL05","NY5","l","regular","y"
"TLC193905142","harvb101","TLC","9","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390514","2","TOL05","NY5","t","regular","y"
"TLC193905160","harvb101","TLC","7","1","value","4","4","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19390516","0","CHA01","NY5","w","exhibition","y"
"NW2193905270","harvb101","TLC","3","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390527","0","TRE01","NW2","l","regular","y"
"PH5193905301","harvb101","TLC","8","1","value","4","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","","19390530","1","PHI17","PH5","l","regular","y"
"PH5193905302","harvb101","TLC","8","1","value","4","4","0","2","0","0","0","","0","","0","","","","0","","","0","","","","","19390530","2","PHI17","PH5","l","regular","y"
"TLC193906190","harvb101","TLC","","","value","","","","","","","","","","","","","","","","","","","","","","","19390619","0","COL05","NY6","w","regular",""
"CAG193907060","harvb101","TLC","7","1","value","3","3","0","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19390706","0","MIL03","CAG","l","exhibition","y"
"CAG193907091","harvb101","TLC","6","1","value","5","5","0","1","0","0","0","1","0","0","0","0","0","","0","0","0","0","0","","","","19390709","1","CHI09","CAG","l","exhibition","y"
"CV9193907161","harvb101","TLC","7","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390716","1","KAN05","CV9","l","regular","y"
"CV9193907162","harvb101","TLC","7","1","value","4","2","0","0","0","0","0","","0","","0","2","","","0","","","0","","","","","19390716","2","KAN05","CV9","w","regular","y"
"TLC193907231","harvb101","TLC","","","value","","","","","","","","","","","","","","","","","","","","","","","19390723","1","TOL05","SSA","w","regular",""
"TLC193907310","harvb101","TLC","","","value","","","","","","","","","","","","","","","","","","","","","","","19390731","0","TOL05","KCM","w","regular",""
"KCM193908070","harvb101","TLC","9","1","value","4","3","0","1","0","0","0","0","1","0","0","0","0","","0","0","0","0","0","","","","19390807","0","MUS01","KCM","l","regular","y"
"CV9193908202","harvb101","TLC","6","1","value","3","3","0","2","0","0","0","0","0","0","0","0","0","","0","","","0","","","","","19390820","2","CLE06","CV9","l","regular","y"
"CV9193908210","harvb101","TLC","7","1","value","4","3","0","2","1","0","0","1","0","","0","1","","1","0","","","0","","","","","19390821","0","AKR01","CV9","l","regular","y"
"SAS193910010","harvb101","NAS","1","1","value","5","5","1","5","0","0","0","1","0","","0","0","","","0","","","","","","","","19391001","0","NOL01","SAS","w","allstar","y"
"PRG193910082","harvb101","PRG","9","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","1","","19391008","2","LOS04","PIR","l","exhibition","y"
