"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CCB194208220","hattr101","MEM","1","2","value","18","","","0","","0","","","","","1","19420822","0","DAY03","CCB","l","regular",""
"MEM194208280","hattr101","MEM","1","2","value","","","","0","","0","","","","","1","19420828","0","MEM02","CCB","l","regular",""
"MEM194208310","hattr101","MEM","1","2","value","27","","","0","","0","","","","","1","19420831","0","MEM02","BIR","l","regular",""
"MEM194209131","hattr101","MEM","1","2","value","27","","","0","0","0","0","","","","1","19420913","1","MEM02","CAG","w","exhibition","y"
"MEM194209140","hattr101","MEM","1","2","value","27","","","0","","0","","","","","1","19420914","0","MEM02","CAG","w","exhibition",""
"MEM194404090","hattr101","CAG","1","2","value","27","","","0","","0","","","","","1","19440409","0","MEM03","MEM","w","exhibition",""
"MEM194404140","hattr101","CAG","1","2","value","24","","","0","","0","","","","","1","19440414","0","LRK02","MEM","l","exhibition",""
"MEM194404161","hattr101","CAG","1","2","value","24","","","0","","0","","","","","1","19440416","1","DAL01","MEM","l","exhibition",""
"MEM194404180","hattr101","CAG","1","2","value","24","","","0","","0","","","","","1","19440418","0","FTW01","MEM","l","exhibition",""
"MEM194404280","hattr101","CAG","1","2","value","24","","","0","","0","","","","","1","19440428","0","MUS01","MEM","l","exhibition",""
"MEM194404302","hattr101","CAG","1","2","value","24","","","0","","0","","","","","1","19440430","2","LRK02","MEM","l","exhibition",""
"CAG194405071","hattr101","CAG","1","2","value","27","7","0","1","0","0","0","","","","1","19440507","1","CHI10","BIR","l","regular","y"
"CAG194405072","hattr101","CAG","1","2","value","","","","0","","0","","","","","1","19440507","2","CHI10","BIR","l","regular",""
"CAG194405100","hattr101","CAG","1","2","value","","","","0","","0","","","","","1","19440510","0","DAY03","BIR","l","regular",""
"CIA194405110","hattr101","CAG","1","2","value","24","","","0","","0","","","","","1","19440511","0","FOR05","CIA","l","regular",""
"CIA194405120","hattr101","CAG","1","2","value","24","","","2","0","0","0","","","","1","19440512","0","COL05","CIA","l","regular","y"
"CAG194405141","hattr101","CAG","1","2","value","6","3","0","0","0","0","2","","","","","19440514","1","CHI10","MEM","l","regular","y"
"BLG194608182","hattr101","BLG","1","2","value","21","7","0","0","0","0","0","","","","1","19460818","2","BAL14","NW2","w","exhibition","y"
"BLG194608252","hattr101","BLG","1","2","value","21","4","0","0","0","0","0","","","","1","19460825","2","BAL14","NY5","l","regular","y"
"BLG194608270","hattr101","BLG","1","2","value","9","2","0","0","0","0","0","","","","","19460827","0","BAL14","NY6","l","regular","y"
"BLG194609100","hattr101","BLG","1","2","value","","3","0","0","0","0","1","","","","","19460910","0","BAL14","PH5","w","regular","y"
