"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"ASP194610011","hegaj101","ASF","8","2","value","2","2","1","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19461001","1","YOU01","ASP","w","exhibition","y"
"ASF194610012","hegaj101","ASF","9","2","value","1","0","0","0","0","0","0","0","0","","0","1","","","0","","","","","","","","19461001","2","CLE07","ASP","w","exhibition","y"
"ASF194610030","hegaj101","ASF","","","value","","","","","","","","","","","","","","","","","","","","","","","19461003","0","CIN07","ASP","w","exhibition",""
"ASP194610050","hegaj101","ASF","8","1","value","1","1","","0","","","","","","","","","","","","","","","","","","","19461005","0","NWK04","ASP","w","exhibition",""
"ASF194610061","hegaj101","ASF","8","1","value","2","2","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19461006","1","NYC16","ASP","l","exhibition","y"
"ASP194610062","hegaj101","ASF","8","1","value","4","1","0","0","0","0","0","0","2","0","0","1","0","","0","0","0","0","0","","","","19461006","2","BAL14","ASP","l","exhibition","y"
"ASF194610070","hegaj101","ASF","9","3","value","2","2","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19461007","0","COL05","ASP","l","exhibition","y"
"ASF194610100","hegaj101","ASF","9","2","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","1","","19461010","0","RCI01","ASP","w","exhibition","y"
"ASF194610121","hegaj101","ASF","8","2","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19461012","1","CBI01","ASP","w","exhibition","y"
"ASP194610122","hegaj101","ASF","8","1","value","4","4","0","1","0","0","0","2","0","0","0","0","0","","0","0","1","0","1","","","","19461012","2","WIC01","ASP","w","exhibition","y"
"ASF194610230","hegaj101","ASF","8","1","value","3","3","1","1","0","0","0","0","0","","0","0","","","0","","","","","","","","19461023","0","BAK01","KCR","w","exhibition","y"
"ASF194710140","hegaj101","ASF","8","1","value","4","4","2","2","1","0","0","4","0","0","0","0","0","","0","0","0","0","0","","","","19471014","0","SAN03","KCR","w","exhibition","y"
"KCR194710150","hegaj101","ASF","8","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","","0","0","1","0","0","","","","19471015","0","LOS02","KCR","w","exhibition","y"
"ASF194710160","hegaj101","ASF","8","1","value","3","3","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19471016","0","OAK02","KCR","w","exhibition","y"
"KCR194710170","hegaj101","ASF","","","value","","","","","","","","","","","","","","","","","","","","","","","19471017","0","SFO01","KCR","w","exhibition",""
"ASF194710180","hegaj101","ASF","","","value","","","","","","","","","","","","","","","","","","","","","","","19471018","0","SAN03","KCR","l","exhibition",""
"KCR194710190","hegaj101","ASF","8","1","value","3","3","0","1","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19471019","0","LOS02","KCR","w","exhibition","y"
