"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"HIL192610010","heimf101","ALS","9","1","value","3","1","2","1","0","0","0","0","","0","0","","","0","","","","","","","19261001","0","WIL03","HIL","L","exhibition","y"
"HIL192610010","heimf101","ALS","9","1","lower","3","1","2","1","0","0","0","0","","0","0","","","0","","","","","","","19261001","0","WIL03","HIL","L","exhibition","y"
"HIL192610010","heimf101","ALS","9","1","upper","3","1","2","1","0","0","0","0","","0","0","","","0","","","","","","","19261001","0","WIL03","HIL","L","exhibition","y"
"HIL192610020","heimf101","ALS","7","1","value","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261002","0","DAR01","HIL","L","exhibition","y"
"HIL192610020","heimf101","ALS","7","1","lower","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261002","0","DAR01","HIL","L","exhibition","y"
"HIL192610020","heimf101","ALS","7","1","upper","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261002","0","DAR01","HIL","L","exhibition","y"
"HOM192610030","heimf101","ALS","8","2","value","4","1","1","0","0","0","","0","","0","1","","","0","","","","","","","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610030","heimf101","ALS","8","2","lower","4","1","1","0","0","0","","0","","0","1","","","0","","","","","","","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610030","heimf101","ALS","8","2","upper","4","1","1","0","0","0","","0","","0","1","","","0","","","","","","","19261003","0","YOU01","HOM","W","exhibition","y"
"HOM192610040","heimf101","ALS","8","2","value","1","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261004","0","PIT06","HOM","L","exhibition","y"
"HOM192610040","heimf101","ALS","8","2","lower","1","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261004","0","PIT06","HOM","L","exhibition","y"
"HOM192610040","heimf101","ALS","8","2","upper","1","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261004","0","PIT06","HOM","L","exhibition","y"
"ALS192610060","heimf101","ALS","9","1","value","3","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19261006","0","BLO01","HIL","W","exhibition","y"
"ALS192610060","heimf101","ALS","9","1","lower","3","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19261006","0","BLO01","HIL","W","exhibition","y"
"ALS192610060","heimf101","ALS","9","1","upper","3","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19261006","0","BLO01","HIL","W","exhibition","y"
"ALS192610070","heimf101","ALS","8","2","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610070","heimf101","ALS","8","2","lower","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610070","heimf101","ALS","8","2","upper","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19261007","0","BLO01","HIL","L","exhibition","y"
"ALS192610080","heimf101","ALS","8","2","value","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19261008","0","BLO01","HIL","L","exhibition","y"
"ALS192610080","heimf101","ALS","8","2","lower","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19261008","0","BLO01","HIL","L","exhibition","y"
"ALS192610080","heimf101","ALS","8","2","upper","1","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19261008","0","BLO01","HIL","L","exhibition","y"
"HIL192610090","heimf101","ALS","4","1","value","2","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261009","0","DAR01","HIL","L","exhibition","y"
"HIL192610090","heimf101","ALS","4","1","lower","2","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261009","0","DAR01","HIL","L","exhibition","y"
"HIL192610090","heimf101","ALS","4","1","upper","2","0","1","0","0","0","","0","","0","0","","","0","","","","","","","19261009","0","DAR01","HIL","L","exhibition","y"
"HOM192610110","heimf101","ALS","9","1","value","4","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19261011","0","PIT06","HOM","L","exhibition","y"
"HOM192610110","heimf101","ALS","9","1","lower","4","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19261011","0","PIT06","HOM","L","exhibition","y"
"HOM192610110","heimf101","ALS","9","1","upper","4","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19261011","0","PIT06","HOM","L","exhibition","y"
"MLS193110030","heimf101","MLS","9","1","value","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19311003","0","PHI09","HIL","L","exhibition","y"
"MLS193110030","heimf101","MLS","9","1","lower","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19311003","0","PHI09","HIL","L","exhibition","y"
"MLS193110030","heimf101","MLS","9","1","upper","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19311003","0","PHI09","HIL","L","exhibition","y"
"MLS193110040","heimf101","MLS","9","1","value","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19311004","0","FAI01","HIL","L","exhibition","y"
"MLS193110040","heimf101","MLS","9","1","lower","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19311004","0","FAI01","HIL","L","exhibition","y"
"MLS193110040","heimf101","MLS","9","1","upper","3","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19311004","0","FAI01","HIL","L","exhibition","y"
"HIL193110101","heimf101","MLS","9","1","value","3","0","0","","","","0","","","","","","","","","","","","","","19311010","1","DAR01","HIL","L","exhibition","y"
