"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"HOM194005110","herer101","NY6","1","5","value","24","1","1","0","0","0","0","19400511","0","PIT06","HOM","L","regular","y"
"HOM194005110","herer101","NY6","1","5","lower","24","1","1","0","0","0","0","19400511","0","PIT06","HOM","L","regular","y"
"HOM194005110","herer101","NY6","1","5","upper","24","1","1","0","0","0","0","19400511","0","PIT06","HOM","L","regular","y"
"HOM194005121","herer101","NY6","1","5","value","24","","","1","0","0","0","19400512","1","WAS09","HOM","L","regular","y"
"HOM194005121","herer101","NY6","1","5","lower","24","","","1","0","0","0","19400512","1","WAS09","HOM","L","regular","y"
"HOM194005121","herer101","NY6","1","5","upper","24","","","1","0","0","0","19400512","1","WAS09","HOM","L","regular","y"
"HOM194005122","herer101","NY6","1","5","value","18","","","0","0","0","0","19400512","2","WAS09","HOM","L","regular","y"
"HOM194005122","herer101","NY6","1","5","lower","18","","","0","0","0","0","19400512","2","WAS09","HOM","L","regular","y"
"HOM194005122","herer101","NY6","1","5","upper","18","","","0","0","0","0","19400512","2","WAS09","HOM","L","regular","y"
"NY5194005191","herer101","NY6","1","5","value","24","2","2","1","0","0","0","19400519","1","NYC16","NY5","L","regular","y"
"NY5194005191","herer101","NY6","1","5","lower","24","2","2","1","0","0","0","19400519","1","NYC16","NY5","L","regular","y"
"NY5194005191","herer101","NY6","1","5","upper","24","2","2","1","0","0","0","19400519","1","NYC16","NY5","L","regular","y"
"NY6194005260","herer101","NY6","1","5","value","27","0","3","1","0","0","0","19400526","0","HAR02","NW2","L","regular","y"
"NY6194005260","herer101","NY6","1","5","lower","27","0","3","1","0","0","0","19400526","0","HAR02","NW2","L","regular","y"
"NY6194005260","herer101","NY6","1","5","upper","27","0","3","1","0","0","0","19400526","0","HAR02","NW2","L","regular","y"
"NW2194005270","herer101","NY6","1","5","value","24","0","3","0","1","0","0","19400527","0","SPR06","NW2","L","regular","y"
"NW2194005270","herer101","NY6","1","5","lower","24","0","3","0","1","0","0","19400527","0","SPR06","NW2","L","regular","y"
"NW2194005270","herer101","NY6","1","5","upper","24","0","3","0","1","0","0","19400527","0","SPR06","NW2","L","regular","y"
"PH5194005301","herer101","NY6","1","5","value","24","0","","0","0","0","0","19400530","1","PHI17","PH5","L","regular","y"
"PH5194005301","herer101","NY6","1","5","lower","24","0","","0","0","0","0","19400530","1","PHI17","PH5","L","regular","y"
"PH5194005301","herer101","NY6","1","5","upper","24","0","","0","0","0","0","19400530","1","PHI17","PH5","L","regular","y"
"PH5194005302","herer101","NY6","1","5","value","27","2","","0","0","0","0","19400530","2","PHI17","PH5","W","regular","y"
"PH5194005302","herer101","NY6","1","5","lower","27","2","","0","0","0","0","19400530","2","PHI17","PH5","W","regular","y"
"PH5194005302","herer101","NY6","1","5","upper","27","2","","0","0","0","0","19400530","2","PHI17","PH5","W","regular","y"
"PH5194006091","herer101","NY6","1","5","value","24","1","2","0","0","0","0","19400609","1","HRB01","PH5","L","regular","y"
"PH5194006091","herer101","NY6","1","5","lower","24","1","2","0","0","0","0","19400609","1","HRB01","PH5","L","regular","y"
"PH5194006091","herer101","NY6","1","5","upper","24","1","2","0","0","0","0","19400609","1","HRB01","PH5","L","regular","y"
"PH5194006092","herer101","NY6","1","5","value","21","0","4","1","0","0","0","19400609","2","HRB01","PH5","W","regular","y"
"PH5194006092","herer101","NY6","1","5","lower","21","0","4","1","0","0","0","19400609","2","HRB01","PH5","W","regular","y"
"PH5194006092","herer101","NY6","1","5","upper","21","0","4","1","0","0","0","19400609","2","HRB01","PH5","W","regular","y"
"PH5194006130","herer101","NY6","1","5","value","27","","","0","","0","0","19400613","0","PHI17","PH5","W","regular","y"
"PH5194006130","herer101","NY6","1","5","lower","27","","","0","","0","0","19400613","0","PHI17","PH5","W","regular","y"
"PH5194006130","herer101","NY6","1","5","upper","27","","","0","","0","0","19400613","0","PHI17","PH5","W","regular","y"
"NY6194006161","herer101","NY6","1","5","value","48","4","4","0","1","0","0","19400616","1","NYC16","BLG","L","regular","y"
"NY6194006161","herer101","NY6","1","5","lower","48","4","4","0","1","0","0","19400616","1","NYC16","BLG","L","regular","y"
"NY6194006161","herer101","NY6","1","5","upper","48","4","4","0","1","0","0","19400616","1","NYC16","BLG","L","regular","y"
"NW2194006231","herer101","NY6","1","5","value","27","","","0","0","0","0","19400623","1","NWK04","NW2","W","regular","y"
"NW2194006231","herer101","NY6","1","5","lower","27","","","0","0","0","0","19400623","1","NWK04","NW2","W","regular","y"
"NW2194006231","herer101","NY6","1","5","upper","27","","","0","0","0","0","19400623","1","NWK04","NW2","W","regular","y"
"NW2194006232","herer101","NY6","1","5","value","21","","","0","0","0","0","19400623","2","NWK04","NW2","W","regular","y"
"NW2194006232","herer101","NY6","1","5","lower","21","","","0","0","0","0","19400623","2","NWK04","NW2","W","regular","y"
"NW2194006232","herer101","NY6","1","5","upper","21","","","0","0","0","0","19400623","2","NWK04","NW2","W","regular","y"
"NW2194006270","herer101","NY6","1","5","value","24","","","0","0","0","0","19400627","0","NWK04","NW2","L","regular","y"
"NW2194006270","herer101","NY6","1","5","lower","24","","","0","0","0","0","19400627","0","NWK04","NW2","L","regular","y"
"NW2194006270","herer101","NY6","1","5","upper","24","","","0","0","0","0","19400627","0","NWK04","NW2","L","regular","y"
"NW2194006290","herer101","NY6","1","5","value","27","","","0","0","0","0","19400629","0","NWK04","NW2","W","regular","y"
"NW2194006290","herer101","NY6","1","5","lower","27","","","0","0","0","0","19400629","0","NWK04","NW2","W","regular","y"
"NW2194006290","herer101","NY6","1","5","upper","27","","","0","0","0","0","19400629","0","NWK04","NW2","W","regular","y"
"PH5194007061","herer101","NY6","1","5","value","27","2","1","0","0","0","0","19400706","1","PHI17","PH5","W","regular","y"
"PH5194007061","herer101","NY6","1","5","lower","27","2","1","0","0","0","0","19400706","1","PHI17","PH5","W","regular","y"
"PH5194007061","herer101","NY6","1","5","upper","27","2","1","0","0","0","0","19400706","1","PHI17","PH5","W","regular","y"
"PH5194007062","herer101","NY6","1","5","value","18","1","0","0","","0","0","19400706","2","PHI17","PH5","L","regular","y"
"PH5194007062","herer101","NY6","1","5","lower","18","1","0","0","","0","0","19400706","2","PHI17","PH5","L","regular","y"
"PH5194007062","herer101","NY6","1","5","upper","18","1","0","0","","0","0","19400706","2","PHI17","PH5","L","regular","y"
"NY6194007071","herer101","NY6","1","5","value","27","1","2","0","0","0","0","19400707","1","NYC16","PH5","L","regular","y"
"NY6194007071","herer101","NY6","1","5","lower","27","1","2","0","0","0","0","19400707","1","NYC16","PH5","L","regular","y"
"NY6194007071","herer101","NY6","1","5","upper","27","1","2","0","0","0","0","19400707","1","NYC16","PH5","L","regular","y"
"NY6194007230","herer101","NY6","1","5","value","33","","","0","0","0","0","19400723","0","BRI01","BLG","L","exhibition","y"
"NY6194007230","herer101","NY6","1","5","lower","33","","","0","0","0","0","19400723","0","BRI01","BLG","L","exhibition","y"
"NY6194007230","herer101","NY6","1","5","upper","33","","","0","0","0","0","19400723","0","BRI01","BLG","L","exhibition","y"
