"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"DT1192105070","hillj103","DT1","5","1","value","4","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","19210507","0","DET07","ACY","W","exhibition","y"
"DT1192105070","hillj103","DT1","5","1","lower","4","0","1","1","0","0","1","0","","0","1","","0","0","","","0","","","","19210507","0","DET07","ACY","W","exhibition","y"
"DT1192105070","hillj103","DT1","5","1","upper","4","0","1","1","0","0","1","0","","0","1","","0","0","","","0","","","","19210507","0","DET07","ACY","W","exhibition","y"
"CB1192107090","hillj103","DT1","4","1","value","5","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19210709","0","COL04","CB1","L","regular","y"
"CB1192107090","hillj103","DT1","4","1","lower","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19210709","0","COL04","CB1","L","regular","y"
"CB1192107090","hillj103","DT1","4","1","upper","","0","0","0","0","0","","0","","0","","","","0","","","","","","","19210709","0","COL04","CB1","L","regular","y"
"KCM192107250","hillj103","DT1","7","1","value","4","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19210725","0","KAN02","KCM","L","regular","y"
"KCM192107250","hillj103","DT1","7","1","lower","4","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19210725","0","KAN02","KCM","L","regular","y"
"KCM192107250","hillj103","DT1","7","1","upper","4","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","19210725","0","KAN02","KCM","L","regular","y"
"HIL192109052","hillj103","DT1","7","1","value","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","19210905","2","DAR01","HIL","L","exhibition","y"
"HIL192109052","hillj103","DT1","7","1","lower","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19210905","2","DAR01","HIL","L","exhibition","y"
"HIL192109052","hillj103","DT1","7","1","upper","","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19210905","2","DAR01","HIL","L","exhibition","y"
"BLS192408031","hillj103","BRG","7","1","value","3","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","","","","19240803","1","BAL13","BLS","W","regular","y"
"BLS192408031","hillj103","BRG","7","1","lower","3","0","0","0","0","0","1","0","1","0","1","","0","0","","","0","","","","19240803","1","BAL13","BLS","W","regular","y"
"BLS192408031","hillj103","BRG","7","1","upper","4","0","0","0","0","0","1","0","1","0","1","","0","0","","","0","","","","19240803","1","BAL13","BLS","W","regular","y"
"BLS192408032","hillj103","BRG","7","1","value","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","19240803","2","BAL13","BLS","L","regular","y"
"BLS192408032","hillj103","BRG","7","1","lower","3","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","","","19240803","2","BAL13","BLS","L","regular","y"
"BLS192408032","hillj103","BRG","7","1","upper","3","0","0","0","0","0","0","0","","0","0","0","1","0","","","0","","","","19240803","2","BAL13","BLS","L","regular","y"
"BRS192610110","hillj103","BRG","3","1","value","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19261011","0","BRA01","BRS","W","exhibition","y"
"BRS192610110","hillj103","BRG","3","1","lower","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19261011","0","BRA01","BRS","W","exhibition","y"
"BRS192610110","hillj103","BRG","3","1","upper","4","0","0","0","0","0","","0","","0","","","","0","","","0","","","","19261011","0","BRA01","BRS","W","exhibition","y"
