"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"KCM194608111","hills101","CAG","1","4","value","3","0","0","0","0","0","","","","","","19460811","1","KAN05","KCM","l","regular","y"
"KCM194608112","hills101","CAG","1","7","value","21","1","0","0","0","0","","","","","1","19460811","2","KAN05","KCM","w","regular","y"
"CAG194608150","hills101","CAG","1","7","value","27","","","0","","0","0","","","","","19460815","0","CHI10","MEM","w","regular",""
"CAG194608280","hills101","CAG","1","8","value","27","1","","0","","0","0","","","","","19460828","0","CHI10","IN9","w","regular",""
"CAG194608290","hills101","CAG","1","8","value","27","0","0","0","0","0","","","","","1","19460829","0","DCT02","IN9","w","regular","y"
"BLG194704130","hills101","CAG","1","7","value","24","0","","0","0","0","","","","","1","19470413","0","NSH02","BLG","l","exhibition","y"
"KCM194705040","hills101","CAG","1","9","value","24","0","0","0","0","0","","","","","1","19470504","0","KAN05","KCM","l","regular","y"
"KCM194705050","hills101","CAG","1","9","value","27","1","1","0","0","0","","","","","1","19470505","0","KAN05","KCM","w","regular","y"
"KCM194705060","hills101","CAG","1","9","value","24","1","","0","0","0","","","","","1","19470506","0","WIC01","KCM","l","regular","y"
"KCM194705070","hills101","CAG","1","7","value","25","1","","1","0","0","","","","","1","19470507","0","WIC01","KCM","l","regular","y"
"KCM194705080","hills101","CAG","1","7","value","24","2","0","0","0","0","","","","","1","19470508","0","KAN05","KCM","l","regular","y"
"MEM194705150","hills101","CAG","1","7","value","30","0","0","0","0","0","","","","","1","19470515","0","GRE01","MEM","w","regular","y"
"KCM194705210","hills101","CAG","1","9","value","24","2","0","0","0","0","","","","","1","19470521","0","OKC02","KCM","l","regular","y"
"KCM194705220","hills101","CAG","1","9","value","24","0","","0","0","0","","","","","1","19470522","0","WIC01","KCM","l","regular","y"
"KCM194705230","hills101","CAG","1","9","value","27","0","0","0","0","0","","","","","1","19470523","0","CBI01","KCM","w","regular","y"
"CAG194705251","hills101","CAG","1","9","value","","","","0","0","0","0","","","","1","19470525","1","CHI10","CVB","l","regular","y"
"CVB194705270","hills101","CAG","1","9","value","24","","","0","0","0","","","","","1","19470527","0","ERI01","CVB","l","regular","y"
"CVB194705301","hills101","CAG","1","7","value","24","","","0","0","0","","","","","1","19470530","1","CLE06","CVB","l","regular","y"
"CVB194705302","hills101","CAG","1","7","value","18","","","0","0","0","","","","","1","19470530","2","CLE06","CVB","l","regular","y"
"BIR194706030","hills101","CAG","1","9","value","27","","","0","","0","0","","","","","19470603","0","BIR01","BIR","w","regular",""
"MEM194706082","hills101","CAG","1","5","value","18","","","0","","0","0","","","","","19470608","2","MEM02","MEM","l","regular",""
"MEM194706120","hills101","CAG","1","7","value","27","2","0","0","0","0","","","","","1","19470612","0","OKC02","MEM","w","regular","y"
"CAG194706151","hills101","CAG","1","7","value","27","2","0","0","0","0","","","","","1","19470615","1","CHI10","IN9","w","regular","y"
"CAG194706221","hills101","CAG","1","7","value","","0","0","0","0","0","","","","","1","19470622","1","CHI10","BIR","l","regular","y"
"CAG194707020","hills101","CAG","1","7","value","27","","","0","0","0","","","","","1","19470702","0","BHM01","MEM","l","regular","y"
"CVB194707090","hills101","CAG","1","7","value","26","","","0","0","0","","","","","1","19470709","0","ERI01","CVB","l","regular","y"
"IN9194707140","hills101","CAG","1","7","value","28","","","0","0","0","","","","","1","19470714","0","DCT02","IN9","l","regular","y"
"CAG194707250","hills101","CAG","1","8","value","27","1","0","0","0","0","","","","","1","19470725","0","EAU01","KCM","l","regular","y"
"CAG194707280","hills101","CAG","1","8","value","27","1","1","0","0","0","0","0","0","","1","19470728","0","STC01","KCM","l","regular","y"
"CAG194707300","hills101","CAG","1","8","value","27","2","0","0","0","0","0","0","0","","1","19470730","0","DES02","KCM","l","regular","y"
"CAG194708110","hills101","CAG","1","9","value","","","","0","0","0","","","","","1","19470811","0","FLI01","CVB","w","regular","y"
"CAG194708110","hills101","CAG","2","7","value","","","","0","0","0","","","","","1","19470811","0","FLI01","CVB","w","regular","y"
"PH5194708160","hills101","CAG","1","8","value","27","3","0","0","0","0","","","","","1","19470816","0","WIL04","PH5","w","exhibition","y"
"PH5194708182","hills101","CAG","1","8","value","25","1","0","0","0","0","","","","","1","19470818","2","PHI11","PH5","l","exhibition","y"
"NW2194708200","hills101","CAG","1","8","value","27","","","0","0","0","","","","","1","19470820","0","NWK04","NW2","w","exhibition","y"
"BLG194708241","hills101","CAG","1","9","value","24","4","1","0","1","0","0","0","","","1","19470824","1","BAL14","BLG","l","exhibition","y"
"CAG194709050","hills101","CAG","1","8","value","27","","","1","0","0","","","","","1","19470905","0","DCT02","IN9","l","regular","y"
"CAG194709141","hills101","CAG","1","8","value","33","1","","0","","0","0","","","","","19470914","1","CHI10","BIR","w","regular",""
"KCM194805120","hills101","CAG","1","8","value","27","4","0","0","0","0","","","","","1","19480512","0","KAN05","KCM","w","exhibition","y"
"CVB194805301","hills101","CAG","1","8","value","25","0","0","0","0","0","0","","","","1","19480530","1","CLE06","CVB","l","regular","y"
"CVB194805302","hills101","CAG","1","8","value","18","","","0","","0","0","","","","","19480530","2","CLE06","CVB","l","regular",""
"CAG194806040","hills101","CAG","1","8","value","","","","","","","","","","","","19480604","0","CHI10","CVB","l","regular",""
"CAG194806062","hills101","CAG","1","8","value","21","1","","0","","0","0","","","","","19480606","2","CHI10","IN9","w","regular",""
"CAG194806110","hills101","CAG","1","8","value","27","0","0","0","0","0","","","","","1","19480611","0","CHI10","KCM","l","regular","y"
"BIR194806200","hills101","CAG","1","8","value","32","4","0","0","0","0","","","","","1","19480620","0","BIR01","BIR","l","regular","y"
"BIR194806210","hills101","CAG","1","8","value","24","1","0","0","0","0","0","","","","1","19480621","0","BIR01","BIR","l","regular","y"
"KCM194807041","hills101","CAG","1","8","value","24","2","0","0","0","0","0","","","","1","19480704","1","KAN05","KCM","l","regular","y"
"KCM194807042","hills101","CAG","1","8","value","18","1","0","0","0","0","0","","","","1","19480704","2","KAN05","KCM","l","regular","y"
"KCM194807051","hills101","CAG","1","8","value","24","3","0","0","0","0","0","","","","1","19480705","1","KAN05","KCM","l","regular","y"
"KCM194807052","hills101","CAG","1","8","value","18","1","0","0","0","0","0","","","","1","19480705","2","KAN05","KCM","l","regular","y"
"KCM194807080","hills101","CAG","1","8","value","24","3","0","0","0","0","","","","","1","19480708","0","DAV01","KCM","l","regular","y"
"CAG194807120","hills101","CAG","1","8","value","27","2","0","0","0","0","0","","","","1","19480712","0","DCT02","KCM","w","regular","y"
"CAG194807160","hills101","CAG","1","8","value","27","0","0","0","0","0","","","","","1","19480716","0","CHI10","KCM","l","regular","y"
"PH5194808021","hills101","CAG","1","8","value","24","5","0","0","0","0","","","","","1","19480802","1","PHI11","PH5","l","exhibition","y"
"NW2194808081","hills101","CAG","1","8","value","30","0","0","0","0","0","","","","","1","19480808","1","NWK04","NW2","l","exhibition","y"
