"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BIR194605100","hollc104","BIR","1","1","value","27","","","0","","0","0","19460510","0","BIR01","CVB","W","regular",""
"BIR194605100","hollc104","BIR","1","1","lower","27","","","0","","0","0","19460510","0","BIR01","CVB","W","regular",""
"BIR194605100","hollc104","BIR","1","1","upper","27","","","0","","0","0","19460510","0","BIR01","CVB","W","regular",""
"MEM194605160","hollc104","BIR","1","1","value","","","","0","","0","0","19460516","0","MEM03","MEM","L","regular",""
"MEM194605160","hollc104","BIR","1","1","lower","","","","0","","0","0","19460516","0","MEM03","MEM","L","regular",""
"MEM194605160","hollc104","BIR","1","1","upper","","","","0","","0","0","19460516","0","MEM03","MEM","L","regular",""
"BIR194605270","hollc104","BIR","1","1","value","","","","0","","0","0","19460527","0","MTG01","MEM","L","regular",""
"BIR194605270","hollc104","BIR","1","1","lower","","","","0","","0","0","19460527","0","MTG01","MEM","L","regular",""
"BIR194605270","hollc104","BIR","1","1","upper","","","","0","","0","0","19460527","0","MTG01","MEM","L","regular",""
"IN9194606050","hollc104","BIR","1","1","value","","","","0","","0","0","19460605","0","IND10","IN9","W","regular",""
"IN9194606050","hollc104","BIR","1","1","lower","","","","0","","0","0","19460605","0","IND10","IN9","W","regular",""
"IN9194606050","hollc104","BIR","1","1","upper","","","","0","","0","0","19460605","0","IND10","IN9","W","regular",""
"KCM194607010","hollc104","BIR","1","1","value","6","0","1","0","0","0","0","19460701","0","KAN05","KCM","L","regular","y"
"KCM194607010","hollc104","BIR","1","1","lower","6","0","1","0","0","0","0","19460701","0","KAN05","KCM","L","regular","y"
"KCM194607010","hollc104","BIR","1","1","upper","6","0","1","0","0","0","0","19460701","0","KAN05","KCM","L","regular","y"
"BIR194607040","hollc104","BIR","1","1","value","","","","0","","0","0","19460704","0","BIR01","KCM","L","regular",""
"BIR194607040","hollc104","BIR","1","1","lower","","","","0","","0","0","19460704","0","BIR01","KCM","L","regular",""
"BIR194607040","hollc104","BIR","1","1","upper","","","","0","","0","0","19460704","0","BIR01","KCM","L","regular",""
"BIR194608080","hollc104","BIR","1","1","value","","","","0","","0","0","19460808","0","BIR01","CAG","L","regular",""
"BIR194608080","hollc104","BIR","1","1","lower","","","","0","","0","0","19460808","0","BIR01","CAG","L","regular",""
"BIR194608080","hollc104","BIR","1","1","upper","","","","0","","0","0","19460808","0","BIR01","CAG","L","regular",""
"BIR194608181","hollc104","BIR","1","1","value","","","","0","","0","0","19460818","1","BIR01","CVB","L","exhibition",""
"BIR194608181","hollc104","BIR","1","1","lower","","","","0","","0","0","19460818","1","BIR01","CVB","L","exhibition",""
"BIR194608181","hollc104","BIR","1","1","upper","","","","0","","0","0","19460818","1","BIR01","CVB","L","exhibition",""
"MEM194609022","hollc104","BIR","1","1","value","","","","0","","0","0","19460902","2","MEM03","MEM","W","regular",""
"MEM194609022","hollc104","BIR","1","1","lower","","","","0","","0","0","19460902","2","MEM03","MEM","W","regular",""
"MEM194609022","hollc104","BIR","1","1","upper","","","","0","","0","0","19460902","2","MEM03","MEM","W","regular",""
"BIR194609291","hollc104","BIR","1","1","value","27","","","0","","0","0","19460929","1","BIR01","MEM","W","exhibition",""
"BIR194609291","hollc104","BIR","1","1","lower","27","","","0","","0","0","19460929","1","BIR01","MEM","W","exhibition",""
"BIR194609291","hollc104","BIR","1","1","upper","27","","","0","","0","0","19460929","1","BIR01","MEM","W","exhibition",""
"BIR194704170","hollc104","BIR","1","1","value","","","","0","","0","0","19470417","0","BIR01","HOM","L","exhibition",""
"BIR194704170","hollc104","BIR","1","1","lower","","","","0","","0","0","19470417","0","BIR01","HOM","L","exhibition",""
"BIR194704170","hollc104","BIR","1","1","upper","","","","0","","0","0","19470417","0","BIR01","HOM","L","exhibition",""
"BIR194705111","hollc104","BIR","1","1","value","","","","0","","0","0","19470511","1","BIR01","KCM","L","regular",""
"BIR194705111","hollc104","BIR","1","1","lower","","","","0","","0","0","19470511","1","BIR01","KCM","L","regular",""
"BIR194705111","hollc104","BIR","1","1","upper","","","","0","","0","0","19470511","1","BIR01","KCM","L","regular",""
"BIR194705112","hollc104","BIR","1","1","value","","","","0","","0","0","19470511","2","BIR01","KCM","L","regular",""
"BIR194705112","hollc104","BIR","1","1","lower","","","","0","","0","0","19470511","2","BIR01","KCM","L","regular",""
"BIR194705112","hollc104","BIR","1","1","upper","","","","0","","0","0","19470511","2","BIR01","KCM","L","regular",""
"BIR194705252","hollc104","BIR","1","1","value","","","","0","","0","0","19470525","2","BIR01","IN9","W","regular",""
"BIR194705252","hollc104","BIR","1","1","lower","","","","0","","0","0","19470525","2","BIR01","IN9","W","regular",""
"BIR194705252","hollc104","BIR","1","1","upper","","","","0","","0","0","19470525","2","BIR01","IN9","W","regular",""
"BIR194706012","hollc104","BIR","1","1","value","21","","","","","0","0","19470601","2","BIR01","CAG","W","regular",""
"BIR194706012","hollc104","BIR","1","1","lower","21","","","","","0","0","19470601","2","BIR01","CAG","W","regular",""
"BIR194706012","hollc104","BIR","1","1","upper","21","","","","","0","0","19470601","2","BIR01","CAG","W","regular",""
"BIR194706151","hollc104","BIR","1","1","value","","","","0","","0","0","19470615","1","BIR01","MEM","L","regular",""
"BIR194706151","hollc104","BIR","1","1","lower","","","","0","","0","0","19470615","1","BIR01","MEM","L","regular",""
"BIR194706151","hollc104","BIR","1","1","upper","","","","0","","0","0","19470615","1","BIR01","MEM","L","regular",""
"CAG194706210","hollc104","BIR","1","1","value","27","","","0","","0","0","19470621","0","IND10","CAG","W","regular",""
"CAG194706210","hollc104","BIR","1","1","lower","27","","","0","","0","0","19470621","0","IND10","CAG","W","regular",""
"CAG194706210","hollc104","BIR","1","1","upper","27","","","0","","0","0","19470621","0","IND10","CAG","W","regular",""
"CAG194706260","hollc104","BIR","1","1","value","","","","0","","0","0","19470626","0","CHI10","CAG","W","regular",""
"CAG194706260","hollc104","BIR","1","1","lower","","","","0","","0","0","19470626","0","CHI10","CAG","W","regular",""
"CAG194706260","hollc104","BIR","1","1","upper","","","","0","","0","0","19470626","0","CHI10","CAG","W","regular",""
"BIR194706300","hollc104","BIR","1","1","value","","","","0","","0","0","19470630","0","MTG01","CVB","L","regular",""
"BIR194706300","hollc104","BIR","1","1","lower","","","","0","","0","0","19470630","0","MTG01","CVB","L","regular",""
"BIR194706300","hollc104","BIR","1","1","upper","","","","0","","0","0","19470630","0","MTG01","CVB","L","regular",""
"BIR194707010","hollc104","BIR","1","1","value","","","","0","","0","0","19470701","0","BIR01","CVB","L","regular",""
"BIR194707010","hollc104","BIR","1","1","lower","","","","0","","0","0","19470701","0","BIR01","CVB","L","regular",""
"BIR194707010","hollc104","BIR","1","1","upper","","","","0","","0","0","19470701","0","BIR01","CVB","L","regular",""
"KCM194707132","hollc104","BIR","1","1","value","12","0","0","1","0","0","0","19470713","2","KAN05","KCM","W","regular","y"
"KCM194707132","hollc104","BIR","1","1","lower","","0","0","1","0","0","0","19470713","2","KAN05","KCM","W","regular","y"
"KCM194707132","hollc104","BIR","1","1","upper","","0","0","1","0","0","0","19470713","2","KAN05","KCM","W","regular","y"
"BLG194707220","hollc104","BIR","1","1","value","7","0","0","0","0","0","0","19470722","0","BAL14","BLG","L","exhibition","y"
"BLG194707220","hollc104","BIR","1","1","lower","7","0","0","0","0","0","0","19470722","0","BAL14","BLG","L","exhibition","y"
"BLG194707220","hollc104","BIR","1","1","upper","7","0","0","0","0","0","0","19470722","0","BAL14","BLG","L","exhibition","y"
"NY5194707271","hollc104","BIR","1","1","value","15","","","0","","0","0","19470727","1","NYC14","NY5","L","exhibition",""
"NY5194707271","hollc104","BIR","1","1","lower","15","","","0","","0","0","19470727","1","NYC14","NY5","L","exhibition",""
"NY5194707271","hollc104","BIR","1","1","upper","15","","","0","","0","0","19470727","1","NYC14","NY5","L","exhibition",""
"KCM194708041","hollc104","BIR","1","1","value","7","","","0","","0","0","19470804","1","STL07","KCM","L","regular","y"
"KCM194708041","hollc104","BIR","1","1","lower","7","","","0","","0","0","19470804","1","STL07","KCM","L","regular","y"
"KCM194708041","hollc104","BIR","1","1","upper","7","","","0","","0","0","19470804","1","STL07","KCM","L","regular","y"
"BIR194708070","hollc104","BIR","1","1","value","","","","0","","0","0","19470807","0","KNO01","IN9","W","regular",""
"BIR194708070","hollc104","BIR","1","1","lower","","","","0","","0","0","19470807","0","KNO01","IN9","W","regular",""
"BIR194708070","hollc104","BIR","1","1","upper","","","","0","","0","0","19470807","0","KNO01","IN9","W","regular",""
"BIR194708240","hollc104","BIR","1","1","value","3","","","0","","0","0","19470824","0","BIR01","CVB","L","regular",""
"BIR194708240","hollc104","BIR","1","1","lower","3","","","0","","0","0","19470824","0","BIR01","CVB","L","regular",""
"BIR194708240","hollc104","BIR","1","1","upper","3","","","0","","0","0","19470824","0","BIR01","CVB","L","regular",""
"BIR194708280","hollc104","BIR","1","1","value","15","","","0","","0","0","19470828","0","BIR01","CVB","L","regular",""
"BIR194708280","hollc104","BIR","1","1","lower","15","","","0","","0","0","19470828","0","BIR01","CVB","L","regular",""
"BIR194708280","hollc104","BIR","1","1","upper","15","","","0","","0","0","19470828","0","BIR01","CVB","L","regular",""
"MEM194709050","hollc104","BIR","1","1","value","3","","","0","","0","0","19470905","0","LRK02","MEM","L","regular",""
"MEM194709050","hollc104","BIR","1","1","lower","3","","","0","","0","0","19470905","0","LRK02","MEM","L","regular",""
"MEM194709050","hollc104","BIR","1","1","upper","3","","","0","","0","0","19470905","0","LRK02","MEM","L","regular",""
"BIR194709100","hollc104","BIR","1","1","value","15","","","0","","0","0","19470910","0","IND10","HOM","L","exhibition",""
"BIR194709100","hollc104","BIR","1","1","lower","15","","","0","","0","0","19470910","0","IND10","HOM","L","exhibition",""
"BIR194709100","hollc104","BIR","1","1","upper","15","","","0","","0","0","19470910","0","IND10","HOM","L","exhibition",""
"BIR194804220","hollc104","BIR","1","1","value","","","","0","","0","0","19480422","0","MTG01","IN9","L","exhibition",""
"BIR194804220","hollc104","BIR","1","1","lower","","","","0","","0","0","19480422","0","MTG01","IN9","L","exhibition",""
"BIR194804220","hollc104","BIR","1","1","upper","","","","0","","0","0","19480422","0","MTG01","IN9","L","exhibition",""
