"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLG194204122","howap102","BLG","1","2","value","21","","","0","","0","","19420412","2","NOL01","NY6","W","exhibition",""
"BLG194204122","howap102","BLG","1","2","lower","21","","","0","","0","","19420412","2","NOL01","NY6","W","exhibition",""
"BLG194204122","howap102","BLG","1","2","upper","21","","","0","","0","","19420412","2","NOL01","NY6","W","exhibition",""
"CCB194207051","howap102","CAG","1","2","value","3","0","0","0","0","0","0","19420705","1","CLE06","CCB","L","regular","y"
"CCB194207051","howap102","CAG","1","2","lower","3","0","0","0","0","0","0","19420705","1","CLE06","CCB","L","regular","y"
"CCB194207051","howap102","CAG","1","2","upper","3","0","0","0","0","0","0","19420705","1","CLE06","CCB","L","regular","y"
"IN9194607060","howap102","CCR","1","2","value","24","","","0","","0","","19460706","0","IND10","IN9","L","exhibition",""
"IN9194607060","howap102","CCR","1","2","lower","24","","","0","","0","","19460706","0","IND10","IN9","L","exhibition",""
"IN9194607060","howap102","CCR","1","2","upper","24","","","0","","0","","19460706","0","IND10","IN9","L","exhibition",""
"CCR194607072","howap102","CCR","1","2","value","21","","","0","","0","","19460707","2","CIN07","IN9","W","exhibition",""
"CCR194607072","howap102","CCR","1","2","lower","21","","","0","","0","","19460707","2","CIN07","IN9","W","exhibition",""
"CCR194607072","howap102","CCR","1","2","upper","21","","","0","","0","","19460707","2","CIN07","IN9","W","exhibition",""
"IN9194607080","howap102","CCR","1","2","value","24","","","0","","0","","19460708","0","COL05","IN9","L","exhibition",""
"IN9194607080","howap102","CCR","1","2","lower","24","","","0","","0","","19460708","0","COL05","IN9","L","exhibition",""
"IN9194607080","howap102","CCR","1","2","upper","24","","","0","","0","","19460708","0","COL05","IN9","L","exhibition",""
"CCR194607110","howap102","CCR","1","2","value","27","","","0","0","0","1","19460711","0","SPR03","MEM","L","exhibition","y"
"CCR194607110","howap102","CCR","1","2","lower","27","","","0","0","0","1","19460711","0","SPR03","MEM","L","exhibition","y"
"CCR194607110","howap102","CCR","1","2","upper","27","","","0","0","0","1","19460711","0","SPR03","MEM","L","exhibition","y"
"MEM194607212","howap102","CCR","1","2","value","18","","","0","","0","","19460721","2","MEM03","MEM","L","exhibition",""
"MEM194607212","howap102","CCR","1","2","lower","18","","","0","","0","","19460721","2","MEM03","MEM","L","exhibition",""
"MEM194607212","howap102","CCR","1","2","upper","18","","","0","","0","","19460721","2","MEM03","MEM","L","exhibition",""
"IN9194608041","howap102","CCR","1","2","value","33","","","0","","0","","19460804","1","CIN07","IN9","W","exhibition",""
"IN9194608041","howap102","CCR","1","2","lower","33","","","0","","0","","19460804","1","CIN07","IN9","W","exhibition",""
"IN9194608041","howap102","CCR","1","2","upper","33","","","0","","0","","19460804","1","CIN07","IN9","W","exhibition",""
"KCM194608130","howap102","CCR","1","2","value","24","5","0","0","0","0","0","19460813","0","CBI01","KCM","L","exhibition","y"
"KCM194608130","howap102","CCR","1","2","lower","24","5","0","0","0","0","0","19460813","0","CBI01","KCM","L","exhibition","y"
"KCM194608130","howap102","CCR","1","2","upper","24","5","0","0","0","0","0","19460813","0","CBI01","KCM","L","exhibition","y"
"KCM194608140","howap102","CCR","1","2","value","24","","","0","0","0","0","19460814","0","OXF01","KCM","L","exhibition","y"
"KCM194608140","howap102","CCR","1","2","lower","24","","","0","0","0","0","19460814","0","OXF01","KCM","L","exhibition","y"
"KCM194608140","howap102","CCR","1","2","upper","24","","","0","0","0","0","19460814","0","OXF01","KCM","L","exhibition","y"
"KCM194608150","howap102","CCR","1","2","value","24","3","0","0","0","0","0","19460815","0","STJ01","KCM","L","exhibition","y"
"KCM194608150","howap102","CCR","1","2","lower","24","3","0","0","0","0","0","19460815","0","STJ01","KCM","L","exhibition","y"
"KCM194608150","howap102","CCR","1","2","upper","24","3","0","0","0","0","0","19460815","0","STJ01","KCM","L","exhibition","y"
